Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Αριθμός Φαξ,Εναλλακτικό Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας
ΛΗΜΝΙΑ ΓΗ,"


0.2 Χλμ
",2,,leopapad@otenet.gr,22540-24928,,,22540-24927,,Μύρινα,ΜΥΡΙΝΑ ΛΗΜΝΟΥ,814 00
ΛΗΜΝΙΑΚΟ ΧΩΡΙΟ,"


2.5 Χλμ
",5,www.lemnosvillagehotel.com,info@lemnosvillagehotel.com,22540-23500,22540-23468,21-06130766,22540-23255,21-06138090,Πλατύ,ΠΛΑΤΥ ΛΗΜΝΟΥ,814 00
ΛΗΜΝΟΣ,"


0.3 Χλμ
",2,www.lemnoshotel.com,lemnos_hotel@yahoo.gr,22540-22153,22540-24023,,22540-23329,,Μύρινα,,814 00
ΛΙΘΟΣ,"


0.3 Χλμ
",2,www.kasteli.gr,info@kasteli.gr,22730-61728,6942-487024,21-06527039,22730-61863,,Πυθαγόρειο,ΠΥΘΑΓΟΡΕΙΟ ΣΑΜΟΥ,831 03
ΛΙΘΟΣ,"


0.5 Χλμ
",4,www.lithoschios.gr,info@lithoschios.gr,22740-22200,6936-690185,,22740-22201,,Βολισσός,ΒΟΛΙΣΣΟΣ ΧΙΟΥ,821 00
ΛΥΜΠΕΡΗ,"


1 Χλμ
",2,,libe_rob@hotmail.com,22540-23352,22540-23676,21-09830690,22540-23676,,Μύρινα,ΜΥΡΙΝΑ ΛΗΜΝΟΥ,814 00
ΛΩΡΙΕΤ,"


2 Χλμ
",2,www.loriet-hotel.com,info@loriet-hotel.com,22510-43111,,2253-043111,,2253-041629,Βαρειά,ΒΑΡΕΙΑ ΜΥΤΙΛΗΝΗΣ ΛΕΣΒΟΥ,811 00
ΜΑΙΡΗ,"


15 Χλμ
",3,www.lidamary.gr,info@lidamary.gr,2271076217,6976629668,21-09602515,22710-76217,21-09602515,Μεστά,ΛΕΙΒΑΔΙ,821 02
ΜΑΙΡΗ,"


0.5 Χλμ
",2,www.hotel-mary-samos.gr,hotelmarysamos@gmail.com,+306932525432,,6932-525432,22730-89621,,Κάμπος Μαραθοκάμπου,ΚΑΜΠΟΣ ΜΑΡΑΘΟΚΑΜΠΟΥ ΣΑΜΟΥ,831 02
ΜΑΚΡΗΣ,"


1 Χλμ
",1,,,22730-22675,,,22730-22675,,Σάμος,ΣΟΦΟΥΛΗ 247,831 00
ΜΑΛΕΜΙ,"


4 Χλμ
",3,,malemi@otenet.gr,22530-22594,,6979-228375,22530-22838,,Καλλονή,ΣΚΑΛΑ ΚΑΛΛΟΝΗΣ ΛΕΣΒΟΥ,811 07
ΜΑΝΤΙΛΑΔΑ,"


8 Χλμ
",3,www.mandilada.gr,info@mandilada.gr,22730-36205,,22730-36370,22730-36205,22730-36205,Κουμαίικα,ΚΟΥΜΕΙΚΑ ΜΑΡΑΘΟΚΑΜΠΟΥ ΣΑΜΟΥ,831 02
ΜΑΝΤΩ,"


0.1 Χλμ
",2,,genny_typer@hotmail.com,2273037450,6934300733,6971-540916,22730-38300,,Μαραθόκαμπος,,831 02
ΜΑΡΙΑ,"


0.5 Χλμ
",1,,mxaritou12@gmail.com,22710-32751,,2271-031069,,,Αγία Ερμιόνη,,821 00
ΜΑΡΙΑ-ΕΛΕΝΑ,,1,www.mariaelena.gr,marelena@otenet.gr,22750-22835,,,2275022223,,Άγιος Κήρυκος,ΑΓΙΟΣ ΚΗΡΥΚΟΣ ΙΚΑΡΙΑΣ,833 00
ΜΑΡΙΛΕΝΑ,"


1.5 Χλμ
",3,http://hotelmarilena-molivos-gr.webnode.gr/,marilenahotel.molivos@gmail.com,22531-10206,,,,,Μήθυμνα,ΜΗΘΥΜΝΑ ΛΕΣΒΟΥ,811 08
ΜΑΡΙΝΑ,"


2 Χλμ
",3,www.marina-hotel.gr,info@marina-hotel.gr,22750-22188,6981001808,6944-530301,211-2686505,21-06470717,Θέρμα,ΘΕΡΜΑ ΑΓ.ΚΗΡΥΚΟΣ ΙΚΑΡΙΑΣ,833 00
ΜΑΡΙΟΝΑ,,2,,gplast55@otenet.gr,22730-61210,,,,,Πυθαγόρειο,ΠΥΘΑΓΟΡΕΙΟ ΣΑΜΟΥ,831 03
ΜΑΣΚΩΤ,"


0.2 Χλμ
",1,,mascoteresos@hotmail.com,22530-53520,22530-53990,2253-052140,22530-52002,2253-052002,Σκάλα Ερεσού,ΣΚΑΛΑ ΕΡΕΣΟΥ ΛΕΣΒΟΥ,811 05
ΜΑΣΤΙΧΑΚΙ,,3,,elisadio72@yahoo.gr,210-8228540,6977-741272,,,,Έξω Διδύμα,,821 02
ΜΑΤΙΝΑ,"


0.15 Χλμ
",2,www.matina-hotel.gr,hotel_matina_ireon@hotmail.com,22730-95223,22730-95430,2273-033647,22730-95430,2273-032239,Ηραίο,ΗΡΑΙΟ ΣΑΜΟΥ,831 03
ΜΕΔΟΥΣΑ,"


0.3 Χλμ
",1,www.medousahotel.gr,medousahotel.samos@hotmail.com,22730-23501,22730-23502,2273-023501,22730-23502,,Σάμος,ΛΕΩΦ.ΘΕΜ.ΣΟΦΟΥΛΗ 25,831 00
ΜΕΡΟΠΗ,"


0.1 Χλμ
",3,www.hotelmerope.gr,info@hotelmerope.gr,22730-32510,22730-32650,2273-032406,22730-32652,2273-032652,Νέο Καρλοβάσι,ΔΗΜΑΡΧΟΥ ΚΥΡΙΑΚΟΥ,832 00
ΜΕΣΑΙΩΝΙΚΟ ΚΑΣΤΡΟ,"


0.1 Χλμ
",3,www.mcsuites.gr,info@mcsuites.gr,22710-76345,69770-71734,,22710-76025,,Μεστά,,821 02
ΜΕΣΑΚΤΗ ΒΙΛΛΑΤΖ,"


1.5 Χλμ
",3,,,22750-71331,210-6219222,21-06219112,22750-71330,21-06216684,Άγιος Πολύκαρπος,ΜΕΣΑΚΤΗ ΡΑΧΩΝ ΙΚΑΡΙΑΣ,833 01
ΜΕΣΤΑ ΜΑΣΤΙΚ,,3,Www.messtamaatic.com,jennyprogaki@hotmail.com,2271076009,6937333734,,,,Μεστά,,82102
ΜΙΧΑΗΛΙΑ,"


0.2 Χλμ
",2,http://michaeliahotel.com,,22530-41731,22530-41732,21-02853932,,21-02853932,Πέτρα,ΠΕΤΡΑ ΛΕΣΒΟΥ,811 09
ΜΟΛΥΒΟΣ 1,"


0.3 Χλμ
",3,www.molyvos-hotels.com,info@molyvos-hotels.com,22530-71496,22530-71556,21-07702376,22530-71640,21-07709292,Μήθυμνα,ΜΗΘΥΜΝΑ ΛΕΣΒΟΥ,811 08
ΜΟΛΥΒΟΣ 2,"


3.5 Χλμ
",3,www.molyvos-hotels.com,info@molyvos-hotels.com,22530-71534,71512,21-07702376,22530-71694,21-07709292,Ευθαλού,ΕΥΘΑΛΟΥ ΜΗΘΥΜΝΑΣ ΛΕΣΒΟΥ,811 08
ΜΟΡΦΟΥΛΑ,,1,www.kozanitis-vatera.gr,info@kozanitis-vatera.gr,22520-61586,,,,,Βατερά,,811 00
ΜΟΥΖΑΛΙΚΟ,"


0.5 Χλμ
",3,www.mouzalikohotel.gr,info@mouzalikohotel.gr,22710-31624,,2271031624,,,Χίος,ΚΑΜΠΟΣ ΧΙΟΥ,821 00
ΜΠΕΛΒΕΝΤΕΡΕ,"


0.15 Χλμ
",2,www.belvedere-samos.com,info@belvedere-samos.com,22730-61218,,,,,Πυθαγόρειο,ΑΙΣΩΠΟΥ 6,831 03
ΜΠΛΟΥ ΣΤΑΙΛ ΡΙΖΟΡΤ,"


1 Χλμ
",4,https://bluestyleresort.gr,reception@bluestyleresort.gr,22730-28428,22730-28429,,22730-23108,22730-61602,Σάμος,ΑΚΤΗ ΓΑΓΓΟΥ,831 00
ΜΠΟΝΖΑΙ,"


10 Χλμ
",2,,,6946613163,,6946613163,2110119960,,Ποτοκάκι,ΠΟΤΟΚΑΚΙ ΣΑΜΟΥ,831 00
ΜΠΟΝΗ,"


0.5 Χλμ
",2,,bonisj@otenet.gr,22730-28790,22730-23706,,22730-22501,,Βαθύ,ΒΑΘΥ ΣΑΜΟΥ,831 00
ΜΥΚΑΛΗ,"


1.5 Χλμ
",2,www.mykalihotel.com,mykali@otenet.gr,22730-61110,22730-61884,,22730-61945,,Πυθαγόρειο,ΠΥΘΑΓΟΡΕΙΟ ΣΑΜΟΥ,831 03
ΜΥΡΙΝΗ,"


0.1 Χλμ
",3,www.mirini.com,mirinihotel@mirini.com,22730-28452,,6977-743947,22730-27762,2273-027762,Σάμος,ΚΑΛΑΜΙ ΣΑΜΟΥ,831 00
ΜΥΡΣΙΝΗ,"


2.5 Χλμ
",2,www.mirsinihotel.com,mirsinihotel@yahoo.com,22520-33730,22520-32498,22520-32526,22520-33510,22520-33510,Άγιος Ισίδωρος,,812 00
ΜΥΤΙΛΑΝΑ ΧΩΡΙΟ,"


6 Χλμ
",3,www.mytilanavillage.gr,mytilana@otenet.gr,2251020653,2251026572,6944-800500,22510-26572,2251-026572,Μυτιλήνη,{ΘΕΡΜΑ ΚΟΛΠΟΥ ΓΕΡΑΣ},811 00
ΝΑΥΤΙΛΟΣ,,3,www.hotelnaftilos.gr,info@hotelnaftilos.gr,22730-62744,2273062745,,22730-62745,,Πυθαγόρειο,ΠΟΥΝΤΕΣ,831 03
ΝΕΑ ΙΩΝΙΑ,"


2 Χλμ
",2,,elekalog87@yahoo.gr,22730-61449,,2273-028470,22730-62083,,Πυθαγόρειο,ΕΠΑΡΧΙΑΚΗ ΟΔΟΣ ΠΥΘΑΓΟΡΕΙΟΥ ΧΩΡΑΣ,831 03
ΝΕΦΕΛΗ,"


1 Χλμ
",3,www.nefeli-lemnos.gr,kostaseystratiou@gmail.com,6944305235,22540-22825,6973-667489,22540-24041,,Μύρινα,ΜΥΡΙΝΑ ΛΗΜΝΟΥ,814 00
ΝΕΦΕΛΗ,"


0.6 Χλμ
",2,www.hotelnepheli.com,hotelnepheli@gmail.com,22730-34000,22730-34001,2273-033000,22730-34002,,Νέο Καρλοβάσι,ΚΑΡΛΟΒΑΣΙ ΣΑΜΟΥ,832 00
ΝΕΦΕΛΗ,"


2 Χλμ
",3,http://nefelihotel.blogspot.gr/,nefelihotelikaria@yahoo.gr,22750-22282,6932-631505,2275022929,22750-22029,,Θέρμα,ΘΕΡΜΑΙ ΙΚΑΡΙΑΣ,833 00
ΝΟΤΗΣ,"


0.1 Χλμ
",2,-,notishotel@yahoo.com,22730-22722,,,,,Σάμος,ΛΕΩΦΟΡΟΣ ΚΑΛΛΙΣΤΡΑΤΟΥ 15,831 00
ΝΤΙΝΑ,"


2.5 Χλμ
",2,,lagada4@windowslive.com,22540-25815,6976576227,,22540-29290,,Πλατύ,ΠΛΑΤΥ ΛΗΜΝΟΥ,814 00
ΝΤΟΡΥΣΣΑ ΜΠΟΥΤΙΚ ΧΟΤΕΛ,,3,www.doryssaboutique.gr,manager@doryssaboutique.gr,2273062218,,,2273061463,,Σάμος,,83103
ΝΥΦΙΔΑ,"


4 Χλμ
",3,www.nifidabeach.gr,info@nifidabeach.gr,22520-41841,,2252-041068,22520-42266,2252-042266,Νυφίδα,,813 00
ΟΔΥΣΣΕΑΣ,"


1 Χλμ
",2,,ody3pa@otenet.gr,22730-27848,,2273-023186,22730-23185,,Σάμος,ΒΛΑΜΑΡΗΣ 35,831 00
ΟΙΝΟΗ,"


3 Χλμ
",2,,philipx73@gmail.com,22750-23159,22750-23010,2275-023159,22750-23159,2275-023159,Θέρμα,ΘΕΡΜΑ ΙΚΑΡΙΑΣ,833 00
ΟΛΥΜΠΙΑ ΒΙΛΛΑΖ,"


10 Χλμ
",3,www.olympia-hotels.gr,olympia@samedia.net,22730-92420,22730-92324,2273-028383,22730-92457,2273-022083,Κοκκάρι,ΚΟΚΚΑΡΙ ΣΑΜΟΥ,831 00
ΟΛΥΜΠΙΑΔΑ,"


0.2 Χλμ
",1,,,22730-61490,,2273-061490,22730-61490,,Πυθαγόρειο,ΠΥΘΑΓΟΡΕΙΟ ΣΑΜΟΥ,831 03
ΟΛΥΜΠΟΙ,"


6 Χλμ
",3,,natassastrachini@gmail.com,22710-69095,,,22710-42519,,Ολύμποι,,821 02
ΟΜΗΡΟΣ,"


7 Χλμ
",1,,balim@otenet.gr,22520-61444,22520-61486,,,,Βρίσα,,813 00
ΟΜΟΡΦΗ ΘΕΑ,"


2 Χλμ
",3,www.bellavistahotel-molivos.com,info@bellavistahotel-molivos.com,22530-71545,22530-71679,21-06818512,22530-72257,,Ευθαλού,ΕΥΘΑΛΟΥ ΜΗΘΥΜΝΑΣ ΛΕΣΒΟΥ,811 08
ΟΝΕΙΡΟ ΤΟΥ ΑΙΓΑΙΟΥ,,4,www.aegeandream.eu,info@aegeandream.eu,22710-33471,,,,,Καρφάς,ΚΑΡΦΑΣ ΧΙΟΥ,821 00
ΟΡΑΜΑ,"


1 Χλμ
",2,,oramahotelsigri@yahoo.gr,22530-54226,,,22530-54450,,Σιγρί,,811 12
ΟΡΜΟΣ ΑΡΜΟΝΙΑ,"


2.5 Χλμ
",3,www.armoniabay.com,hotel@armoniabay.com,22730-92279,,21-06542018,22730-92583,21-06542018,Κοκκάρι,ΘΕΣΗ ΤΣΑΜΑΔΟΥ,831 00
ΟΡΜΟΣ ΕΜΠΟΡΙΟΣ,"


5 Χλμ
",3,www.emporiosbay.gr,info@emporiosbay.gr,22710-70180,2271070182,2271-020160,,,Εμπορειός,,821 02
ΟΡΦΕΑΣ,"


1 Χλμ
",2,www.orfeas-hotel.com,info@orfeas-hotel.com,22510-28523,22510-43466,,22510-21930,,Μυτιλήνη,ΚΑΛΣΑΚΟΥΛΗ ΚΙΟΣΚΙ 3,811 00
ΟΥΑΝ,"


30 Χλμ
",2,www.arethousa-hotel.gr,areth1@otenet.gr,22730-61616,,22730-27744,22730-62004,22730-62004,Ποτοκάκι,ΠΟΤΟΚΑΚΙ ΣΑΜΟΥ,831 03
ΠΑΛΜ ΜΠΙΤΣ,"


0.5 Χλμ
",2,,gianna_gr_2001@hotmail.com,22730-92300,,2273-092300,2730-92300,,Κοκκάρι,ΚΟΚΚΑΡΙ ΣΑΜΟΥ,831 00
ΠΑΝΘΕΟΝ,"


3 Χλμ
",3,www.pan-theon.gr,info@pan-theon.gr,22730-37296,,,22730-37296,,Όρμος Μαραθοκάμπου,ΟΡΜΟΣ ΜΑΡΑΘΟΚΑΜΠΟΥ ΣΑΜΟΥ,831 02
ΠΑΝΟΡΑΜΑ,"


50 Χλμ
",3,www.panoramahotel-lesvos.com,info@panoramahotel-lesvos.com,2253041543,2253041792,2253041543,22530-41792,2253041792,Πέτρα,ΠΕΤΡΑ ΛΕΣΒΟΥ,811 09
ΠΑΝΣΕΛΗΝΟΣ,"


2.5 Χλμ
",3,www.panselinoshotel.gr,samarigr@otenet.gr,22530-71905-6,2253072320,251-028589,22530-71904,251-027410,Μήθυμνα,ΜΗΘΥΜΝΑ ΛΕΣΒΟΥ (ΕΦΤΑΛΟΥ),811 00
ΠΑΡΑΔΕΙΣΟΣ,"


1.2 Χλμ
",2,www.samosparadise.gr,samosparadise@otenet.gr,22730-23911,6936-974801,2273-023911,22730-28754,2273-028754,Σάμος,ΣΑΜΟΣ,831 00
ΠΑΡΑΛΙΑ ΤΑΡΣΑΝΑΣ,"


0.15 Χλμ
",2,www.samos-travel.com/tarsanas,tarsanas@yahoo.gr,22730-92582,,6973-395998,22730-92582,,Κοκκάρι,ΚΟΚΚΑΡΙ ΣΑΜΟΥ,831 00
ΠΑΡΙΣ,"


0.1 Χλμ
",1,,parisamo@otenet.gr,2273095397,,2273-095397,22730-95397,2273-095397,Πυθαγόρειο,ΠΥΘΑΓΟΡΕΙΟΝ ΣΑΜΟΥ,831 03
ΠΑΣΙΦΑΗ,"


3 Χλμ
",3,www.pasiphae.gr,info@pasiphae.gr,22530-23212,22530-23213,6946-842010,22530-23154,2253-023154,Καλλονή,ΛΙΜΝΕΣ,811 07
ΠΕΛΑΓΟΣ,,2,,,22730-37006,,,,,Κάμπος Μαραθοκάμπου,ΚΑΜΠΟΣ ΜΑΡΑΘΟΚ. ΣΑΜΟΥ,831 02
ΠΕΛΛΑ,"


3 Χλμ
",2,www.pelahotel.gr,info@pelahotel.gr,22530-22201,22530-29301,,22530-23530,,Καλλονή,ΣΚΑΛΑ ΚΑΛΛΟΝΗΣ ΛΕΣΒΟΥ,811 07
ΠΕΡΛ ΜΠΕΪ,,3,www.pearlbay.gr,info@pearlbay.gr,22710-94510,,,,,Βροντάδος,ΒΡΟΝΤΑΔΟΣ ΔΑΣΚΑΛΟΠΕΤΡΑ ΧΙΟΥ,822 00
ΠΕΡΛΕΑΣ,"


10 Χλμ
",4,www.perleas.gr,info@perleas.gr,22710-32217,32962,6946952553,22710-32364,,Χίος,ΚΑΜΠΟΣ ΧΙΟΥ,821 00
ΠΕΤΑΛΙΔΙ,"


3 Χλμ
",2,www.hotelpetalidi.gr,info@hotelpetalidi.gr,6979075775,,,22510-94595,,Μιστεγνά,ΜΥΣΤΕΓΝΑ ΛΕΣΒΟΥ,811 00
ΠΗΓΑΣΟΣ,"


0.1 Χλμ
",2,pegasus-hotel-samos.gr,pegasuspythagorion@gmail.com,22730-61455,22730-62663,6978161284,22730-61688,2273061688,Πυθαγόρειο,ΠΥΘΑΓΟΡΕΙΟ ΣΑΜΟΥ,831 03
ΠΛΑΖΑ,"


3 Χλμ
",3,www.plazalesvos.com,plazapalace1@yahoo.gr,22530-42111,,2253-092366,22530-42114,,Άναξος Σκουτάρου,,811 09
ΠΛΑΤΥ ΜΠΗΤΣ,"


2.6 Χλμ
",3,www.platybeach.com,platybeach@gmail.com,22540-23583,,,22540-23635,,Πλατύ,ΠΛΑΤΥ ΛΗΜΝΟΥ,814 00
ΠΟΛΥΚΡΑΤΗΣ,"


0.05 Χλμ
",2,,hotelpolycrates@gmail.com,22730-61398,,2273-061398,22730-62700,2273-062700,Πυθαγόρειο,ΠΥΘΑΓΟΡΕΙΟΝ ΣΑΜΟΥ,831 03
ΠΟΛΥΞΕΝΗ,"


0.1 Χλμ
",2,www.polyxenihotel.com,info@polyxenihotel.com,22730-61590,,6973-425166,22730-61359,2273-061359,Πυθαγόρειο,ΠΥΘΑΓΟΡΕΙΟΝ ΣΑΜΟΥ,831 03
ΠΟΡΤΟ ΛΕΣΒΟΣ,"


2 Χλμ
",4,www.portolesvos.gr,portolesvos@yahoo.gr,22510-41771,2251037172,,22510-43179,,Μυτιλήνη,ΚΟΜΝΗΝΑΚΗ 21,811 00
ΠΟΡΤΟ ΜΥΡΙΝΑ ΠΑΛΛΑΣ,"


2 Χλμ
",5,www.neilsonhellashotels.gr,limnos.financedept@neilsonresorts.com,22540-24805,,,22540-24858,,Μύρινα,ΜΥΡΙΝΑ ΛΗΜΝΟΥ,814 00
ΠΟΡΤΟ ΠΛΑΖΑ,,4,,info@portoplaza.gr,22540-62101,,,,,Μύρινα,ΑΓΙΟΣ ΙΩΑΝΝΗΣ-ΚΑΣΠΑΚΑΣ,814 00
ΠΟΣΕΙΔΩΝ,"


0.3 Χλμ
",2,,adonishotel@gmail.com,22530-71981,,2253-071570,,,Μήθυμνα,,811 08
ΠΟΣΕΙΔΩΝ,"


7 Χλμ
",1,www.poseidon-kokkari.gr,info@poseidon-kokkari.gr,22730-92384,,,,,Κοκκάρι,ΚΟΚΚΑΡΙ ΣΑΜΟΥ,831 00
ΠΟΣΕΙΔΩΝ,,1,www.poseidonlemnos.gr,info@poseidonlemnos.gr,22540-23982,,,22540-24856,,Μύρινα,ΣΟΦΟΚΛΕΟΥΣ 14,814 00
ΠΟΣΕΙΔΩΝΙΟΝ,"


6 Χλμ
",2,,contact@kemen.gr,22710-32241,22710-31727,6993543347,22710-31727,22710-31727,Καρφάς,ΚΑΡΦΑΣ ΧΙΟΥ,821 00
ΠΡΙΓΚΗΠΙΣΣΑ,"


3 Χλμ
",2,www.princess-studios.gr,hotel@princess-studios.gr,22510-61624,22510-61646,6977-785202,22510-61444,,Νεάπολη,ΝΕΑΠΟΛΗ ΜΥΤΙΛΗΝΗΣ,811 00
ΠΡΙΓΚΙΠΙΣΣΑ ΡΙΒΙΕΡΑ ΘΕΡΕΤΡΟ,"


12.5 Χλμ
",3,www.princessa.gr,hotel@princessa.gr,2273062451,2273062452,2273-062451,2273062453,2273-062453,Πυθαγόρειο,ΠΥΘΑΓΟΡΕΙΟΝ ΣΑΜΟΥ,831 03
ΠΡΩΙΝΟ ΑΣΤΕΡΙ,"


3 Χλμ
",3,www.morningstar.γρ,m-star@otenet.gr,22710-41398,22710-41827,,22710-28934,,Χίος,ΚΟΝΤΑΡΙ ΧΙΟΥ,821 00
ΠΡΩΤΕΑΣ,"


11 Χλμ
",5,www.proteasbluresort.gr,nathanasiou@proteasbluresort.gr,22730-62200,22730-62200,6947-424384,22730-62620,,Πυθαγόρειο,ΠΥΘΑΓΟΡΕΙΟ ΣΑΜΟΥ,831 03
ΠΥΘΑΓΟΡΑΣ,"


0.06 Χλμ
",1,,itsa@otenet.gr,22730-28422,22730-28601,2273-028422,22730-28893,2273-028893,Σάμος,ΚΑΛΙΣΤΡΑΤΟΥ 12,831 00
ΠΥΘΑΙΣ,"


0.5 Χλμ
",2,www.pythaishotel.com,pythaishotel@gmail.com,22730-61526,,2273-061526,22730-61049,2273-061049,Πυθαγόρειο,ΠΥΘΑΓΟΡΕΙΟ ΣΑΜΟΥ,831 03
ΠΥΡΓΟΣ ΒΙΛΛΑΤΖ,"


0.5 Χλμ
",5,,,22740-22050,,2130-223933,,,Βολισσός,ΒΟΛΙΣΣΟΣ ΧΙΟΥ,821 03
ΠΥΡΓΟΣ ΒΙΛΛΑΤΖ-ΣΠΗΛΑΔΙΑ,"


4 Χλμ
",4,www.pyrgosvillage.gr,,22710-22436,,213-0223933,,21-09348555,Χίος,ΣΠΗΛΑΔΙΑ ΧΙΟΥ,821 00
ΠΥΡΓΟΣ ΜΥΤΙΛΗΝΗΣ,"


1.5 Χλμ
",4,www.pyrgoshotel.gr,info@pyrgoshotel.gr,22510-27977,22510-25069,,22510-47319,,Μυτιλήνη,ΕΛ.ΒΕΝΙΖΕΛΟΥ 49,811 00
ΠΥΡΓΟΣ ΣΟΦΟΚΛΕΟΥΣ,,4,www.pyrgossofokleous.gr,gkarinos@hotmail.com,2251040200,6974109377,,2251040200,,Μυτιλήνη,,81100
ΡΑΝΙΑ,"


0.05 Χλμ
",2,RANIABEACHSAMOS,gkarvanitis@hotmail.com,22730-95300,2273095306,21-06120442,22730-95300,,Ηραίο,ΗΡΑΙΟ ΣΑΜΟΥ,831 03
ΡΕΜΕΤΖΟ,"


12 Χλμ
",2,,desk@remezzo-hotel-pythagorion.com,22730-61120,22730-61816,2273-061120,22730-61637,2273-061637,Πυθαγόρειο,ΠΥΘΑΓΟΡΕΙΟ ΣΑΜΟΥ,831 03
ΡΕΝΑ,"


0.1 Χλμ
",1,,renahotelikaria@yahoo.com,22750-22903,22750-23991,2275-022486,,,Θέρμα,ΘΕΡΜΑ ΙΚΑΡΙΑΣ,833 00
ΣΑΜΑ,,2,www.sama.gr,sama@sama.gr,22730-61123,,,22730-61885,,Πυθαγόρειο,,831 03
ΣΑΜΑΙΝΑ,"


0.55 Χλμ
",2,www.samaina-hotel-samos.com,samainahotel@gmail.com,22730-61024,22730-62444,6936078159,,,Πυθαγόρειο,ΠΥΘΑΓΟΡΕΙΟΝ ΣΑΜΟΥ,831 03
ΣΑΜΑΙΝΑ ΙΝΝ,"


0.8 Χλμ
",4,www.samainahotels.gr,info@samainahotels.gr,22730-30400,22730-30850,2273-030850,22730-34471,2273-034471,Νέο Καρλοβάσι,ΚΑΡΛΟΒΑΣΙ ΣΑΜΟΥ,832 00
ΣΑΜΑΙΝΑ ΜΑΙΖΟΝΕΤΕΣ,"


0.8 Χλμ
",4,www.samainahotels.gr,katerinastavrou1@gmail.com,6946681155,22730-030850,2273-030850,22730-34471,2273-034471,Νέο Καρλοβάσι,ΚΑΡΛΟΒΑΣΙ ΣΑΜΟΥ,832 00
ΣΑΜΑΙΝΑ ΠΟΡΤ,"


1 Χλμ
",3,www.samainahotels.gr,info@samainahotels.gr,6946681155,22730-30610,2273-030850,22730-34471,2273-034471,Νέο Καρλοβάσι,ΚΑΡΛΟΒΑΣΙ ΣΑΜΟΥ,832 00
ΣΑΜΙΑΝ ΜΑΡΕ ΞΕΝΟΔΟΧΕΙΟ & ΣΟΥΙΤΕΣ,"


1.5 Χλμ
",4,,sales@ergons.gr,22730-30811/15,,2273-034004/8,22730-30816,2273-034009,Νέο Καρλοβάσι,ΚΑΡΛΟΒΑΣΙ ΣΑΜΟΥ,832 00
ΣΑΜΟΣ,"


0.2 Χλμ
",3,www.samoshotel.gr,hotsamos@otenet.gr,22730-28377,22730-28378,,22730-28482,,Σάμος,ΘΕΜ.ΣΟΦΟΥΛΗ 6,831 00
ΣΑΠΦΩ,"


1 Χλμ
",2,,hotel.sappho@gmail.com,22510-28415,22510-22888,,22510-24522,,Μυτιλήνη,ΚΟΥΝΤΟΥΡΙΩΤΟΥ 31,811 00
ΣΑΠΦΩ Η ΕΡΕΣΣΙΑ,"


0.01 Χλμ
",2,www.sappho-hotel.com,sappho.hotel@gmail.com,22530-53233,,21-09401780,22530-53174,21-09401780,Σκάλα Ερεσού,,811 05
ΣΕΒΔΑΛΗΣ,"


0.1 Χλμ
",2,,emmisevdali@gmail.com,2254022303,2254022691,,22540-25429,,Μύρινα,ΜΥΡΙΝΑ ΛΗΜΝΟΥ,814 00
ΣΙΡΕΝΑ ΡΕΖΙΝΤΕΝΣ,,4,www.sirena.gr,info@sirena.gr,22730-31035,,22730-35025,22730-31033,,Μαραθόκαμπος,ΚΑΣΤΡΙ ΚΑΜΠΟΥ ΜΑΡΑΘΟΚΑΜΠΟΥ,831 02
ΣΚΟΡΠΙΟΣ ΞΕΝΟΔΟΧΕΙΟ & ΣΟΥΙΤΕΣ,"


1 Χλμ
",3,www.e-scorpios.com,info@e-scorpios.com,2273022600,22730-22300,2273022600,-,2273024005,Σάμος,ΚΑΛΑΜΙ,831 00
ΣΜΑΡΑΓΔΑ,"


10 Χλμ
",2,,hotelsmaragda@yahoo.gr,22730-37017,,2273-078154,22730-37017,,Μαραθόκαμπος,ΜΑΡΑΘΟΚΑΜΠΟΣ ΣΑΜΟΥ,831 02
ΣΟΟΥ ΝΑΪΣ,"


1 Χλμ
",3,https://sonice-samos.com,info@sonice-samos.com,22730-37300,,2273037300,,,Κάμπος Μαραθοκάμπου,ΚΑΜΠΟΣ ΜΑΡΑΘΟΚΑΜΠΟΣ ΣΑΜΟΥ,831 02
ΣΟΡΟΚΚΟ,"


0.5 Χλμ
",3,,,22510-84414,,,,,Σκόπελος,ΓΕΡΑ,811 06
ΣΟΦΙΑ,"


25 Χλμ
",2,www.sofihotel.gr,info@sofihotel.gr,22730-37035,,22730-37035,,,Κάμπος Μαραθοκάμπου,καμπος μαραθοκαμπου,831 02
ΣΠΙΤΙ,"


0.04 Χλμ
",2,,info@spiti-samos.de,22730-95346,,2273-095346,22730-95411,,Ηραίο,ΗΡΑΙΟΝ ΣΑΜΟΥ,831 03
ΣΤΕΛΛΑ,"


4 Χλμ
",1,www.hotel-stella.gr,dgeorgalas98@hotmail.com,22730-37429,22730-31500,6932-424995,22730-37429,,Μαραθόκαμπος,,831 02
ΣΤΟΕΣ,,2,www.stoes.gr,info@stoes.gr,2271076377,,,2271043436,,Μεστά,,82102
