Όνομα,Απόσταση από νοσοκομείο,Αστέρια,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Ταχυδρομικός Κώδικας,Ιστοσελίδα,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Διεύθυνση,Εναλλακτικό Φαξ
ΚΑΠΤΑΙΝ’Σ,"


0.6 Χλμ
",2,captainshotelkos@yahoo.gr,22420-22961,22420-22962,Κως,853 00,,22420-22962,2242-022960,ΚΩΣ,2242-022962
ΚΑΠΤΑΙΝ’Σ ΡΟΚΣ,,3,info@captainsrocks.gr,2284041159,2284041155,Πάρος,844 00,www.captainsrocks.gr,2284041630,6946124323,,2284041155
ΚΑΠΤΕΝ ΠΑΥΛΟΣ,,3,captainpavloskos@gmail.com,6946818840,,Κως,853 00,captain-pavlos.gr,,6946818840,,
ΚΑΡΑΒΕΛ,"


4 Χλμ
",3,caravel@caravelhotel.gr,22410-90880,22410-93861,Ιαλυσός,851 01,www.caravelhotel.gr,,2241-090880,ΛΕΩΦ.ΗΡΑΚΛΕΙΔΩΝ 101,
ΚΑΡΑΒΕΛ,,2,,22420-23628,,Κως,853 00,,,,Γ.ΑΒΕΡΩΦ 24,
ΚΑΡΑΒΙΑ ΜΠΗΤΣ,"


12 Χλμ
",4,manager@caraviabeach.gr,22420-41291,22420-41215,Μαρμάρι,853 00,www.caraviabeach.gr,210-7240233,21-07240233,ΤΑΧ.ΘΥΡΙΔΑ 28,21-07219572
ΚΑΡΑΒΟ,"


2 Χλμ
",2,info@hotelkarabo.gr,22430-61782,22430-61073,Αστυπάλαια,859 00,www.hotelkarabo.gr,22430-61783,21-04280255,ΛΙΒΑΔΙ ΑΣΤΥΠΑΛΑΙΑΣ,21-04280629
ΚΑΡΑΒΟΣ,"


1 Χλμ
",2,karavoshotel@yahoo.gr,22440-22961,22440-23263,Αρχάγγελος,851 02,,22440-24021,,ΑΡΧΑΓΓΕΛΟΣ ΡΟΔΟΥ,
ΚΑΡΑΝΑΣΟΣ,"


24 Χλμ
",2,hotelkaranasos@gmail.com,22820-41480,22820-41481,Μπατσί,845 03,www.hotelkaranasos.gr,,6937233262,ΜΠΑΤΣΙ ΑΝΔΡΟΥ,210-5755463
ΚΑΡΔΑΜΟΣ,,2,,22420-91323,,Καρδάμαινα,853 02,,,,ΚΑΡΔΑΜΑΙΝΑ ΚΩΣ,
ΚΑΡΘΑΙΑ,"


0.1 Χλμ
",2,hotelkarthea@gmail.com,22880-21222,22880-21417,Κορησσία,840 02,www.hotelkarthea.gr,22880-21204,21-08055344,ΚΟΡΗΣΙΑ ΚΕΑΣ,21-08055344
ΚΑΡΙΑΝ,,4,info@carianhotel.gr,2243047700,,Κάλυμνος,85200,www.carianhotel.gr,,,,
ΚΑΡΙΝΑ,"


0.8 Χλμ
",2,carinarh@otenet.gr,22410-22381,22410-36541,Ρόδος,851 00,,22410-22382,2241-022381,Γ.ΓΡΙΒΑ 56,2241-036541
ΚΑΡΙΣ,"


0.8 Χλμ
",2,hotelkaris@gmail.com,22420-22990,22420-22828,Κως,853 00,,,,ΜΠΟΥΜΠΟΥΛΙΝΑΣ 36,
ΚΑΡΚΗΣΙΑ,,2,info@karkisia-hotel.gr,2285073180,2285073182,Αμοργός,840 08,http://karkisia-hotel.gr,2285073181,,ΟΡΜΟΣ,
ΚΑΡΛΟΣ,"


6 Χλμ
",3,info@carlo.gr,22830-24159,22830-24169,Δύο Χωριά,842 00,http://www.carlo.gr,22830-24169,2283-025259,ΑΓ.ΙΩΑΝΝΗΣ ΠΟΡΤΟ ΤΗΝΟΥ,2283-024169
ΚΑΡΜΑ,"


9 Χλμ
",1,info@karmasifnos.gr,2284071251,,Πλατύς Γιαλός,840 03,www.karmasifnos.gr,,2284071521,Τ.Θ.1003- ΠΛΑΤΥΣ ΓΙΑΛΟΣ ΣΙΦΝΟΥ,
ΚΑΡΜΠΟΝΑΚΙ,"


0.2 Χλμ
",3,info@carbonaki.gr,22890-22461,22890-24102,Μύκονος,846 00,www.carbonaki.gr,22890-24124,2289-027124,ΦΟΥΡΝΑΚΙΑ,2289-024102
ΚΑΡΜΠΟΝΗΣ,"


1 Χλμ
",1,nkousathanas@gmail.com,22890-22217,22890-23264,Μύκονος,846 00,,,2289-022475,ΜΥΚΟΝΟΣ,2289-023310
ΚΑΡΠΑΘΟΣ,"


0.8 Χλμ
",1,,22450-22347,22450-22248,Κάρπαθος,857 00,,22450-22248,,ΔΗΜΟΚΡΑΤΙΑΣ 25,
ΚΑΡΥΑΤΙΔΕΣ,,3,,22440-22965,,Αρχάγγελος,851 02,,,,ΑΡΧΑΓΓΕΛΟΣ ΡΟΔΟΥ,
ΚΑΡΥΔΗΣ,"


0.5 Χλμ
",1,karidishotel@hotmail.com,22860-31474,2286031475,Καμάρι,847 00,www.karidishotel.gr,,21-09768054,,
ΚΑΣΙΜΑΤΗΣ ΣΟΥΙΤΣ,,4,kasimatis-studios@hotmail.com,22860-28780,,Ημεροβίγλι,847 00,,,,ΗΜΕΡΟΒΙΓΛΙ,
ΚΑΣΣΑΝΔΡΑ,"


7 Χλμ
",3,hotelkassandra@gmail.com,22410-94960/1,22410-94237,Ιαλυσός,851 01,,94236,6942-411786,ΡΙΜΙΝΙ 1,2241-094237
ΚΑΣΤΕΛΙΑ ΜΠΑΙΗ,"


7 Χλμ
",2,info@casteliabay.gr,22450-22678,22450-81178,Μενέτες,857 00,www.casteliabay.gr,22450-81178,,,
ΚΑΣΤΕΛΛΑΚΙΑ,"


2 Χλμ
",1,info@hotelkastelakia.com,22890-22571,22890-28071,Μύκονος,846 00,http://hotelkastelakia.com/,,2289-022571,ΓΛΑΣΤΡΟ ΜΥΚΟΝΟΥ,
ΚΑΣΤΕΛΛΑΝΙΑ,,2,lardopoulospetros@hotmail.com,22460-44235,,Λιβάδια,850 02,,,,ΛΕΙΒΑΔΙΑ,
ΚΑΣΤΕΛΛΑΝΟ,"


9 Χλμ
",3,info@castellanovillage.gr,22430-64010,22430-62064,Αστυπάλαια,859 00,http://castellanovillage.gr,,210-7625313,ΔΙΑΠΟΡΑ,210-7625313
ΚΑΣΤΕΛΛΙ,"


2 Χλμ
",2,casteli@otenet.gr,22470-31361,22470-31656,Πάτμος,855 00,www.casteli.gr,22470-31665,,ΣΚΑΛΑ ΠΑΤΜΟΥ,
ΚΑΣΤΕΛΛΟ,"


6 Χλμ
",3,th.pellos@gmail.com,22410-51249,22410-64812,Ρόδος,851 00,www.castellodirodi.gr,,6936-679688,ΛΕΩΦ.ΚΑΛΛΙΘΕΑΣ,
ΚΑΣΤΕΛΛΟΡΙΖΟ,"


0.3 Χλμ
",3,info@kastellorizohotel.gr,22460-49044,,Μεγίστη,851 11,www.kastellorizohotel.gr,,,ΚΑΣΤΕΛΛΟΡΙΖΟ ΔΩΔΕΚΑΝΝΗΣΟΥ,
ΚΑΣΤΕΛΟ,"


9 Χλμ
",1,,22840-51622,22840-52600,Νάουσα,844 01,,22840-51020,2284-051020,ΝΑΟΥΣΑ ΠΑΡΟΥ,2284-052600
ΚΑΣΤΙΛΛΙΟ,"


8 Χλμ
",2,hotel@castillio.gr,22430-61552,22430-61551,Αστυπάλαια,859 00,www.castillio.gr,22430-61553,21-04965774,ΑΝΑΛΗΨΗ ΑΣΤΥΠΑΛΑΙΑΣ,21-04943287
ΚΑΣΤΡΟ,,3,info@hotel-castro.com,22860-41230,22860-41230,Φολέγανδρος,840 11,www.hotel-castro.com,22860-41414,21-07781658,ΦΟΛΕΓΑΝΔΡΟΣ,21-07781658
ΚΑΣΤΡΟ,"


0.08 Χλμ
",3,info@kastrosuites.com,22860-25730,22860-25740,Θήρα,847 00,www.kastrosuites.com,,,ΦΗΡΑ ΘΗΡΑΣ,
ΚΑΣΤΡΟ ΚΑΤΕΡΙΝΑΣ,"


1.5 Χλμ
",1,hkaterin@otenet.gr,22860-23111,22860-22014,Ημεροβίγλι,847 00,,22860-22708,2286-022678,ΗΜΕΡΟΒΙΓΛΙ ΘΗΡΑΣ,2286-022014
ΚΑΤΑΛΥΜΑ ΧΩΡΙΟΥ ΠΕΥΚΟΣ,"


0.5 Χλμ
",3,info@pefkosvillageresort.gr,2244048082,,Πεύκοι,851 07,www.pefkosvillageresort.gr,,,ΠΕΥΚΟΙ ΛΙΝΔΟΥ ΡΟΔΟΥ,
ΚΑΤΕΡΙΝΑ,"


1 Χλμ
",1,mimelanitis@yahoo.gr,22840-41390,22840-41390,Πίσω Λιβάδι,844 00,Www.hotel-katerina.com.gr,6932-599529,,ΠΙΣΩ ΛΕΙΒΑΔΙ ΠΑΡΟΥ,
ΚΑΤΕΡΙΝΑ,"


5 Χλμ
",3,info@naxoskaterina.com,22850-42537,22850-42731,Άγιος Προκόπιος,843 00,www.naxoskaterina.com,22850-41958,,ΑΓ.ΠΡΟΚΟΠΙΟΣ ΝΑΞΟΥ,
ΚΑΤΕΡΙΝΑ,,3,info@ios-katerina.com,2286091614,,Μυλοπότας,84001,,,,,
ΚΑΤΙΑ,"


1 Χλμ
",2,katiahotel1@hotmail.com,22410-90373,22410-94655,Ιαλυσός,851 01,,22410-90409,2241-092666,ΛΕΩΦ.ΗΡΑΚΛΕΙΔΩΝ 40,2241-094655
ΚΑΤΟΙΚΙΕΣ,"


10 Χλμ
",5,info@katikies.com,+30 22860 72382,+30 22860 71129,Οία,847 02,https://www.katikies.com/katikieshotelsantorini/,,2286-071401,ΟΙΑ ΘΗΡΑΣ,2286-071129
ΚΑΤΟΙΚΙΕΣ ΓΚΑΡΝΤΕΝ,,5,info@katikiesgarden.com,+30 2286440900,,Θήρα,84700,https://www.katikies.com/katikiesgardensantorini/,,,,
ΚΑΤΡΑΣ,"


5 Χλμ
",2,o.m@moremeni.gr,2242068238,22420-68338,Τιγκάκι,853 00,www.katras.gr,2242069222,,,
ΚΑΤΡΗΣ,"


0.3 Χλμ
",1,info@katrisapartments.com,22860-22842,,Θήρα,847 00,https://www.katrisapartments.com/contact,,,ΦΗΡΑ ΘΗΡΑΣ,
ΚΑΤΣΑΡΑΣ ΜΠΕΙ ΣΑΙΝΤ,"


10 Χλμ
",4,manager@baysidehotel.gr,2241095004,2241096360,Κρεμαστή,851 04,www.baysidehotel.gr,2241096360,2241086589,ΚΡΕΜΑΣΤΗ ΡΟΔΟΥ,
ΚΑΤΩ ΓΙΑΛΟΣ,"


0.3 Χλμ
",1,katoyialos_paros@outlook.com,22840-21403,22840-21403,Πάρος,844 00,,,6948-566530,ΝΕΑΠΟΛΙΣ ΠΑΡΟΥ,
ΚΑΦΙΕΡΗΣ Ν.,"


0.5 Χλμ
",2,kafierisapartments@gmail.com,22860-25759,22860-22551,Θήρα,847 00,www.kafierisapartments.gr,22860-22059,2286-023568,ΦΗΡΟΣΤΕΦΑΝΙ ΘΗΡΑΣ,
ΚΕΝΣΟ,,5,info@kenshomykonos.com,2289029001,22890-27010,Ορνός,84600,www.kenshomykonos.com,22890-29010,2310455299,ΟΡΝΟΣ ΜΥΚΟΝΟΥ,2310434130
ΚΕΝΣΟ ΨΑΡΡΟΥ,,5,plasstourgos@kenshomykonos.com,2289029002,2289024001,Ψαρρού,84600,www.kenshomykonos.com,2289027080,2310455299,,2310434130
ΚΕΝΤΡΟ ΑΓΙΑ ΜΑΡΙΝΑ,"


0.5 Χλμ
",2,santamarinahotel.kos@gmail.com,22420-25429,22420-30025,Κως,853 00,www.hotelsantamarina-kos.gr,22420-30026,,ΜΑΚΡΥΓΙΑΝΝΗ 29,
ΚΕΝΤΡΟ ΤΗΣ ΠΟΛΗΣ,"


0.5 Χλμ
",3,accountkiprioti@yahoo.gr,22410-26888,22410-28111,Ρόδος,851 00,www.citycenterrhodes.gr,,2241-025890,ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ 2,2241-077900
ΚΕΡΟΣ,"


0.1 Χλμ
",3,keroshotel@yahoo.gr,22850-71601,22850-71961,Κουφονήσι,843 00,www.keroshotel.gr,22850-71961,21-02915655,ΚΟΥΦΟΝΗΣΙ ΝΑΞΟΥ,21-02915655
ΚΕΩΣ,,2,info@keos.gr,2288021661,,Κορησσία,840 02,https://www.keos.gr/,,,,
ΚΗΠΟΙ ΤΗΣ ΛΙΝΔΟΥ,"


0.5 Χλμ
",3,info@lindosgardens.gr,22440-31628,22440-31628,Λίνδος,851 07,www.lindosgardens.gr,,2241-028002,ΛΙΝΔΟΣ ΡΟΔΟΥ (ΚΡΑΝΑ),2241-028002
ΚΗΠΟΣ,"


10 Χλμ
",2,info@garden-hotel.gr,2241047008,,Παστίδα,851 06,www.garden-hotel.gr,22410-47900,22410-72538,ΠΑΣΤΙΔΑ ΡΟΔΟΥ,
ΚΗΠΟΣ ΚΟΡΑΛΙΟΥ,"


0.6 Χλμ
",2,info@koraligarden.com,22850-23784,22850-25052,Νάξος,843 00,www.koraligarden.com,22850-25709,22850-25709,,22850-25052
ΚΗΠΟΣ ΠΕΥΚΩΝ,"


4 Χλμ
",3,p_garden@otenet.gr,22440-48259,22440-48228,Πεύκοι,851 07,www.pefkosgarden.gr,,6970838857,ΠΕΥΚΟΙ ΡΟΔΟΥ,
ΚΗΠΟΣ ΣΟΥΡΜΕΛΗ,"


0.5 Χλμ
",1,info@sourmeligarden.gr,22890-28255,22890-28282,Μύκονος,846 00,www.sourmeligarden.gr,,,ΒΡΥΣΗ ΜΥΚΟΝΟΥ,
ΚΗΠΟΣ ΤΟΥ ΗΛΙΟΥ,"


5 Χλμ
",2,,22440-48033,,Πεύκοι,851 07,,,2241-038846,,
ΚΙΒΩΤΟΣ,"


4 Χλμ
",5,kivotos@kivotosmykonos.com,22890-24094,22890-22844,Ορνός,846 00,https://www.kivotoshotels.com/mykonos/hotel/,,210-6749111,ΟΡΝΟΣ ΜΥΚΟΝΟΥ,210-6749299
ΚΙΒΩΤΟΣ ΣΑΝΤΟΡΙΝΗ,,5,kivotos@kivotossantorini.com,2106749111,,Ημεροβίγλι,84700,www.kivotossantorini.com,,,,
ΚΙΚΗ,"


2 Χλμ
",2,giorgostav@gmail.com,22840-32329,22840-31453,Καμάρες,840 03,https://www.hotelkikisifnos.gr/,210-6921971,,ΚΑΜΑΡΕΣ ΣΙΦΝΟΥ,
ΚΙΟΤΑΡΙ ΜΠΗΤΣ ΑΠΑΡΤΜΕΝΤΣ,"


4 Χλμ
",2,kiotari_beach_apts@yahoo.gr,22440-47321,22440-47321,Κιοτάρι,851 09,,,2244-047321,ΚΙΟΤΑΡΙ ΑΣΚΛΗΠΙΟΥ ΡΟΔΟΥ,
ΚΛΑΜΠ ΗΛΙΟΛΟΥΣΤΩΝ ΔΙΑΚΟΠΩΝ,"


0.8 Χλμ
",4,rhodes.accounts@sv-clubs.com,22410-92411,22410-92416,Ιαλυσός,851 01,www.sunshinevacationclubs.com,22410-94180,22410-92411,ΠΛΑΤΕΙΑ Ι.ΡΑΠΤΗ 1,2241-092416
ΚΛΑΜΠ ΗΛΙΟΛΟΥΣΤΩΝ ΔΙΑΚΟΠΩΝ ΙΙ,"


0.8 Χλμ
",4,rhodes.frontoffice@sv-clubs.com,22410-92411,22410-92416,Ιαλυσός,851 01,www.sunshinevacationclubs.com,22410-94180,2241-092411,ΠΛΑΤΕΙΑ Ι.ΡΑΠΤΗ 1,2241-092416
ΚΛΕΟΠΑΤΡΑ,"


0.5 Χλμ
",2,reservations@cleopatrahotels.gr,22420-91181,22420-91034,Καρδάμαινα,853 02,www.cleopatrahotels.gr,,2242-091491,ΚΑΡΔΑΜΑΙΝΑ ΚΩ,2242-091180
ΚΛΕΟΠΑΤΡΑ ΙΙ,"


0.5 Χλμ
",3,reservations@cleopatrahotels.gr,22420-92257,22420-91034,Καρδάμαινα,853 02,www.reservations@cleopatrahotels.gr,22420-92258,,ΚΑΡΔΑΜΑΙΝΑ ΚΩ,
ΚΟΑΛΑ,"


0.9 Χλμ
",2,reservations@koalahotel.gr,22420-22897,22420-23388,Κως,853 00,www.koalahotel.gr,,2242-025519,ΧΑΡΜΥΛΟΥ 21,2242-024068
ΚΟΓΚΟ,"


2 Χλμ
",2,info@hotelcongo.gr,22410-24023,22410-30157,Ρόδος,851 00,www.hotelcongo.gr,22410-28820,2241-024023,Ν. &  Λ. ΤΗΛΙΑΚΟΥ 145,2241-030157
ΚΟΚΚΙΝΗ ΠΟΡΤΑ ΡΟΣΣΑ,,4,welcome@kokkiniporta.com,22410-75114,2241075111,Ρόδος,851 00,www.kokkiniporta.com,,,ΑΡΧΙΕΠΙΣΚΟΠΟΥ ΕΥΘΥΜΙΟΥ 24,
ΚΟΚΟΥΝ ΣΟΥΙΤΕΣ,"


1.5 Χλμ
",3,ted@cocoonsuites.com,22860-25230,22860-25956,Ημεροβίγλι,847 00,www.cocoonsuites.com,6973-230643,6980083323,ΗΜΕΡΟΒΙΓΛΙ ΘΗΡΑΣ,2286025230
ΚΟΛΟΡΑΝΤΟ ΤΕΣΣΕΡΙΣ ΕΠΟΧΕΣ,"


1 Χλμ
",2,four.season.Rhodes@gmail.com,22410-22340,,Ρόδος,851 00,,2241075120,2241-022340,ΑΚΤΗ ΜΙΑΟΥΛΗ 32,
ΚΟΛΠΟΣ ΑΜΜΟΟΠΗΣ,"


5 Χλμ
",3,amoopibay@hotmail.com,22450-81184,22450-81105,Κάρπαθος,857 00,,22450-81185,6974-358858,ΜΕΝΕΤΕΣ,
ΚΟΛΠΟΣ ΑΡΔΑΝΙ Ι,"


5 Χλμ
",2,ardani@otenet.gr,22450-81026,22450-81027,Μενέτες,857 00,,,6977-904533,ΑΡΔΑΝΙ ΜΕΝΕΤΩΝ ΚΑΡΠΑΘΟΥ,
ΚΟΛΠΟΣ ΑΡΔΑΝΙ ΙΙ,"


5 Χλμ
",2,ardani@otenet.gr,22450-81026,22450-81027,Μενέτες,857 00,,,6977-904533,ΑΡΔΑΝΙ ΜΕΝΕΤΩΝ ΚΑΡΠΑΘΟΥ,
ΚΟΛΠΟΣ ΑΦΑΝΤΟΥ ΘΕΡΕΤΡΟ ΠΟΛΥΤΕΛΩΝ ΔΙΑΜΕΡΙΣΜΑΤΩΝ,"


19 Χλμ
",5,info@afandoubay.gr,22410-52252,22410-52535,Αφάντου,851 03,www.afandoubay.com,22410-52352,,Τ.Θ.47 ΣΑΝΔΑΛΙ,
ΚΟΛΠΟΣ ΙΑΛΥΣΟΥ,"


1 Χλμ
",4,info@ialyssosbay.gr,2241091841,22410-93420,Ιαλυσός,851 01,www.ialyssosbay.gr,,2241091841,ΠΑΡΑΛΙΑ ΙΑΛΥΣΟΥ,2241-093420
ΚΟΛΠΟΣ ΚΑΜΑΡΙ,"


1 Χλμ
",2,kamari_b@otenet.gr,22420-71556,22420-71534,Κέφαλος,853 01,,,2242-071556,ΚΕΦΑΛΟΣ ΚΩ,2242-071534
ΚΟΛΠΟΣ ΚΙΟΤΑΡΙΟΥ,"


15 Χλμ
",4,haris.koliastasis@meetingpointhellas.gr,22440-47375,22440-47322,Κιοτάρι,851 09,www.mphotels.com,,2241-091131,ΚΙΟΤΑΡΙ ΑΣΚΛΗΠΕΙΟΥ ΡΟΔΟΥ,2241-091134
ΚΟΛΠΟΣ ΚΟΛΥΜΠΙΩΝ ΤΕΧΝΗΣ ΞΕΝΟΔΟΧΕΙΟ,"


4 Χλμ
",4,m.manolis@gmail.com,22410-56268,22410-56321,Κολύμπια,851 03,www.kolymbia.gr,56270,2241-056099,ΚΟΛΥΜΠΙΑ ΡΟΔΟΥ,
ΚΟΛΠΟΣ ΚΥΘΝΟΥ,"


4 Χλμ
",2,info@kythnosbay.gr,22810-31218,22810-31444,Λουτρά,840 06,www.hotelkythnosbay.gr,22810-31441,21-04111620,ΛΟΥΤΡΑ ΚΥΘΝΟΥ,21-04111620
ΚΟΛΠΟΣ ΛΑΡΔΟΥ- ΛΑΡΔΟΣ ΜΠΕΥ,"


50 Χλμ
",3,viesijuri@lardosbay.eu,2244044085,22440-44726,Λάρδος,851 09,www.lardosbay.eu,,6943905070,ΝΕΝΕΤΟΣ ΛΑΡΔΟΥ,22440-44726
ΚΟΛΠΟΣ ΜΑΣΤΙΧΑΡΙ,"


25 Χλμ
",4,accounting@masticharibayhotel.com,22420-59300/6,22420-59307,Μαστιχάρι,853 02,www.masticharibayhotel.com,,2242-059300,ΜΑΣΤΙΧΑΡΙ ΚΩ,
ΚΟΛΠΟΣ ΠΑΡΟΥ – ΠΑΡΟΣ ΜΠΕΙ,"


2 Χλμ
",3,parosbay@otenet.gr,22840-21140,22840-23386,Πάρος,844 00,www.parosbay.gr,22840-21141,21-09602780,ΠΑΡΟΙΚΙΑ ΠΑΡΟΥ,21-09602789
ΚΟΛΠΟΣ ΠΕΛΕΚΑΝΟΥ,"


4 Χλμ
",4,info@pelicanbay-mykonos.com,22890-26620,22890-26438,Πλατύς Γιαλός,846 00,www.pelicanbay-mykonos.com,2289026621,2294077245,ΠΛΑΤΥΣ ΓΙΑΛΟΣ ΜΥΚΟΝΟΥ,
ΚΟΛΠΟΣ ΠΕΤΑΣΣΟΣ,"


4 Χλμ
",3,info@petasos.gr,22890-23737,22890-24101,Πλατύς Γιαλός,846 00,www.petasos.gr,22890-23437,2289-024717,ΠΛΑΤΥΣ ΓΙΑΛΟΣ ΜΥΚΟΝΟΥ,2289-024101
ΚΟΛΠΟΣ ΠΟΣΣΙΡΑΜΑ,"


0.5 Χλμ
",3,info@possiramabay.gr,22450-22916,22450-22919,Κάρπαθος,857 00,www.possiramabay.gr,22450-22918,2241-020131,ΚΑΡΠΑΘΟΣ,2241-034097
ΚΟΛΠΟΣ ΠΥΛΙΟΥ ΙΙ,"


15 Χλμ
",3,pylibay@otenet.gr,22420-41491,22420-41410,Μαρμάρι,853 00,www.pylibayhotel.com,41794,2242-022737,ΜΑΡΜΑΡΙ ΚΩΣ,2242-023727
ΚΟΛΠΟΣ ΡΟΔΟΥ,"


4 Χλμ
",5,info@rhodesbay.com,22410-89900,22410-89901,Ιαλυσός,851 01,www.rhodesbay.com,,2241-089900,ΗΡΑΚΛΕΙΔΩΝ 100,2241-089901
ΚΟΛΠΟΣ ΦΑΛΗΡΑΚΙ,"


0.7 Χλμ
",2,falirakibay@outlook.com,22410-85645,22410-85724,Φαληράκι,851 05,,,,,
ΚΟΛΠΟΣ ΦΟΙΝΙΚΩΝ-ΠΑΛΜ ΜΠΕΥ,,2,sk_tax_2010@yahoo.gr,26610-48073,22440-48330,Πεύκοι,851 07,,26610-48220,,ΠΕΥΚΟΙ ΛΙΝΔΟΥ ΡΟΔΟΥ,
ΚΟΛΠΟΣ ΧΑΡΑΚΙ,"


5 Χλμ
",3,harakibayhotel@yahoo.gr,22440-51680,22440-51682,Αρχάγγελος,851 02,www.haraki-bay-hotel.com,22440-51681,2244-051115,ΧΑΡΑΚΙ-ΜΑΛΩΝΑ,
ΚΟΜΙΣΣΑ ΧΡΙΣΤΙΝΑ,,3,dionisiou.mxrider@gmail.com,2241026907,,Ρόδος,85100,,,,ΚΛΕΙΣΘΕΝΟΥΣ  8,
ΚΟΝΙ-ΝΤΟΡΙΣ,"


3 Χλμ
",2,,22420-26518,,Κως,853 00,,,,ΗΡΑΚΛΗΣ,
ΚΟΝΤΕΣ,"


0.02 Χλμ
",3,hotelkontesparos@gmail.com,2284025001,22840-23844,Πάρος,844 00,www.hotelkontes.gr,2284024720,,ΠΑΡΟΙΚΙΑ ΠΑΡΟΥ,
ΚΟΝΤΙΝΕΝΤΑΛ,"


0.6 Χλμ
",4,mikekaragiannis1962@yahoo.gr,22410-30873,22410-28433,Ρόδος,851 00,www.continental-apartments.com,22410-30891,2241-067710,ΑΓΙΟΥ ΙΩΑΝΝΟΥ 8,
ΚΟΡΑΛΙ,"


0.6 Χλμ
",4,michalis.martakis@mitsishotels.com,22410-24911,22410-24912,Ρόδος,851 00,https://www.mitsishotels.com/,2241054706,2241-054700,Γ.ΠΑΠΑΝΙΚΟΛΑΟΥ 28,2241-024912
ΚΟΡΑΛΙ,"


7 Χλμ
",2,giannis_hotel@otenet.gr,22870-22204,22870-22144,Αδάμαντας,848 01,www.giannisapartments.gr,22870-22262,2287-022204,ΑΔΑΜΑΣ ΜΗΛΟΥ,2287-022144
ΚΟΡΑΛΙ,"


1 Χλμ
",5,khotels@myconiancollection.gr,22890-22107,22890-23455,Μύκονος,846 00,www.myconiancollection.gr,,2289-022479,ΒΡΥΣΗ ΜΥΚΟΝΟΥ,2289-023455
ΚΟΡΑΛΙ,"


0.6 Χλμ
",2,info@koralihotel.com,22850-23227,22850-23792,Νάξος,843 00,www.koralihotel.com,22850-27212,2285-027212,ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ ΝΑΞΟΥ,2285-023792
ΚΟΡΑΛΙ,"


0.5 Χλμ
",1,hotelkorali@hotmail.com,22840-61205,,Αντίπαρος,840 07,www.hotelkorali.gr,,2284-061075,ΑΝΤΙΠΑΡΟΣ,
ΚΟΡΑΛΙ,"


1 Χλμ
",3,info@hotelkoralli.gr,22860-32989,22860-32989,Καμάρι,847 00,www.hotelkoralli.gr,22860-31904,,ΚΑΜΑΡΙ ΘΗΡΑΣ,
ΚΟΡΑΛΙ,"


9.4 Χλμ
",3,info@coralikos.gr,22420-68212,22420-68214,Κως,853 00,www.coralikos.com,,,ΤΙΓΚΑΚΙ,
ΚΟΡΑΛΛΙ,"


17 Χλμ
",2,info@hotelcorali.gr,2284041880,22840-41891,Πίσω Λιβάδι,844 00,www.hotelcorali.gr,2284042225,,ΠΙΣΩ ΛΕΙΒΑΔΙ ΠΑΡΟΥ,
ΚΟΡΔΙΣΤΟΣ,"


42 Χλμ
",3,kordistoshotel@gmail.com,22420-71251,22420-71206,Κέφαλος,853 01,www.kordistoshotel.com,22420-71151,6972225777,,2242071206
ΚΟΡΗ – ΡΗΓΑΣ,"


0.6 Χλμ
",4,contact@coririgasuites.com,22860-25251,22860-25625,Όρμος Φηρών,847 00,www.coririgasuites.com,,,ΚΑΤΩ ΦΗΡΑ ΘΗΡΑΣ,
ΚΟΡΗ ΡΗΓΑΣ Ι,,4,reservations@coririgasuites.com,22860-25251,22860-25625,Θήρα,847 00,www.coririgasuites.com,,,,
ΚΟΡΗΣΣΙΑ,"


0.15 Χλμ
",1,andronikos@hotelkorissia.gr,22880-21484,22880-21484,Κορησσία,840 02,www.hotelkorissia.gr,,2288-021484,ΚΟΡΗΣΣΙΑ ΚΕΑΣ,2288-021355
ΚΟΡΘΙΟΝ,"


0.1 Χλμ
",2,hotelkorthi@yahoo.com,22820-61218,22820-61118,Κόρθιο,845 02,www.andros.gr/manesis,,21-05448131,ΚΟΡΘΙΟ ΑΝΔΡΟΥ,21-05448131
ΚΟΡΦΟΣ,,2,info@corfoshotel.com,22890-22850,,Ορνός,846 00,www.corfoshotel.com,22890-26850,,Τ.ΘΥΡΙΣ 38,
ΚΟΡΩΝΙΣ,"


0.5 Χλμ
",2,info@hotelcoronis.gr,2285022297-8,22850-23984,Νάξος,843 00,www.hotelcoronis.gr,2285023984,2285022297-8,ΛΕΩΦ.ΠΡΩΤΟΠΑΠΑΔΑΚΗ,2285023984
ΚΟΣΜΙΤΗΣ,"


10 Χλμ
",4,info@paroshotel.com,22840-52466,22840-51910,Νάουσα,844 00,www.paroshotel.com,22840-53255,6948895316,ΝΑΟΥΣΑ ΠΑΡΟΥ ΚΥΚΛΑΔΩΝ,
ΚΟΣΜΟΠΛΑΖ,"


4 Χλμ
",4,info@kosmoplaz.gr,2289026046,22890-25129,Πλατύς Γιαλός,846 00,www.hotelkosmoplaz.gr,22890-27127,2289026046,ΠΛΑΤΥΣ ΓΙΑΛΟΣ ΜΥΚΟΝΟΥ,2289025129
