Όνομα,Απόσταση από νοσοκομείο,Αστέρια,E-Mail,Τηλέφωνο,Εναλλακτικό Τηλέφωνο,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Ιστοσελίδα,Τηλέφωνο 2,Εναλλακτικό Φαξ
ΓΚΡΑΝΤ ΜΕΝΤΙΤΕΡΡΑΝΕΟ ΡΙΖΟΡΤ,"


10 Χλμ
",5,grandmed@atlanticahotels.com,26610-95380,26610-95380,26610-94248,Έρμονες,ΕΡΜΟΝΕΣ ΚΕΡΚΥΡΑ,491 00,www.atlanticahotels.com,26610-95381,26610-94248
ΓΚΡΑΝΤ ΝΕΦΕΛΗ,"


1.5 Χλμ
",4,hotelgrandnefeli@gmail.com,26450-31378,26450-22084,26450-31565,Πόντη Αγίου Πέτρου,ΠΟΝΤΙ ΒΑΣΙΛΙΚΗΣ ΛΕΥΚΑΔΑΣ,310 82,www.grandnefeli.com,6947187856,26450-31565
ΓΚΡΑΝΤΕ ΜΑΡΕ ΧΟΤΕΛ & ΓΟΥΕΛΝΕΣ,"


0.6 Χλμ
",5,chryssicopouloss@gmail.com,26610-72672,2661-071221,26610-71223,Μπενίτσες,ΜΠΕΝΙΤΣΕΣ ΚΕΡΚΥΡΑΣ,490 84,http://www.grandemarehotel.gr/,,2661-072143
ΓΚΡΕΚΟΤΕΛ ΚΟΛΠΟΣ ΔΑΦΝΙΛΑ,"


5 Χλμ
",4,reservations.db@grecotel.com,26610-90320,,26610-91026,Κάτω Κορακιάνα,ΔΑΦΝΙΛΑ ΚΕΡΚΥΡΑΣ,491 00,www.grecotel.com,26610-91520,
ΓΟΝΑΤΑΣ,"


0.5 Χλμ
",3,hotelgonatas@gmail.com,26740-61213,,26740-61501,Αγία Ευφημία,ΑΓ.ΕΥΦΗΜΙΑ ΚΕΦΑΛΛΗΝΙΑΣ,280 81,,26740-61500,
ΓΟΥΒΙΑ,,2,info@gouviahotel.com,26610-91517,,26610-91802,Γουβιά,ΓΟΥΒΙΑ ΚΕΡΚΥΡΑΣ,491 00,www.gouviahotel.com,26610-91903,
ΓΡΟΤΑ,,1,,26610-81209,,,Κασσιόπη,ΚΑΣΣΙΩΠΗ ΚΕΡΚΥΡΑΣ,491 00,,,
ΔΑΜΕΙΑ,"


1 Χλμ
",2,damiahotel@yahoo.gr,26630-99236,2663-099236,26630-95335,Περουλάδες,,490 81,www.damiahotel.com,,2663-099235
ΔΑΝΙΗΛ,"


2 Χλμ
",2,danielzantehotel@yahoo.gr,26950-26094,6932-651583,26950-26096,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,www.hoteldaniel.gr,2695026095,
ΔΑΣΙΑ,"


2 Χλμ
",2,info@dassiahotels.gr,26610-93224,2661-093224,26610-93864,Κάτω Κορακιάνα,ΔΑΣΙΑ ΚΕΡΚΥΡΑΣ,490 83,www.dassiahotels.gr,26610-93268,2661-093864
ΔΑΣΙΑ ΜΑΡΓΑΡΙΤΑ,"


2 Χλμ
",2,info@dassiahotels.gr,26610-93862,2661-093371,26610-93864,Κάτω Κορακιάνα,ΔΑΣΙΑ ΚΕΡΚΥΡΑΣ,491 00,www.dassiahotels.gr,26610-93863,2661-093972
ΔΑΦΝΟΥΔΙ,"


45 Χλμ
",2,dafnoudi@gmail.com,26740-41279,2674-051308,26740-41279,Αντιπάτα,ΑΝΤΥΠΑΤΑ ΣΑΜΗΣ ΚΕΦΑΛΛΗΝ.,280 84,www.dafnoudi-hotel.gr,6932-455175,2674-041279
ΔΕ ΣΙΚΡΕΤ ΜΠΟΥΤΙΚ ΧΟΤΕΛ,,4,info@secretboutiquehotel.gr,2645021474,,2645021547,Λευκάδα,ΒΕΝΤΟΥΡΑ 9,31100,secretboutiquehotel.gr,,
ΔΕΛΦΙΝΙΑ,"


0.3 Χλμ
",4,reservations@delfiniahotels.gr,26610-76320,2661-077120,26610-75450,Μοραΐτικα,ΜΩΡΑΙΤΙΚΑ ΚΕΡΚΥΡΑΣ,491 00,www.delfiniahotels.gr,26610-76323,2661-075450
ΔΕΜΠΟΝΟΣ,"


6 Χλμ
",4,info@arthoteldebono.gr,26610-90220,,26610-90009,Γουβιά,ΓΟΥΒΙΑ ΚΕΡΚΥΡΑΣ,491 00,www.arthoteldebono.gr,26610-90221,
ΔΗΜΗΤΡΑ,"


0.8 Χλμ
",1,info@dimitrahotelcorfu.com,26630-95996,6972-084634,26630-95996,Περουλάδες,ΤΑΧ.ΘΥΡΙΔΑ 205,490 81,www.dimitrahotelcorfu.com,6972-084634,
ΔΗΜΗΤΡΙΟΣ,"


1 Χλμ
",2,info@hotelmarelen.gr,26950-26137,,26950-26142,Καλαμάκι,,291 00,www.hotelmarelen.gr,26950-26140,
ΔΙΑΝΑ,"


1.5 Χλμ
",3,info@dianahotels.gr,26950-28547,,26950-45047,Ζάκυνθος,ΚΑΠΟΔΙΣΤΡΙΟΥ 11  &  ΜΗΤΡΟΠ.,291 00,www.dianahotels.gr,26950-28604,
ΔΙΑΝΑ ΠΑΛΛΑΣ,"


5 Χλμ
",4,info@dianahotels.gr,26950-23070,2695-028547&604,26950-27949,Αργάσι,ΠΛΑΤ.ΑΓΙΟΥ ΜΑΡΚΟΥ,291 00,www.dianahotels.gr,27947/8,2695-045047
ΔΙΑΣ,"


4 Χλμ
",2,labkolt@yahoo.com,26950-44522,6936-627040,26950-44522,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,,,
ΔΙΟΜΑΡ,"


5 Χλμ
",2,info@hotelsavvas.com,26950-52565,,26950-55185,Λαγανάς,ΛΑΓΑΝΑΣ,290 92,www.hotelsavvas.com,,
ΔΟΥΚΑΤΟ,"


7 Χλμ
",2,dukatohotel@yahoo.com,26450-71121,,26450-71852,Επίσκοπος,,311 00,www.dukato.gr,26450-71851,
ΕΛ ΓΚΡΕΚΟ,"


1 Χλμ
",2,info@corfuelgreco.com,26610-72093,2661-028427,26610-72461,Γαστούρι,ΓΑΣΤΟΥΡΙ ΚΕΡΚΥΡΑΣ,490 84,www.corfuelgreco.com,26610-39188,2661-045911
ΕΛΑΙΟΔΕΝΤΡΟ,"


0.1 Χλμ
",2,info@olivetreehotel.gr,26450-97453,,26450-97153,Άγιος Νικήτας,ΑΓ.ΝΙΚΗΤΑΣ ΛΕΥΚΑΔΑΣ,310 80,www.olivetreelefkada.com,,
ΕΛΑΙΩΝ ΜΕΓΑ ΘΕΡΕΤΡΟ,,5,fantasy-shop@ath.forthnet.gr,26950-65245,210-8815220,26950-65248,Τραγάκι,ΤΡΑΓΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,www.eleon-grand-resort.gr,,210-8252436
ΕΛΑΙΩΝΑΣ,"


10 Χλμ
",2,olivegrovehotel@hotmail.com,26630-95602,6945-576357,26630-95601,Περουλάδες,ΜΕΛΙΤΣΑ,490 81,www.corfu-olivegrove.com,,
ΕΛΑΝΘΗ,"


5 Χλμ
",2,elanthi@hotmail.com,26950-24866,21-04321155,26950-24866,Καλαμάκι,,291 00,,,
ΕΛΕΑΝΑ,"


0.2 Χλμ
",3,ele1@otenet.gr,26950-42895,2695-027349,26950-29051,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,291 00,www.eleanahotel.gr,,2695-029051
ΕΛΕΑΝΑ,,3,info@hotel-eleana.gr,6979914413,6979914413,26450-71459,Νικιάνα,,311 00,www.hotel-eleana.gr,,
ΕΛΕΑΝΝΑ,"


2 Χλμ
",2,info@eleannastudios.com,26740-23298,6937-446069,,Καραβόμυλος,,280 80,http://eleannastudios.com/,,
ΕΛΕΓΑΝΤΣ ΛΟΥΞΟΥΡΗ ΕΞΕΚΟΥΤΙΒ ΣΟΥΙΤΕΣ,,5,dsellinas@gmail.com,2695061144,,,Ζάκυνθος,,29100,,,
ΕΛΕΝΑ ΕΡΜΟΝΕΣ,,3,elenacfu@otenet.gr,26610-94131,,26610-94633,Έρμονες,ΕΡΜΟΝΕΣ ΒΑΤΟΥ ΚΕΡΚΥΡΑΣ,491 00,www.hotelelena.gr,,
ΕΛΕΝΗ,,2,minetoskostas@yahoo.gr,26710-31282,,,Βλαχάτα,ΒΛΑΧΑΤΑ ΚΕΦΑΛΛΗΝΙΑΣ,280 83,,26710-31639,
ΕΛΕΝΗ,"


0.6 Χλμ
",1,eleniapts.sidari@yahoo.com,26630-95139,,26630-99119,Σιδάρι,ΣΙΔΑΡΙ ΚΕΡΚΥΡΑΣ,490 81,www.eleni-apartments.com,95687,
ΕΛΕΝΗ ΙΙΙ,"


0.1 Χλμ
",2,minetosagathos@gmail.com,26710-31253,,,Βλαχάτα,,280 83,http://elenistudios-kefalonia.co.uk,,
ΕΛΕΝΗ-ΑΝΝΑ,,3,marietta-hotel@hotmail.com,6948944869,,,Σκάλα,,28100,,,
ΕΛΙΑΝΝΑ ΠΡΟΣΑΛΕΝΤΗ,"


1 Χλμ
",2,,26610-93951,2661-093588,26610-93046,Κάτω Κορακιάνα,ΔΑΣΙΑ,490 83,,26610-93952,2661-093045
ΕΛΛΗΝΙΣ,"


4 Χλμ
",3,info@corfuhellinis.com,26610-81151,,26610-81158,Κέρκυρα,ΚΑΝΟΝΙ,491 00,www.corfugoldenhotels.com,26610-81152,
ΕΛΠΙΔΑ,"


13 Χλμ
",2,elpida_hotel@yahoo.gr,26950-83777,,26950-83755,Άνω Γερακάρι,,291 00,hotelelpida.gr,26950-83496,
ΕΜΕΛΙΣΣΕ ΝΕΪΤΣΟΥΡ ΡΙΣΟΡΤ,"


7 Χλμ
",5,info@emelissehotel.com,26740-41200,,26740-41026,Φισκάρδο,ΦΙΣΚΑΡΔΟ ΚΕΦΑΛΛΗΝΙΑΣ,280 84,www.emelissehotel.com,,
ΕΝΑΛΙΟΝ ΣΟΥΙΤΕΣ,"


2 Χλμ
",3,info@enalionsuites.gr,26710-27781,26710-27781,26710-27783,Αργοστόλι,ΠΑΛΙΟΣΤΑΦΙΔΑ ΛΑΣΣΗΣ ΚΕΦΑΛΛΗΝΙΑΣ,281 00,www.enalionsuites.com,,26710-27783
ΕΝΝΕΑ ΜΟΥΣΕΣ,"


0.5 Χλμ
",3,info@9museshotel.com,26710-83563/6,,26710-83560,Σκάλα,ΣΚΑΛΑ ΚΕΦΑΛΛΗΝΙΑΣ,280 82,www.9museshotel.com,,
ΕΝΟΔΙΑ,"


0.15 Χλμ
",4,info@enodiahotel.com,26450-31646,,26450-31809,Βασιλική,ΒΑΣΙΛΙΚΗ ΛΕΥΚΑΔΑΣ,310 82,www.enodiahotel.com,26450-31647,
ΕΝΤΕΛΒΑΪΣ,"


3 Χλμ
",3,info@edelweisszante.gr,2695027601,,26950-27286,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,291 00,www.edelweisszante.gr,6979909919,
ΕΞΑΙΣΙΟΣ ΑΡΙΛΛΑΣ,"


10 Χλμ
",2,info@hotelmarvelarillas.gr,26630-51120,2663-051120,26630-51490,Αρίλλας,ΑΡΙΛΛΑΣ ΚΕΡΚΥΡΑΣ,490 81,www.hotelmarvelarillas.gr,,
ΕΞΟΧΙΚΗ ΛΕΣΧΗ ΣΤΟΝ ΚΟΛΠ.ΑΓ.ΓΕΩΡΓΙΟΥ,"


0.5 Χλμ
",4,countryclub@otenet.gr,26630-63203,2663-063203,26630-63540,Αχαράβη,ΤΑΧ.ΘΥΡΙΣ 40,490 81,www.stgeorgesbay.com,26630-63225,2663-063540
ΕΞΩΤΙΚΑ,"


5 Χλμ
",3,exoticazante@gmail.com,26950-49052,2695-023125,,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,www.exoticahotel.gr,,
ΕΡΕΙΚΟΥΣΑ,"


0.03 Χλμ
",2,erikousa@otenet.gr,26630-71555,2661-030162,26630-71110,Ερεικούσσα,ΕΡΕΙΚΟΥΣΑ ΚΕΡΚΥΡΑΣ,491 00,www.erikousa.gr,26630-71110,
ΕΡΙΒΑ,"


0.1 Χλμ
",2,eriva.hotel@gmail.com,26630-63251,6936-941779,26630-64490,Αχαράβη,,491 00,,,210-2445692
ΕΡΜΗΣ,"


0.5 Χλμ
",2,mail@hermes-hotel.gr,26610-39321,6932289191,26610-31747,Κέρκυρα,ΓΕΡΑΣΙΜΟΥ ΜΑΡΚΟΡΑ 14,491 00,www.hermes-hotel.gr,26610-39268,2661031747
ΕΡΜΗΣ,"


3 Χλμ
",1,info@corfu-apollon-hotel.com,26630-41211,2661-091283,26630-41211,Παλαιοκαστρίτσα,ΠΑΛΑΙΟΚΑΣΤΡΙΤΣΑ ΚΕΡΚΥΡΑΣ,490 83,www.corfu-apollon-hotel.com,,2661-091283
ΕΡΩΣ,,1,erosbeachhotel@gmail.com,26610-71097,6934589946,,Μπενίτσες,ΜΠΕΝΙΤΣΕΣ ΚΕΡΚΥΡΑΣ,490 84,,6955808610,
ΕΡΩΦΙΛΗ,"


6 Χλμ
",3,erofilihotelkavos@gmail.com,26620-61600,2662-061064,26620-61611,Κάβος,,490 80,http://erofilihotelkavoscorfu.com,26620-61701,2662-061611
ΕΣΠΕΡΙΑ,,3,esperia@otenet.gr,26950-51505,,,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,,26950-51507,
ΕΣΠΕΡΙΔΕΣ,"


15 Χλμ
",3,ioniansun@louishotels.com,26610-71211-15,2661-072122,26610-71219,Στρογγυλή,ΣΤΡΟΓΓΥΛΗ ΚΕΡΚΥΡΑΣ,490 84,www.louishotels.com,,2661-071218
ΕΣΠΕΡΙΔΕΣ ΡΙΖΟΡΤ,"


1 Χλμ
",4,info@esperides-resort.gr,26450-51761,26450-51761,26450-51764,Σπαρτοχώρι,ΣΠΑΡΤΟΧΩΡΙ ΛΕΥΚΑΔΑΣ,310 83,www.esperides-resort.gr,26450-51762,
ΕΥ ΖΗΝ,,5,reservations@uniquekefalonia.com,2671031423,,,Λουρδάτα,,280 83,https://fzeenretreat.com,,
ΕΥΑ ΜΠΗΤΣ,,1,info@evabeach.gr,26450-92545,,26450-92839,Νυδρί,ΝΥΔΡΙ ΛΕΥΚΑΔΑΣ,311 00,www.evabeach.gr,26450-92352,
ΕΥΑ ΠΑΛΛΑΣ,"


12 Χλμ
",5,reservations.ep@grecotel.com,26610-90003,2661-090003,26610-99699,Κάτω Κορακιάνα,ΚΟΜΕΝΟ ΚΕΡΚΥΡΑΣ,490 83,www.evapalace.com,,2661-099699
ΕΥΑΓΓΕΛΙΑ,"


3 Χλμ
",3,alysand@otenet.gr,2674061590,,26740-61591,Αγία Ευφημία,ΑΓΙΑ ΕΥΦΗΜΙΑ,280 81,www.hotelevagelia.gr,2674061416,
ΕΥΛΟΓΗΜΕΝΗ ΓΗ,"


0.8 Χλμ
",2,info@happy-land.gr,26450-92100,,26450-92885,Καλλιθέα-Μεγάλο Αυλάκι,Μ.ΑΥΛΑΚΙ ΛΕΥΚΑΔΑΣ,311 00,www.happy-land.gr,26450-92885,
ΕΥΡΩΠΗ,"


0.3 Χλμ
",1,europecfuhotel@gmail.com,26610-39304,,26610-26786,Κέρκυρα,ΓΚΙΤΣΙΑΛΗ 10,491 00,,2661021032,
ΕΥΡΩΠΗ,"


1 Χλμ
",2,info@europehotel.gr,26710-24681,2108042501,,Αργοστόλι,ΑΡΓΟΣΤΟΛΙ ΚΕΦΑΛΛΗΝΙΑΣ,281 00,www.europehotel.gr,,
ΖΑΚΥΝΘΙΝΟ ΧΩΡΙΟ,,3,info@zantevillage.gr,26950-8532,,,Άνω Γερακάρι,ΑΝΩ ΓΕΡΑΚΑΡΙ ΖΑΚΥΝΘΟΥ,290 90,www.zantevillage.gr,26950-85035,
ΖΑΚΥΝΘΟΣ ΜΠΛΕ ΠΑΡΑΛΙΑ,,2,,26950-52875,,,Λιθακιά,ΑΓ.ΣΩΣΤΗΣ ΖΑΚΥΝΘΟΥ,291 00,,,
ΖΑΝΤΕ ΑΤΛΑΝΤΙΚ,"


1.5 Χλμ
",3,info@atlantiszante.gr,26950-55242,,26950-55243,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,www.atlantiszante.gr,2695051416,
ΖΑΝΤΕ ΙΜΠΕΡΙΑΛ ΜΠΗΤΣ,"


15 Χλμ
",5,info@nikerishotelgroup.com,26950-35035,2695-035021,26950-35031,Βασιλικός,,291 00,https://nikerishotelgroup.com/zante-imperial-beach-hotel,,2695-035033
ΖΑΝΤΕ ΜΑΡΙΣ,"


0.5 Χλμ
",5,info@zantemaris.gr,2695024830,2695-042779,26950-24833,Πλάνος,ΠΛΑΝΟΣ ΖΑΚΥΝΘΟΥ,291 00,www.zantemaris.gr,,2695-045505
ΖΑΝΤΕ ΜΑΡΙΣ ΣΟΥΙΤΣ,,5,info@zantemarissuites.gr,2695048689,,,Πλάνος,,29100,www.zantemarissuites.gr,2695041100,
ΖΑΝΤΕ ΠΑΛΛΑΣ,"


3 Χλμ
",3,siagris@gmail.com,2695049090,2695024445,2695049092,Ακρωτήρι,ΜΠΟΧΑΛΗ 312,291 00,www.zantepalace.com,2695024445,2102626532
ΖΑΝΤΕ ΠΑΡΚ ΡΙΖΟΡΤ & ΣΠΑ,,5,zantepark@zanteparkhotels.gr,2695052310,,,Λαγανάς,,29092,,,
ΖΑΝΤΕ ΡΟΥΑΓΙΑΛ ΡΕΖΟΡΤ,"


15 Χλμ
",5,generalmanager@ionian-hotels.com,2695-036001,2695-036001,2695-035511,Βασιλικός,ΒΑΣΙΛΙΚΟ ΖΑΚΥΝΘΟΥ,291 00,https://nikerishotelgroup.com/zante-royal-resort/,,2695-035511
ΖΑΝΤΕ ΣΑΝ,"


10 Χλμ
",3,info@zantesunhotel.gr,26950-52320,21-05225071,26950-53048,Λιθακιά,ΑΓ.ΣΩΣΤΗΣ ΛΙΘΑΚΙΑΣ ΖΑΚΥΝΘ,290 92,www.zantesunhotel.gr,052332,21-05228494
ΖΑΝΤΕ ΣΑΝ ΡΙΖΟΡΤ,,4,operations@zantesunhotel.gr,2695052320,,2695053048,Λιθακιά,,29092,www.zantesunhotel.gr,,
ΖΑΝΤΕ ΣΤΑΡ,"


3 Χλμ
",2,htlstar@otenet.gr,003026950-23495,6972-070995,26950-24172,Πλάνος,,291 00,www.zantestar.com,,
ΖΑΝΤΕ ΦΙΛΟΞΕΝΙΑ,"


0.65 Χλμ
",2,filoxeniainfo@dianahotels.gr,26950-24076,2695-028547,26950-24615,Πλάνος,ΠΛΑΝΟΣ ΖΑΚΥΝΘΟΥ,291 00,www.dianahotels.gr,,2695-045047
ΖΑΦΕΙΡΗΣ,,2,hotel.zafiris@gmail.com,26610-95522,,210-8052228,Περουλάδες,ΜΕΛΙΤΣΑ ΠΕΡΟΥΛΑΔΩΝ ΚΕΡΚ.,490 81,,26610-95086,
ΖΕΦΥΡΟΣ,"


5 Χλμ
",3,info@ecoresortzefyros.com,26950-65200,6942-783785,26950-65210,Άγιος Κήρυκος,,291 00,www.ecoresortzefyros.com,,2695-065210
ΖΕΦΥΡΟΣ,,2,info@zephyroshotel.gr,26710-83195,,,Σκάλα,,280 82,www.zephyroshotel.gr,6977627944,
ΖΕΦΥΡΟΣ,"


0.05 Χλμ
",3,info@zefiroscorfuhotel.gr,6984347805,2661-037096,26630-42042,Παλαιοκαστρίτσα,ΠΑΛΑΙΟΚΑΣΤΡΙΤΣΑ ΚΕΡΚΥΡΑΣ,490 83,www.zefiiroscorfuhotel.gr,,2661-037096
Η ΒΑΣΙΛΙΣΣΑ ΤΟΥ ΝΕΡΟΥ,,5,info@regina-dell-acqua.com,26710-83390,,26710-83393,Σκάλα,ΣΚΑΛΑ ΚΕΦΑΛΛΗΝΙΑΣ,280 82,www.regina-dell-acqua.com,,
Η ΗΣΥΧΙΑ,"


2 Χλμ
",2,lacalma@otenet.gr,26610-93755,,26610-93955,Κάτω Κορακιάνα,,490 83,,26610-93855,
Η ΘΕΑ ΤΗΣ ΚΑΡΕΤΤΑΣ,"


0.2 Χλμ
",2,myhotel@otenet.gr,26950-49300,6944-268023,26950-49301,Καλαμάκι,,291 00,www.carettabeach.com,,
Η ΣΕΙΡΗΝΑ,"


4 Χλμ
",2,lasirenahotel@gmail.com,26950-22104,21-05726849,26950-29304,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,291 00,,26950-22105,
Η ΧΑΡΑ ΤΗΣ ΘΑΛΑΣΣΑΣ,"


10 Χλμ
",2,gioiedimare@gmail.com,26950-51992,21-02524359,26950-52434,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,,26950-51339,
ΗΛΕΝΑ,,2,,26630-64459,,,Άγιος Στέφανος,,491 00,,,
ΗΛΙΟΒΑΣΙΛΕΜΑ,"


1.5 Χλμ
",3,info@sunsethotelcorfu.gr,26610-31203,2661-031203,26610-41325,Ποταμός,ΑΛΥΚΕΣ ΠΟΤΑΜΟΥ ΚΕΡΚΥΡΑΣ,491 00,www.sunsethotelcorfu.gr,,2661-041325
ΗΛΙΟΒΑΣΙΛΕΜΑ,"


15 Χλμ
",2,lsunset@otenet.gr,26450-97488,2645-026334,,Καλαμίτσι,ΚΑΘΙΣΜΑ,310 80,www.sunsetstudios.gr,,2645-025651
ΗΛΙΟΛΟΥΣΤΗ ΚΕΡΚΥΡΑ,"


7 Χλμ
",4,corfu.frontoffice@sv-clubs.com,26630-22281,,26630-22282,Νησάκι,ΝΗΣΑΚΙ ΚΕΡΚΥΡΑΣ,491 00,www.sunshinevacationclubs.com,,
ΗΛΙΟΣ,"


4 Χλμ
",1,ilioshotelpaxos1@gmail.com,26620-31808,,26620-31137,Λάκκα,ΛΑΚΚΑ ΠΑΞΩΝ,490 82,,,
ΗΛΙΟΣ,"


5 Χλμ
",3,info@ilioszakynthos.gr,26950-48911,2695-041695,26950-51907,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,,26950-51907,
ΗΛΙΟΣ-ΚΥΜΑ,"


0.5 Χλμ
",2,steliosanifantis@yahoo.com,26450-31512,,26450-41512,Βασιλική,ΒΑΣΙΛΙΚΗ ΛΕΥΚΑΔΑΣ,310 82,,,
ΗΡΑ,,2,giakostas1960@yahoo.gr,2695052029,,,Μουζάκι,,29092,,,
ΗΡΙΝΝΑ,"


10 Χλμ
",3,irinnahotelirinna@hotmail.com,26710-41285,21-03818383,26710-41760,Σβορωνάτα,ΑΓΙΑ ΠΕΛΑΓΙΑ-ΣΒΟΡΩΝΑΤΑ,281 00,www.irinnahotel.gr,210-3818383,21-03817272
ΘΑΛΑΣΣΑ ΙΟΝΙΟΥ – ΙΟΝΙΑΝ ΣΙ,"


6 Χλμ
",4,ionianseahotel@gmail.com,26710-92280,2671-094050,26710-92980,Ληξούρι,ΚΟΥΝΟΠΕΤΡΑ ΜΑΤΖΑΒΙΝΑΤΩΝ ΚΕΦΑΛΛΗΝΙΑΣ,282 00,www.ionianseahotel.gr,92980,2671-092980
ΘΑΛΑΣΣΙΝΗ ΘΕΑ,,2,seaviewhotel10@gmail.com,26950-24107,,26950-24108,Καταστάρι,,290 90,www.seaviewhotel.gr,,
ΘΑΛΑΣΣΙΝΟ ΤΡΙΦΥΛΛΙ,,2,info@trifilli.com,2671031114,,2671031484,Λουρδάτα,ΛΟΥΡΔΑΤΑ ΚΕΦΑΛΛΗΝΙΑΣ,280 83,https://pension-trifilli.com,26710-31484,
ΘΑΛΑΣΣΟΠΟΥΛΙ,"


20 Χλμ
",3,info@seabirdhotel.gr,26610-75400,26610-75400,26610-76152,Μοραΐτικα,ΜΩΡΑΙΤΙΚΑ ΚΕΡΚΥΡΑΣ,490 84,www.seabirdhotel.gr,,
ΘΑΥΜΑΣΙΟ ΣΠΙΤΙ,,4,labtheot2@gmail.com,2671028246,,2671028246,Σβορωνάτα,,28100,,,
ΘΕΑ ΩΚΕΑΝΟΥ,"


0.1 Χλμ
",2,,26710-83391,21-06913232,,Σκάλα,ΣΚΑΛΑ ΚΕΦΑΛΛΗΝΙΑΣ,280 82,,,21-06913232
ΘΕΙΟΣ,"


7 Χλμ
",2,theoshtl@otenet.gr,26630-96305,2663-096305,26630-96482,Άγιος Γεώργιος Πάγων,ΑΓ.ΓΕΩΡΓ. ΠΑΓΩΝ ΚΕΡΚΥΡΑΣ,490 83,,26630-96482,2663-096482
ΘΕΟΔΩΡΕΛΑ,,2,,22620-52662,,,Κάβος,ΚΑΒΟΣ ΛΕΥΚΙΜΜΗΣ,490 80,,,
ΘΕΡΕΤΡΟ ΑΚΤΗ ΜΕΣΟΓΕΙΟΥ,"


7 Χλμ
",5,medbeach@medbeach.gr,26950-55230,,26950-55237,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,www.medbeach.gr,,
ΘΕΡΕΤΡΟ ΥΔΑΤΙΝΟ ΠΑΡΚΟ,"


7 Χλμ
",4,reservations@aqualandresort.gr,26610-58583,2661-058583,26610-58586,Άγιος Ιωάννης,ΑΓ.ΙΩΑΝΝΗΣ ΚΕΡΚΥΡΑΣ,491 00,www.aqualandresort.gr,,2661-058586
ΘΕΤΙΣ,,2,arillast@otenet.gr,2663051280,,2663051381,Αρίλλας,,490 81,www.arillastravel.gr,2663051582,
ΘΗΣΑΥΡΟΣ,"


8 Χλμ
",3,info@hoteltesoro.gr,26450-29151,210-4955955,26450-72007,Νικιάνα,,311 00,www.hoteltesoro.gr,26450-29153,210-4969439
ΘΙΝΑΛΙ ΓΚΑΡΝΤΕΝ,,2,rouvasg@gmail.com,69820099761,,,Αχαράβη,,49081,,,
ΘΙΝΑΛΟΣ,"


35 Χλμ
",3,office@ionianprincess.gr,2108812367,21-02830853,2663063111,Αχαράβη,ΑΧΑΡΑΒΗ ΚΕΡΚΥΡΑΣ,491 00,www.thinaloshotel.gr,2663063110,21-02830853
ΘΟΔΩΡΑ,"


0.3 Χλμ
",3,info@thodorahotel.gr,26740-22650,,,Σάμη,ΣΑΜΗ ΚΕΦΑΛΛΗΝΙΑΣ,280 80,www.thodorahotel.gr,,
ΘΟΛΟΙ ΜΙΡΑΜΑΡΕ ΚΕΡΚΥΡΑΣ,"


0.5 Χλμ
",5,info@domesmiramare.com,2661440500,2841043521,2661440539,Μοραΐτικα,ΜΩΡΑΙΤΙΚΑ ΚΕΡΚΥΡΑΣ,490 84,www.domesmiramare.com,,2841043525
ΘΡΥΛΟΙ,"


8 Χλμ
",2,info@legendshotelcorfu.com,26630-95100,2663-095114,26630-95100,Σιδάρι,,490 81,www.legendshotelcorfu.com,,2663-095100
ΘΩΜΑΪΣ,"


7 Χλμ
",4,info@thomaisboutiquehotel.com,2645071985,,2645072220,Νικιάνα,,31100,www.thomaisboutiquehotel.com,2645071637,
ΙΑΝΟΣ,"


1 Χλμ
",3,ianoshotel@hotmail.com,26450-22217,,26450-22307,Λευκάδα,ΜΑΡΙΝΑ ΛΕΥΚΑΔΑΣ,311 00,www.ianoshotel.com,26450-22317,
ΙΑΣΩΝ,"


2 Χλμ
",2,ninapro@otenet.gr,26610-93583,2661-093588,,Κάτω Κορακιάνα,ΥΨΟΣ,490 83,,26610-93043,2661-093045
ΙΒΙΣΚΟΣ ΚΕΡΚΥΡΑΣ,"


1 Χλμ
",4,info@mirabell.gr,26630-31310,21-02460980,26630-31323,Καρουσάδες,ΚΑΡΟΥΣΑΔΕΣ ΚΕΡΚΥΡΑΣ,490 81,www.mirabell.gr,26630-31406,21-02442170
