Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Ταχυδρομικός Κώδικας,Διεύθυνση,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΚΟΡΙΝΑ,"


3 Χλμ
",2,,palomagarden_stalis@yahoo.gr,28970-31057,28970-33110,Σταλίδα,700 14,ΣΤΑΛΙΔΑ ΗΡΑΚΛΕΙΟΥ,28970-33110,,
ΚΟΡΙΝΑ,"


1.5 Χλμ
",1,,corinabungalows-sitia@hotmail.com,28430-28320,28430-23427,Πετράς,723 00,ΠΕΤΡΑ ΣΗΤΕΙΑΣ ΚΡΗΤΗΣ,,2843-028320,2843-023427
ΚΟΡΙΝΑ ΣΤΑΡ,"


5 Χλμ
",3,www.corinna.gr,info@corinna.gr,28210-23927,28210-32082,Γαλατάς,731 00,,,,
ΚΟΡΙΝΝΑ ΜΑΡΕ- ΘΑΛΑΣΣΑ ΚΟΡΙΝΑ,"


5 Χλμ
",2,www.corinna.gr,info@corinna.gr,28210-31767,28210-32082,Γαλατάς,731 00,Κ. ΓΑΛΑΤΑΣ,,,
ΚΟΡΙΣΣΙΑ,"


25 Χλμ
",2,www.corissia.com,info@corissia.com,28250-83010,28250-61389,Γεωργιούπολη,730 07,ΓΕΩΡΓΙΟΥΠΟΛΗ ΧΑΝΙΩΝ,28250-61456,,
ΚΟΡΙΣΣΙΑ ΑΡΜΟΝΙΑ ΣΟΥΙΤΕΣ,,4,,office@corissia.com,2825083011,,Γεωργιούπολη,73007,,,,
ΚΟΡΥΦΗ,"


0.3 Χλμ
",2,www.korifisuites.com,info@korifisuites.com,28970-23331,,Πισκοπιανό,700 14,,,6936655918,
ΚΟΡΦΟΣ ΜΠΗΤΣ,"


2 Χλμ
",2,,,28410-41591,,Κάτω Ελούντα,720 53,,,2841-041591,
ΚΟΣΜΑΝ,"


5 Χλμ
",2,,plevra1@otenet.gr,2810-761560,2810-761709,Χάνι Κοκκίνη,715 00,ΚΟΚΚΙΝΙ ΧΑΝΙ ΗΡΑΚΛ.ΚΡΗΤΗΣ,2810-781316,,
ΚΟΣΜΟΣ,"


1 Χλμ
",3,www.cosmoshotel.gr,hotelcosmos@yahoo.gr,28310-52244,,Ρέθυμνο,741 00,ΑΛΒΕΡΤΟΥ ΣΒΑΙΤΣΕΡ 2,6938-474714,,
ΚΟΣΤΑ ΜΑΡΕ ΠΑΛΛΑΣ,"


5 Χλμ
",4,www.kostamarepalace.gr,info@kostamarepalace.gr,28970-22297,28970-23597,Ανισσαράς,700 14,ΑΝΝΙΣΑΡΑΣ Λ.ΧΕΡΣΟΝ.ΚΡΗΤΗΣ,28970-23596,2810-331420,2810-331480
ΚΟΥΚΟΥΡΑΣ,"


3 Χλμ
",2,,e_koukouraki@yahoo.gr,28210-68844,28210-68894,Σταλός,731 00,Κ.ΣΤΑΛΟΣ ΧΑΝΙΩΝ,6944-122808,6944-122808,2821-068894
ΚΟΥΡΗΤΕΣ,,2,,kourites@her.forthnet.gr,28440-22194,,Τζερμιάδο,720 52,ΤΖΕΡΜΙΑΔΕΣ ΛΑΣΗΘΙΟΥ,,,
ΚΟΥΡΜΟΥΛΗΣ ΣΤΟΥΝΤΙΟΣ,"


8 Χλμ
",2,www.kurmulis-studios.gr,kourmoulis.studios@gmail.com,2821068804,,Σταλός,731 00,Κ.ΣΤΑΛΟΣ Ν.ΚΥΔΩΝΙΑΣ ΧΑΝ.,,2821056931,
ΚΟΥΡΟΣ,,2,,,28970-42350,,Κάτω Γούβες,700 14,ΚΑΤΩ ΓΟΥΒΕΣ ΗΡΑΚΛΕΙΟΥ,28970-41771,,
ΚΟΥΡΟΣ,,2,,,28310-51702,,Ρέθυμνο,741 00,ΚΑΣΤΡΙΝΑΚΗ 6,,,
ΚΟΥΤΟΥΛΟΥΦΑΡΙ,"


1 Χλμ
",3,www.koutouloufarivillage.gr,manager@koutouloufarivillage.gr,28970-22688,28970-21487,Κουτουλουφάρι,700 14,ΑΛΕΞΗ ΜΙΝΩΤΗ 4,,2897-022688,2897-021487
ΚΟΥΤΣΟΥΝΑΡΙ ΧΩΡΙΟ ΝΑΚΟΥ,"


9 Χλμ
",3,www.nakoutradition.gr,nakouvil@otenet.gr,28420-61815,28420-61292,Κουτσουνάρι,722 00,ΚΟΥΤΣΟΥΝΑΡΙ ΙΕΡΑΠΕΤΡΑΣ,,2842-061815,2842-061292
ΚΡΕΤΑ ΕΛΕΝΑ,"


0.2 Χλμ
",2,www.cretaelena.gr,info@cretaelena.gr,28210-46722,28210-46723,Χανιά,731 34,Ι.ΣΦΑΚΙΑΝΑΚΗ 42,28210-46723,2821046722,
ΚΡΕΤΑ ΕΛΤΙΝΑ,"


2 Χλμ
",1,www.eltinahotel.gr,info@eltinahotel.gr,28310-55231,28310-22382,Ρέθυμνο,741 00,ΧΩΡΟΦΥΛΑΚΗΣ 39,28310-55232,,
ΚΡΕΤΑ ΜΑΡΙΝ,"


18 Χλμ
",4,www.iberostar.com,creta.marine@aegeanstar.com,2834,2834306602,Πάνορμος,740 57,ΛΙΑΝΟΣ ΚΑΜΠΟΣ ΠΑΝΟΡΜΟΥ ΡΕΘΥΜΝΟΥ,,,
ΚΡΕΤΑ ΜΑΡΙΣ,"


0.5 Χλμ
",5,www.cretamaris.gr,resort@cretamaris.gr,28970-27000,28970-22130,Χερσόνησος,700 14,ΧΕΡΣΟΝΗΣΟΣ ΗΡΑΚΛΕΙΟΥ,2810-300520,281-0300540,281-0346088
ΚΡΕΤΑ ΠΑΛΛΑΣ,"


3 Χλμ
",5,www.grecotel.com,dimitrios.dinas@grecotel.com,28310-55181,28310-54085,Ρέθυμνο,741 00,ΠΛΑΤΑΝΕΣ,,2831-055181,2831-054085
ΚΡΕΤΑ ΡΟΥΑΓΙΑΛ,"


12 Χλμ
",5,www.aegeanstar.com,directorsr@aegeanstar.com,28310-71812,28310-71791,Σκαλέτα,741 00,ΤΘ 21,,2831-071812,2831-071791
ΚΡΕΤΑ ΣΤΑΡ,"


13 Χλμ
",4,www.aegeanstar.com,directorsr@aegeanstar.com,2831071812,28310-71791,Σταυρωμένος,741 00,ΣΤΑΥΡΩΜΕΝΟΣ ΡΕΘΥΜΝΗΣ,,2831-071980,2831-071791
ΚΡΕΤΑ ΣΤΑΡ-ΚΡΗΤΙΚΟΣ ΑΣΤΕΡΑΣ,,2,,sskarvelakis@gmail.com,28410-25607,2810-220608,Άγιος Νικόλαος,721 00,ΧΑΒΑΝΙΑ,28410-23845,,
ΚΡΕΤΑΝ ΜΑΛΛΙΑ ΠΑΡΚ,"


1.2 Χλμ
",5,www.cretanmaliapark.gr,mitsalas@sbokoshotels.gr,28970-31461,28970-31460,Μάλια,700 07,ΜΑΛΙΑ ΠΕΔΙΑΔΟΣ ΗΡΑΚΛΕΙΟΥ,,,
ΚΡΕΤΑΝ ΜΠΙΤΣ ΡΙΖΟΡΤ,"


15 Χλμ
",4,www.cretanbeachresort.com,cretanbeachresort@gmail.com,28250-61117,,Κουρνά,730 07,ΚΑΒΟΣ ΚΟΥΡΝΑ,2825061117,,
ΚΡΗΝΗ,"


1 Χλμ
",2,http://eloundakrinihotel.com,,28410-41525,211-7901570,Άγιος Νικόλαος,720 53,Λεωφ. Α. Παπανδρέου,28410-41662,2841-041602,2841-041624
ΚΡΗΝΗ,"


7 Χλμ
",2,www.villa-krini.com,ekabo@tee.gr,28210-64795,28210-73157,Καλαθάς,731 00,,,6944-357595,2821-073157
ΚΡΗΣΣΑ ΓΕΙΤΟΝΙΑ,,4,www.ariahotels.gr/el/cressa-ghitonia-village,cressa@ariahotels.gr,28430-29040,28430-29041,Σφάκα,720 57,,,,
ΚΡΗΤΗ,"


0.3 Χλμ
",3,www.kriti-hotel.gr,info@kriti-hotel.gr,28210-51881,28210-41000,Χανιά,731 32,Ν.ΦΩΚΑ 10,28210-51883,,
ΚΡΗΤΗ,,2,,account@dantravel.biz,28410-28893,,Άγιος Νικόλαος,721 00,ΣΟΡΟΛΙΔΟΥ 22,28410-28894,,
ΚΡΗΤΗ ΓΚΟΛΦ ΚΛΑΜΠ ΧΟΤΕΛ,,5,www.cretegolfclub.com,info@cretegolfclub.com,2897026000,2897030180,Λιμένας Χερσονήσου,70014,,,,
ΚΡΗΤΙΚΕΣ ΚΑΤΟΙΚΙΕΣ,"


4 Χλμ
",3,www.cretaresidence.com,info@cretaresidence.com,28310-36140,28310-36150,Ρέθυμνο,741 00,ΛΑΣΗΘΙΟΥ 8,28310-36140,2167000420,2103311240
ΚΡΗΤΙΚΕΣ ΣΟΥΙΤΕΣ,"


8 Χλμ
",4,www.cretasuites.com,cretasuites@netscape.net,28420-61915,28420-61920,Κουτσουνάρι,722 00,ΚΟΥΤΣΟΥΝΑΡΙ ΙΕΡΑΠΕΤΡΑΣ,,,
ΚΡΗΤΙΚΗ ΒΙΛΛΑ,"


0.2 Χλμ
",1,www.cretan-villa.com,cretan-villa@cretan-villa.com,28420-28522,28420-28522,Ιεράπετρα,722 00,ΛΑΚΕΡΔΑ 16,,2842-028522,
ΚΡΗΤΙΚΗ ΓΑΛΑΖΙΑ ΑΚΤΗ,,4,www.cretanbluebeach.gr,info@cretanbluebeach.gr,28970-21762,,Χερσόνησος,70014,,,,
ΚΡΗΤΙΚΗ ΘΑΛΑΣΣΑ,"


0.5 Χλμ
",1,www.cretamareplakias.com,info@cretamareplakias.com,28320-31081,28320-32239,Πλακιάς,740 60,ΠΛΑΚΙΑΣ ΡΕΘΥΜΝΟΥ,,6978-303680,
ΚΡΗΤΙΚΟ ΟΝΕΙΡΟ,"


4 Χλμ
",2,www.cretandreamroyal.gr,info@cretandreamroyal.gr,28210-36800,28210-36811,Δαράτσος,731 00,,,6944-843232,
ΚΡΗΤΙΚΟ ΠΑΝΟΡΑΜΑ & ΘΑΛΑΣΣΑ,"


18 Χλμ
",4,www.iberostar.com,creta.panorama@iberostar.com,28340-51502,28340-51151,Πάνορμος,740 57,ΠΑΝΟΡΜΟΣ ΡΕΘΥΜΝΗΣ,28340-20070,2834-051502,
ΚΡΗΤΙΚΟ ΧΩΡΙΟ,"


2 Χλμ
",4,www.cretanvillage.gr,info@cretanvillagehotel.com,28410-28576,28410-23177,Αμμουδάρες,721 00,ΑΜΜΟΥΔΑΡΕΣ ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ,,,
ΚΡΗΤΙΚΟ ΧΩΡΙΟ,"


3 Χλμ
",4,www.aldemarhotels.com,cv@aldemarhotels.com,28970-22996/7,28970-22300,Ανισσαράς,700 14,ΑΝΙΣΣΑΡΑΣ ΛΙΜ.ΧΕΡΣΟΝΗΣΟΥ,023750/4,2897-022996,2897-022300
ΚΡΗΤΙΚΟ ΧΩΡΙΟ ΚΑΛΥΨΩ,"


3 Χλμ
",4,www.kalypsohotels.com,info@kalypsohotels.com,28320-31296,28320-31210,Πλακιάς,740 60,ΚΑΡΑΒΟΣ,,2831-029011,2831-023392
ΚΡΗΤΙΚΟΣ ΑΣΤΕΡΑΣ,,2,,logistirio.gialiti@gmail.com,2810-285600,2810-332919,Ανάληψη,700 14,ΑΝΑΛΗΨΗ ΧΕΡΣΟΝΗΣΟΥ ΚΡΗΤΗΣ,,,
ΚΡΗΤΙΚΟΣ ΗΛΙΟΣ,"


2 Χλμ
",2,www.cretasun.gr,info@cretasun.gr,28210-61175,28210-83552,Πλατανιάς,731 00,ΠΛΑΤΑΝΙΑΣ ΧΑΝΙΩΝ,28210-83555,6973-353823,
ΚΡΗΤΙΚΟΣ ΦΟΙΝΙΚΑΣ,,4,www.creta-palm.gr,info@creta-palm.gr,28210-83660,28210-83663,Σταλός,731 00,ΚΑΤΩ ΣΤΑΛΟΣ ΧΑΝΙΩΝ,,,
ΚΡΗΤΙΚΟΣ ΦΟΙΝΙΚΑΣ ΠΑΡΑΔΕΙΣΟΣ,,3,www.creta-palm.gr,info@creta-palm.gr,28210-83662,28210-83663,Σταλός,731 00,,,,
ΚΡΗΤΙΚΟΣ ΦΟΙΝΙΚΑΣ ΣΥΝΟΙΚΙΑ,,2,www.creta-palm.gr,info@creta-palm.gr,28210-83662,28210-83663,Σταλός,731 00,,,,
ΚΡΗΤΙΚΟΣ ΦΟΙΝΙΚΑΣ-ΧΩΡΙΟ,,2,,info@creta-palm.gr,28210-83660,28210-83663,Σταλός,731 00,,,,
ΚΡΙ-ΚΡΙ ΧΩΡΙΟ,"


10 Χλμ
",2,www.krikriapts.com,kri_kri@otenet.gr,2810-761063,2810-762135,Γούρνες,715 00,ΓΟΥΡΝΕΣ ΠΕΔΙΑΔ.ΗΡΑΚΛΕΙΟΥ,-,,2810762135
ΚΡΙΣΠΥ,"


2 Χλμ
",3,www.chrispy.gr,manager@chrispy.gr,2824022966,,Καμισιανά,730 06,ΡΑΠΑΝΙΑΝΑ ΚΙΣ.ΧΑΝΙΩΝ,,,
ΚΡΙΣΠΥ ΡΗΖΟΡΤ,,5,www.chrispy.gr,manager@chrispy.gr,28240-22966,,Καμισιανά,734 00,ΡΑΠΑΝΙΑΝΑ,,,
ΚΡΙΣΤΙ,"


0.8 Χλμ
",4,,sofia-latsoudi@hotmail.com,28970-23461,,Κουτουλουφάρι,700 14,Τ.Θ.53,,,
ΚΡΙΤΑΜΟΣ,,4,,,6948946084,,Κεφάλι,730 06,,,,
ΚΡΙΤΖΑΣ,"


15 Χλμ
",4,www.kritzasbeach.gr,logpapevi@gmail.com,2810-762002,2810-761192,Γούρνες,715 00,ΓΟΥΡΝΕΣ ΠΕΔΙΑΔΟΣ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ,,281-0229515,281-0761192
ΚΡΟΝΟΣ,"


1 Χλμ
",2,www.kronoshotel.gr,kronosht@otenet.gr,2810-282240,2810-285853,Ηράκλειο,712 02,ΒΕΝΙΖΕΛΟΥ  & ΑΓΚΑΡΑΘΟΥ 2,2810-287395,,
ΚΡΥΣΤΑΛ,"


2 Χλμ
",2,www.ekaterinidis-hotels.com,sitiakrystal@yahoo.com,28430-22284,28430-28644,Σητεία,723 00,ΚΑΠΕΤΑΝ ΣΗΦΗ 17,28430-28484,21-08030736,21-08030736
ΚΡΥΣΤΑΛ,"


0.3 Χλμ
",2,www.kristallsuites.com,info@kristallsuites.com,28210-60715,28210-60715,Σταλός,731 00,Κ.ΣΤΑΛΟΣ ΚΥΔΩΝ.ΧΑΝΙΩΝ,28210-60717,21-04966334,
ΚΤΗΜΑ ΔΑΛΑΜΠΕΛΟΣ,"


3 Χλμ
",3,www.dalabelos.gr,info@dalabelos.gr,28340-22155,28340-22514,Αγγελιανά,740 52,ΑΓΓΕΛΙΑΝΑ ΡΕΘΥΜΝΟΥ,28340-22515,,
ΚΤΗΜΑ ΜΟΝΑΣΤΗΡΙ ΡΙΤΡΙΤ,,3,www.monasteryestate.com,guesthouse@monasteryestate.com,6944711277,,Κάνδανος,73009,,,,
ΚΥΑΝΟ,,4,,pantelog1@hotmail.com,6944696012,,Πλακιάς,74060,,,,
ΚΥΔΩΝ,"


0.5 Χλμ
",4,www.kydonhotel.com,info@kydonhotel.com,28210-52280,28210-51790,Χανιά,731 34,Πλατεία Σοφ. Βενιζέλου & Στρ. Τζανακάκη 2,,2821-052280,2821-051790
ΚΥΔΩΝΙΑ,"


0.4 Χλμ
",2,www.hotelkidonia.com,info@hotelkidonia.com,28210-95344,28210-95345,Χανιά,731 00,ΜΑΝΟΥΣΟΓΙΑΝΝΑΚΗΔΩΝ 8,28210-95343,2821-077201,
ΚΥΚΝΟΣ,"


1 Χλμ
",4,www.kyknoshotel.gr,info@kyknoshotel.gr,2897032040,2897032320,Μάλια,700 07,ΣΥΝΟΡΟ ΜΑΛΛΙΩΝ ΗΡΑΚΛΕΙΟΥ,2897032041,6936831861,2897032320
ΚΥΜΑ,"


0.8 Χλμ
",5,www.ok-rethymno.gr,kymabeach@ok-rethymno.gr,28310-50185,28310-22353,Ρέθυμνο,741 00,ΠΛΑΤ.ΑΓΝΩΣΤΟΥ ΣΤΡΑΤΙΩΤΗ,,,
ΚΥΡΙΑΚΗ,"


3 Χλμ
",3,www.kyriakihotel.gr,info@kyriakihotel.gr,28210-87910,28210-99033,Δαράτσος,731 00,ΜΑΚΡΥΣ ΤΟΙΧΟΣ ΧΑΝΙΩΝ,28210-87911,6977-861224,
ΚΩΣΤΑΣ,,3,,,28970-31485,,Μάλια,700 07,ΜΑΛΛΙΑ ΗΡΑΚΛΕΙΟΥ,,,
ΚΩΣΤΑΣ – ΧΡΙΣΤΙΝΑ,,2,http://www.anthikaterinarooms.gr/,info@anthikaterinarooms.gr,28210-68490,,Πλατανιάς,730 14,,,,
ΚΩΣΤΑΣ-ΜΑΡΙΑ,,1,,,2810-250898,,Γάζι,715 00,3ΗΣ ΣΕΠΤΕΜΒΡΙΟΥ,,,
ΛΑ ΣΤΕΛΛΑ,"


5 Χλμ
",3,www.lastella-hotel.gr,epitouergou@gmail.com,28310-27545,28310-24661,Ρέθυμνο,731 00,ΝΙΚΟΜΗΔΕΙΑΣ 7,6944-946457,6944-946457,2831-024661
ΛΑΒΡΥΣ,"


2 Χλμ
",4,www.lavrishotels.com,info@lavrishotels.com,28970-41101,28970-41174,Γούβες,700 14,ΓΟΥΒΕΣ ΗΡΑΚΛ.ΚΡΗΤΗΣ,,2897-041101,2897-041174
ΛΑΒΡΥΣ ΠΑΡΑΔΕΙΣΟΣ,"


0.2 Χλμ
",4,www.lavrishotels.com,lavrishotel@yahoo.gr,28970-41101,28970-41174,Κάτω Γούβες,700 14,ΚΑΤΩ ΓΟΥΒΕΣ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ,,2897-041101,2897-041174
ΛΑΒΥΡΙΝΘΟΣ,"


10 Χλμ
",2,,,28250-61373,,Γεωργιούπολη,730 07,ΓΕΩΡΓΙΟΥΠΟΛΗ ΧΑΝΙΩΝ,,2825-061373,2825-061015
ΛΑΓΚΟΥΝΑ ΡΕΣΟΡΤ,,5,www.mitsishotels.com,laguna.info@mitsishotels.com,2897025790,2897025175,Χερσόνησος,700 14,ΠΑΝΑΓΙΑ ΑΝΙΣΣΑΡΑ,,2897025790,
ΛΑΙΦ – ΖΩΗ,"


4 Χλμ
",3,,hotelife@gmail.com,2810-243090,2810-222440,Ηράκλειο,713 07,ΛΕΩΦΟΡΟΣ ΙΚΑΡΟΥ 50,,,
ΛΑΙΦΣΤΑΙΛ ΜΠΙΤΣ ΡΙΖΟΡΤ,,4,http://enormehotels.gr,secretary@enormehotels.com,2810-310500,2810-373134,Γάζι,715 00,ΑΜΜΟΥΔΑΡΑ ΗΡΑΚΛΕΙΟΥ,2810227000,,
ΛΑΜΕΡ ΡΙΖΟΡΤ,"


3 Χλμ
",5,www.lamerresort.gr,info@lamerresort.gr,2825440000,2825440010,Δράμια,730 07,ΔΡΑΜΙΑ ΑΠΟΚΩΡΟΝΟΥ ΧΑΝΙΩΝ,,2821075444,
ΛΑΜΕΡΙΑΝΑ ΣΙΚΡΕΤ ΒΙΛΑΤΖ,,3,,apostolaki1985@yahoo.gr,2831500389,,Αχλαδές,74057,,,,
ΛΑΜΕΡΙΑΝΑ ΣΙΚΡΕΤ ΛΑΞΟΥΡΙ ΒΙΛΑΤΖ,,3,https://lameriana.com/,apostolaki1985@yahoo.gr,2831500389,,Αχλαδές,74057,,2834020789,,
ΛΑΜΠΕΡΟΣ ΗΛΙΟΣ,,3,,account1@kallistonhotel.com,28210-34349,28210-34428,Δαράτσος,731 00,ΓΛΑΡΟΣ-ΚΑΤΩ ΔΑΡΑΤΣΟ ΧΑΝΙΩΝ,28210-34400,,
ΛΑΜΠΡΙΝΟΣ,"


0.05 Χλμ
",2,www.lambrinossuites.gr,manager@lambrinossuites.gr,28210-83770,28210-83771,Πλατανιάς,730 14,,,6976-501015,2821-083771
ΛΑΜΩΝ,"


0.01 Χλμ
",3,www.hotel-lamon.com,info@hotel-lamon.com,28320-31279,28320-31424,Πλακιάς,740 60,ΠΛΑΚΙΑ ΡΕΘΥΜΝΟΥ ΚΡΗΤΗΣ,28320-31425,2832-031205,2832-031424
ΛΑΣΙΝΘΟΣ,,4,www.lasinthos.gr,info@lasinhtos.gr,28440-89101,28440-89109,Άγιος Γεώργιος,713 00,,,,
ΛΑΣΣΙΟΝ ΚΟΛΝΤΕΝ ΜΠΕΙ,"


5 Χλμ
",3,www.lgb.gr,info@ekaterinidis-hotels.com,28430-28933,28430-28924,Σητεία,723 00,ΑΓΙΑ ΦΩΤΙΑ,28430-28950,21-08030736,21-08030736
ΛΑΤΑΝΙΑ,"


0.1 Χλμ
",3,www.lataniacretehotel.com/,info@lataniacretehotel.com,28970-33651,28970-31556,Σταλίδα,700 07,ΣΤΑΛΙΣ ΗΡΑΚΛΕΙΟΥ,6947703093,2810-232733,2810-232733
ΛΑΤΩ,"


0.8 Χλμ
",2,www.lato-hotel.com.gr,lato@mail.com,28410-24581,28410-23996,Άγιος Νικόλαος,721 00,ΑΜΜΟΥΔΙ ΑΓ.ΝΙΚΟΛ.ΚΡΗΤΗΣ,28410-24582,2841-022494,2841-023996
ΛΑΤΩ,"


0.8 Χλμ
",3,www.lato.gr,account@karatarakisgroup.com,2810-228103,2810-240350,Ηράκλειο,712 02,ΕΠΙΜΕΝΙΔΟΥ 15,,,
ΛΑΤΩ,"


0.5 Χλμ
",2,,,28210-95088,,Χανιά,731 36,ΙΩΝΙΑΣ 8,,,
ΛΕΒΕΝΤΗΣ,"


1 Χλμ
",2,,,28410-22423,,Άγιος Νικόλαος,721 00,ΣΦΑΚΙΑΝΑΚΗ 15,28410-25660,2841-022423,2841-022267
ΛΕΓΚΑΣΙ ΓΚΑΣΤΡΟ ΧΟΤΕΛ,,5,www.legacygastrosuites.com,account@karatarakisgroup.com,2810302923,,Ηράκλειο,71201,ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ 42,2810302920,,
ΛΕΙΝΤΙ Μ,"


0.05 Χλμ
",1,,,2810-811258,,Αγία Πελαγία,715 00,,,281-0260534,
ΛΕΝΑ,"


0.3 Χλμ
",1,www.lena-hotel.gr,info@lena-hotel.gr,2810-223280,2810-242826,Ηράκλειο,712 02,ΛΑΧΑΝΑ 10,2810-242826,,
ΛΕΝΑ,"


5 Χλμ
",3,www.travelling-crete.com/lena,lenachania@hotmail.com,28210-86860,28210-53649,Χανιά,731 31,ΡΙΤΣΟΥ 5,,,
ΛΕΝΑ ΑΚΤΗ,"


5 Χλμ
",3,www.lenabeach.gr,info@lenabeach.gr,28210-64750,28210-64066,Καλαθάς,731 00,ΚΑΛΑΘΑΣ ΑΚΡΩΤΗΡΙΟΥ ΧΑΝΙΩΝ,28210-64695,2821-056340,2821-064066
ΛΕΝΤΑΣ,"


30 Χλμ
",2,www.hotel-lentas.com,hotel.lentas@gmail.com,28920-95221,28920-95222,Ηράκλειο,700 09,ΛΕΝΤΑΣ ΗΡΑΚΛΕΙΟΥ,28920-95222,,
ΛΕΟ,"


0.8 Χλμ
",3,www.leohotel.gr,info@leohotel.gr,28310-26197,28310-57197,Ρέθυμνο,741 00,ΒΑΦΕ 2,,,
ΛΕΟΝΙΚΙ ΡΕΖΗΝΤΕΝΣ,"


1 Χλμ
",4,www.leoniki.com,reservations.le@grecotel.com,28310-29232,28310-51734,Ρέθυμνο,741 00,ΜΑΧΗΣ ΚΡΗΤΗΣ 197,28310-50180,2831-052731,2831-029331
ΛΕΤΣ ΓΚΟΟΥ ΣΑΟΥΘ,"


0.1 Χλμ
",2,www.kassavetishotel.com,info@kassavetis-hotel.gr,28970-23053,28970-21324,Λιμένας Χερσονήσου,700 14,ΟΥΛΟΦ ΠΑΛΜΕ & ΙΠΠΟΚΡΑΤΟΥΣ,,,
ΛΕΥΚΑ,,2,,lefka20@yahoo.gr,28240-23477,,Κολυμβάρι,730 06,ΚΟΛΥΜΒΑΡΙ ΧΑΝΙΩΝ,,,
ΛΕΥΚΑ ΟΡΗ,"


0.1 Χλμ
",1,,hotel.lefka.ori.chania@gmail.com,28210-90684,28210-90684,Χανιά,731 00,Μ.ΜΠΟΤΣΑΡΗ 56,,,
ΛΕΥΚΟ ΝΗΣΙ,"


20 Χλμ
",5,www.insulaalba.com,reservations@insulaalba.com,28975-01501,2897501510,Ανάληψη,70014,,28975-01512,,
ΛΕΥΚΟ ΠΑΛΑΤΙ,"


8 Χλμ
",5,www.thewhitepalace.com,ioannis.zoulakis@grecotel.com,28310-71102,28310-71215,Πηγή,741 00,ΠΗΓΗ ΡΕΘΥΜΝΗΣ ΚΡΗΤΗΣ,,2831-071102,2831-071215
ΛΕΥΚΟΝΟΙΚΟ ΜΠΕΥ,"


1 Χλμ
",3,www.lefkoniko.gr,info@lefkoniko.gr,28310-57592,,Ρέθυμνο,741 00,ΜΑΧΗΣ ΠΟΤΑΜΩΝ  &  ΠΑΝΕΠΙΣΤ.,2831055328,,
ΛΕΥΚΟΡΙΤΗΣ,,2,http://lefkoritis.com/,lefkoritis@lefkoritis.com,28210-88401,2825095454,Χώρα Σφακίων,730 13,,2825095455,,
ΛΕΥΤΕΡΗΣ ΑΠΑΡΤΜΕΝΤΣ,,2,,lefterispehinakis@gmail.com,2897029213,2897029213,Χερσόνησος,700 14,ΚΑΣΣΑΒΕΤΗ ΧΕΡΣΟΝΗΣΟΥ,,2897029213,2897029213
ΛΕΩΝΙΔΑΣ,"


1.5 Χλμ
",3,www.hotel-leonidas.com,info@hotel-leonidas.com,28310-51754,28310-22133,Ρέθυμνο,741 00,ΜΙΧ.ΠΑΠΑΔΑΚΗ 4,,6974-070975,
ΛΗΔΡΑ,"


0.5 Χλμ
",2,,ledrahotel@gmail.com,28210-62366,28210-62707,Μάλεμε,731 00,ΜΑΛΕΜΕ ΚΥΔΩΝ.ΧΑΝΙΩΝ,28210-62042,21-09827533,21-09827533
ΛΗΔΡΑ ΜΑΛΕΜΕ,"


0.5 Χλμ
",3,www.ledrahotel.gr,ledrahotel@gmail.com,28210-62366,28210-62042,Μάλεμε,731 00,ΜΑΛΕΜΕ ΧΑΝΙΩΝ,28210-62042,21-09827533,21-07243369
ΛΙΒΑ,,1,,,28210-45310,,Χανιά,731 00,ΜΕΣΟΛΟΓΓΙΟΥ & ΑΓΙΑΣ ΛΑΥΡΑ,28210-45311,,
ΛΙΒΥΚΟΝ,"


0.1 Χλμ
",2,www.hotel-livikon-plakias.com,info@hotel-livikon-plakias.com,28320-31216,28320-31420,Πλακιάς,740 60,,28320-31420,6972-219147,2832-031420
ΛΙΖΑ ΜΑΡΙ,,1,,lizamary.hotel@hotmail.gr,28340-940723,,Μπαλί,740 57,ΜΠΑΛΙ ΡΕΘΥΜΝΟΥ,,,
ΛΙΛΗ,"


0.5 Χλμ
",1,www.lilihotel.com,info@lilihotel.com,2810-821713,2810-823448,Γάζι,715 00,,2810-821391,,
ΛΙΛΙΟΥΜ,,2,,,28210-68157,,Αγία Μαρίνα,731 00,,,,
ΛΙΜΑΝΙ ΓΚΡΕΚΟ,"


1 Χλμ
",4,,rkritikou@gmail.com,28970-29545,,Λιμένας Χερσονήσου,700 14,25ΗΣ ΜΑΡΤΙΟΥ,,2897-022944,
ΛΙΜΑΝΙ ΜΠΕΛΙΣΑΡΙΟ,"


12 Χλμ
",3,www.belissario.com,hotel@belissario.com,28420-90190,28420-61551,Φέρμα,722 00,ΦΕΡΜΑ ΙΕΡΑΠΕΤΡΑΣ,28420-61360,2842-022306,2842-061551
