Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Τηλέφωνο 2,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΕΞΙΣ,"


1 Χλμ
",2,www.exishotel.gr,info@exishotel.gr,210-8662111,2108662270,210-8620111,Αθήνα,ΣΠΑΡΤΗΣ 1,112 52,,
ΕΠΙΔΑΥΡΟΣ,"


0.01 Χλμ
",2,www.epidavroshotel.gr,info@athensepidavroshotel.gr,210-5230421,,210-5244920,Αθήνα,ΖΗΝΩΝΟΣ 16 & ΚΟΥΜΟΥΝΔΟΥΡΟΥ 14,104 37,,
ΕΠΤΑ ΑΔΕΛΦΙΑ,"


0.5 Χλμ
",1,www.7brothers.gr,info@7brothers.gr,22980-23412,,22980-23413,Πόρος,ΤΟΜΠΑΖΗ 1,180 20,,
ΕΡΑΤΩ,"


1 Χλμ
",2,,3xxxerato@gmail.com,210-3459996,210-3459997,,Αθήνα,ΗΡΑΚΛΕΙΔΩΝ 72,118 51,,
ΕΡΑΤΩ,"


0.2 Χλμ
",2,,d.galaris@yahoo.gr,22970-32468,,,Αγία Μαρίνα,ΑΓ.ΜΑΡΙΝΑ ΑΙΓΙΝΑΣ,180 10,2297-025317,2297-025317
ΕΡΓΟΝ ΧΑΟΥΖ,,4,house.ergonfoods.com,house@ergonfoods.com,2100109090,,,Αθήνα,ΜΗΤΡΟΠΟΛΕΩΣ 23,10557,,
ΕΡΕΧΘΕΙΟΝ,"


2 Χλμ
",1,,,210-3459606,210-3459626,210-3462756,Αθήνα,ΑΓΙΑΣ ΜΑΡΙΝΑΣ  &  ΦΛΑΜΑΡΙΩΝ 8,118 51,,
ΕΡΜΗΣ,"


3 Χλμ
",3,www.athenshotelsgroup.com,hermes@athenshotelsgroup.com,210-3235514,210-3235516,210-3232073,Αθήνα,ΑΠΟΛΛΩΝΟΣ 19,105 57,,
ΕΡΜΗΣ,"


18 Χλμ
",2,,hotelhermes.aigina@gmail.com,22970-32411,,,Αγία Μαρίνα,ΑΓΙΑ ΜΑΡΙΝΑ ΑΙΓΙΝΑΣ,180 10,,
ΕΣ ΚΛΑΜΠ 4,"


3 Χλμ
",1,,,210-4816838,,,Πειραιάς,ΚΗΦΙΣΣΟΥ 35,185 47,,
ΕΥΑ,"


2 Χλμ
",2,www.hotel-eva.gr,info@hotel-eva.gr,210-4170110,,2104170360,Πειραιάς,ΝΟΤΑΡΑ 2,185 31,,
ΕΥΠΛΟΙΑΣ,"


0.5 Χλμ
",4,www.efplias.gr,efplias@otenet.gr,2104283800,2104283801,210-4283803,Πειραιάς,ΕΥΠΛΟΙΑΣ 26-28,185 37,,21-04224427
ΕΥΡΙΠΙΔΗΣ,"


2 Χλμ
",2,www.evripideshotel.gr,hotelevripides@yahoo.com,210-3212301,210-3212302,210-3212303,Αθήνα,ΕΥΡΙΠΙΔΟΥ 79 & ΕΠΙΚΟΥΡΟΥ,105 53,,
ΕΥΡΩΠΗ,"


0.65 Χλμ
",2,,,210-5223081,210-5229931,,Αθήνα,ΣΑΤΩΒΡΙΑΝΔΟΥ 7,104 31,,
ΕΦΕΣΣΟΣ,"


0.5 Χλμ
",1,,makris-property@otenet.gr,210-5223508,,210-5248333,Αθήνα,ΑΓΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥ 30,104 37,,
ΕΦΗ,"


9 Χλμ
",2,www.hotelephi.gr,info@hotelephi.gr,22970-52214,,,Βαθύ,ΣΟΥΒΑΛΑ ΑΙΓΙΝΑΣ,180 10,,
ΖΑΠΠΕΙΟΝ,"


0.5 Χλμ
",2,www.zappionhotel.gr,info@zappionhotel.gr,210-7241408,,210-7234871,Αθήνα,ΗΡΩΝΔΑ 4,116 35,,
ΖΕΝ,"


1 Χλμ
",2,www.zenhotel.gr,info@zenhotel.gr,210-9858585,,210-9841640,Καλαμάκι,ΚΟΤΖΙΑ 6,174 55,,
ΖΕΝΙΘ,"


0.2 Χλμ
",1,,,210-5245000,210-5240530,,Αθήνα,ΞΟΥΘΟΥ 13,104 32,,
ΖΕΥΣ,"


0.5 Χλμ
",1,www.zeushostel.com,zeushostel@yahoo.com,210-3211551,210-3211662,210-3211662,Αθήνα,ΣΟΦΟΚΛΕΟΥΣ 27,105 52,,
ΖΗΝΟΒΙΑ-ΖΙΝΑ,"


2 Χλμ
",3,www.zinahotel.com,info@zinahotel.com,210-9603872,210-9603873,210-9604004,Γλυφάδα,ΕΥΑΓΓΕΛΙΣΤΡΙΑΣ 6,166 74,,
ΖΟΡΜΠΑΣ,"


7 Χλμ
",2,www.hotelzorbas.gr,info-bookings@hotelzorbas.gr,210-6229000,210-6229776,210-6229940,Δροσιά,Λ.ΜΑΡΑΘΩΝΟΣ 5,145 72,,
ΖΟΡΜΠΑΣ,"


1 Χλμ
",2,www.zorbashotel.com,info@zorbashotel.com,210-8224927,210-8218878,210-8234239,Αθήνα,ΓΚΥΙΛΦΟΡΔΟΥ 10,104 34,,
ΗΛΕΚΤΡΑ,"


2 Χλμ
",4,www.electrahotels.gr,electraaccount@electrahotels.gr,210-3378000,,210-3220310,Αθήνα,ΕΡΜΟΥ 5,105 63,,
ΗΛΕΚΤΡΑ,"


4 Χλμ
",4,,,210-8960537,210-8961380,,Βουλιαγμένη,ΠΑΝΟΣ 28,166 71,21-08077970,21-08962329
ΗΛΕΚΤΡΑ,"


3 Χλμ
",1,www.hotel-electra.gr,hotel-electra@hotmail.com,210-4227186,210-4112730,210-4112750,Πειραιάς,ΝΑΥΑΡΙΝΟΥ 12,185 31,,
ΗΛΕΚΤΡΑ ΜΗΤΡΟΠΟΛΙΣ,,5,http://electrahotels.gr/,metropolis@electrahotels.gr,2141006200,,,Αθήνα,ΜΗΤΡΟΠΟΛΕΩΣ 15,10557,,
ΗΛΕΚΤΡΑ ΠΑΛΛΑΣ,"


2 Χλμ
",4,www.electrahotels.gr,salesepath@electrahotels.gr,210-3370000,,210-3241875,Αθήνα,ΝΑΥΑΡΧΟΥ ΝΙΚΟΔΗΜΟΥ 18,105 57,,
ΗΛΙΑΧΤΙΔΑ,"


2 Χλμ
",2,,iliachtidahotel@gmail.com,210-9401973,210-9428893,210-9428893,Καλλιθέα,ΕΛ.ΒΕΝΙΖΕΛΟΥ 336,176 75,,
ΗΛΙΟΠΕΡΑΤΟ,"


9 Χλμ
",2,,,22970-61455,210-3464359,,Πέρδικα,ΠΕΡΔΙΚΑ ΑΙΓΙΜΑΣ,180 10,,
ΗΛΙΟΣ,"


0.3 Χλμ
",2,,,22980-72488,22980-72268,,Σπέτσες,,180 50,6932-322235,
ΗΛΙΟΣ,"


10 Χλμ
",2,https://www.sunhotelkineta.gr/,sunhotelkineta@gmail.com,22960-62068,6947-511162,210-8030412,Κινέτα,54 ΧΛΜ ΑΘΗΝΩΝ ΚΟΡΙΝΘΟΥ,191 00,21-08030412,21-08030412
ΗΛΙΟΣ,"


0.2 Χλμ
",2,www.helioshotel.net,contact@helioshotel.net,22970-32098,22970-32557,22970-32557,Αγία Μαρίνα,ΑΓΙΑ ΜΑΡΙΝΑ ΑΙΓΙΝΑΣ,180 10,,
ΗΝΙΟΧΟΣ,,3,www.iniohoshotel.gr,info@iniohoshotel.gr,210-5230811/5,,210-5238197,Αθήνα,ΒΕΡΑΝΖΕΡΟΥ 26,104 32,,
ΗΡΑ,"


4 Χλμ
",4,www.herahotel.gr,info@herahotel.gr,210-9236682,210-9240672,210-9238269,Αθήνα,ΦΑΛΗΡΟΥ 9,117 42,,
ΗΡΑΚΛΕΙΟΝ – ΚΑΝΤΙΑ,"


3 Χλμ
",4,www.candia-hotel.gr,candia@candia-hotel.gr,210-5246112/6,,210-5246117,Αθήνα,ΔΕΛΗΓΙΑΝΝΗ 40,104 38,,
ΗΡΩΔΕΙΟΝ,"


3 Χλμ
",4,www.herodion.gr,herodion@herodion.gr,210-9236832,,210-9211650,Αθήνα,ΡΟΒΕΡΤΟΥ ΓΚΑΛΗ 4-6,117 42,,
ΘΑΛΑΣΣΑ ΒΟΥΝΟ,,3,www.maremonteboutiquehotel.com,info@maremonteboutiquehotel.com,2298077122,,,Σπέτσες,,18050,,
ΘΕΑΝΩ,"


1 Χλμ
",2,hotel theano poros,hoteltheanoporos@gmail.com,22980-22567,22980-24508,22980-26690,Πόρος,ΛΑΜΠΡΑΚΗ 21,180 20,2298-022567,
ΘΕΟΔΩΡΑ,"


2.5 Χλμ
",1,,,22980-24062,22980-24549,,Πόρος,ΑΣΚΕΛΙ ΠΟΡΟΥ ΤΡΟΙΖΗΝΙΑΣ,180 20,21-07621013,
ΘΕΟΞΕΝΙΑ ΠΑΛΛΑΣ,"


1 Χλμ
",5,www.theoxeniapalace.com,reservations@theoxeniapalace.com,210-6233622,,210-6231675,Κηφισιά,ΦΙΛΑΔΕΛΦΕΩΣ 2 & ΚΟΛΟΚΟΤΡΩΝΗ,145 62,,
ΘΗΣΕΙΟΝ,"


2 Χλμ
",3,hotelthissio.cm,sofonmanagement@gmail.com,210-3476754,6977806446,210-3476997,Αθήνα,ΑΠ.ΠΑΥΛΟΥ 25  &  ΑΓ.ΜΑΡΙΝΑΣ 2,118 51,,
ΙΑΣΩΝ ΠΡΑΙΜ,"


0.2 Χλμ
",4,www.douro-hotels.com,douros@otenet.gr,210-5248031/3,,210-5234786,Αθήνα,ΝΙΚΗΦΟΡΟΥ 3-5,104 37,,
ΙΒΙΣΚΟΣ,"


5 Χλμ
",2,www.iviskoshotel.gr,iviskoshotel@gmail.com,210-2816316,210-2820322,210-2818843,Μεταμόρφωση,ΤΑΤΟΙΟΥ 144,144 52,,
ΙΚΑΡΟΣ,,1,,ikaros.athens@gmail.com,210-5236460,210-5244525,,Αθήνα,ΣΑΤΩΒΡΙΑΝΔΟΥ 48,104 37,,
ΙΚΑΡΟΣ,"


3 Χλμ
",2,www.hotelikaros.gr,info@hotelikaros.gr,210-8981320,210-8981321,210-8981321,Ελληνικό,ΠΟΣΕΙΔΩΝΟΣ 17,167 77,,
ΙΚΑΡΟΣ,"


1 Χλμ
",1,,hotelikarospireus@gmail.com,210-4129305,210-4129306,210-4129306,Πειραιάς,ΛΕΟΧΑΡΟΥΣ 18,185 31,,
ΙΛΙΣΙΑ,"


1 Χλμ
",4,www.bestwestarn.com/gr/ilisiahotel,ilisia@ath.forthnet.gr,210-7244051/6,,210-7241847,Αθήνα,ΜΙΧΑΛΑΚΟΠΟΥΛΟΥ 25,115 28,,
ΙΛΙΣΣΟΣ,"


5 Χλμ
",4,www.ilissos.gr,ilissos@ilissos.gr,210-9202000,,210-9215371,Αθήνα,ΚΑΛΛΙΡΟΗΣ 72,117 41,,
ΙΜΠΕΡΙΑΛ,"


1 Χλμ
",2,,imperialalimos@gmail.com,210-9813572,,210-9822579,Καλαμάκι,ΘΟΥΚΙΔΙΔΟΥ 87,174 55,,
ΙΝΟΗ,,3,,,210-8673967,210-8674806,,Αθήνα,ΛΕΥΚΩΣΙΑΣ 14,112 52,,
ΙΝΤΕΑΛ,"


1 Χλμ
",2,www.ideal-hotel.gr,ideal@ideal-hotel.gr,210-4294050,,210-4293890,Πειραιάς,ΝΟΤΑΡΑ 142,185 36,,
ΙΟΝΙΟΝ,"


3 Χλμ
",2,,info@hotel-delfini.com,210-4135065,210-4135065,,Πειραιάς,ΚΑΠΟΔΙΣΤΡΙΟΥ 10,185 31,,
ΙΟΝΙΣ,"


3 Χλμ
",3,www.ionishotel.gr,vakis@aristoteleshotel.gr,210-5232311,210-5230413,210-5247360,Αθήνα,ΧΑΛΚΟΚΟΝΔΥΛΗ 41,104 32,,
ΙΠΠΟΚΑΜΠΟΣ,"


10 Χλμ
",2,www.hippocampus-hotel-greece.com,hippocampuspl5@gmail.com,22970-61363,22970-61459,22970-61566,Πέρδικα,ΠΕΡΔΙΚΑ ΑΙΓΙΝΑΣ,180 10,2253052121,
ΙΠΠΟΚΑΜΠΟΣ,"


0.3 Χλμ
",2,www.ippokampos.com,ippo@ippokampos.com,22980-53453,22980-53454,22980-53453,Ύδρα,ΥΔΡΑ,180 40,,
ΙΡΙΔΑ,"


7 Χλμ
",3,www.kythera-irida.gr,info@kythera-irida.gr,27360-34273,,27360-33858,Αγία Πελαγία,ΑΓΙΑ ΠΕΛΑΓΙΑ ΚΥΘΗΡΩΝ,802 00,,
ΙΣΙΔΩΡΑ,"


1 Χλμ
",2,www.hotel-isidora.gr,isidorahotel@yahoo.gr,22970-32414,,22970-32414,Αγία Μαρίνα,ΑΓΙΑ ΜΑΡΙΝΑ ΑΙΓΙΝΑΣ,180 10,2297-071280,2297-032414
ΚΑΒΑΛΛΑΡΗ,"


2 Χλμ
",2,,cavallaripalacehotel@gmail.com,210-2446505,210-2446506,210-2446510,Αχαρνές,19 ΚΜ ΠΑΡΝΗΘΟΣ 19,136 71,,
ΚΑΒΟΣ,"


15 Χλμ
",1,www.kavosbay.com,kavosbayhotel@gmail.com,22970-31040,210-9355311,22970-31040,Αγία Μαρίνα,ΑΓ. ΜΑΡΙΝΑ ΑΙΓΙΝΑΣ,180 10,21-09355311,
ΚΑΛΛΙΟΠΗ 1,"


0.01 Χλμ
",3,,kalliopiguesthouse@hotmail.com,22980-52613,22980-53083,22980-52237,Ύδρα,,180 40,,
ΚΑΛΛΙΟΠΗ ΙΙ,"


0.05 Χλμ
",3,,kalliopiguesthouse@hotmail.com,22980-54042,22980-53083,,Ύδρα,,180 40,,
ΚΑΛΛΟΝΗ,,3,www.kalloniresort.gr,info@kalloniresort.gr,22980-31500,,,Καλλονή,ΚΑΛΛΟΝΗ,180 20,,
ΚΑΛΟΚΑΙΡΙΝΕΣ ΚΑΤΟΙΚΙΕΣ,"


2 Χλμ
",2,,info@cengo-mely.com,27360-31265,27360-31365,27360-31265,Καψάλι,ΚΑΨΑΛΙ ΚΥΘΗΡΩΝ,801 00,210-8136015,210-8136015
ΚΑΛΟΚΑΙΡΙΝΕΣ ΚΑΤΟΙΚΙΕΣ ΙΙ,"


2 Χλμ
",2,,info@cengo-mely.com,27360-31265,27360-31365,27360-31265,Καψάλι,,801 00,210-8136015,210-8136015
ΚΑΛΥΨΩ,,4,www.hotel-kalypso.gr,calypso.anavissos@gmail.com,22910-60170,22910-60174,,Ανάβυσσος,49 ΧΛΜ ΑΘΗΝΩΝ ΣΟΥΝΙΟΥ,190 13,,
ΚΑΜΑΡΕΣ,"


3 Χλμ
",3,www.xenonaskamares.gr,xenonaskamares.kythira@gmail.com,27360-33420,,,Αρωνιάδικα,ΑΡΩΝΙΑΔΙΚΑ ΚΥΘΗΡΩΝ,802 00,,
ΚΑΜΕΛΙΑ,"


0.1 Χλμ
",1,www.hotelkameliaspetses.com,hotelkameliaspetses@gmail.com,2298072415,,2298073335,Σπέτσες,ΣΠΕΤΣΕΣ,180 50,6944830343,
ΚΑΝΙΓΓΟΣ 21,"


0.5 Χλμ
",3,,,210-3300775,,,Αθήνα,ΚΑΝΙΓΓΟΣ 21  &  ΧΑΛΚΟΚΟΝΔΥΛΗ 12,106 77,,
ΚΑΝΟΥΣΗΣ,"


3 Χλμ
",2,,,22950-83786,22950-81046,,Άγιοι Απόστολοι,,190 14,,
ΚΑΠΤΑΙΝ’Σ – ΤΟΥ ΚΑΠΕΤΑΝΙΟΥ,,2,www.captains-hotel.gr,info@crystalblue.gr,210-5578842,,210-5578845,Σκαραμαγκάς,ΛΕΩΦ. ΣΧΙΣΤΟΥ 30,124 62,,
ΚΑΡΕΑ,"


3 Χλμ
",1,,info@hotelkareas.gr,210-7644001,,210-7646098,Βύρων,ΛΕΩΦ.ΚΑΡΕΑ 92,162 33,,
ΚΑΡΟΛ,"


2.5 Χλμ
",2,WW://HOTELCAROL.GR,carolhotel@yahoo.gr,210-4122933,210-4132151,210-4101142,Πειραιάς,ΔΙΟΒΟΥΝΙΩΤΟΥ 31,185 33,,
ΚΑΡΟΛΙΝΑ,"


1 Χλμ
",3,www.hotelcarolina.gr,info@hotelcarolina.gr,210-3243551,,210-3243550,Αθήνα,ΚΟΛΟΚΟΤΡΩΝΗ 55,105 60,,
ΚΑΡΟΥΣΕΛ,"


14 Χλμ
",2,www.hotel-carousel.com,caroussel_7@yahoo.co.uk,22970-32496,6942-802888,22970-32761,Αγία Μαρίνα,ΑΓ.ΜΑΡΙΝΑ,180 10,21-08979262,
ΚΑΡΡΑΣ,"


1 Χλμ
",2,www.hotelkarras.gr,hotelcarras@gmail.com,22970-32758,6945524331,22970-32759,Αγία Μαρίνα,ΑΓΙΑ ΜΑΡΙΝΑ ΑΙΓΙΝΑΣ,180 10,210-6131508,
ΚΑΡΥΑΤΙΔΕΣ,"


16 Χλμ
",2,www.hotelkaryatides.gr,hoteldanae@gmail.com,22970-32331,,22970-32111,Αγία Μαρίνα,ΑΓ.ΜΑΡΙΝΑ ΑΙΓΙΝΗΣ,180 10,2297-032331,
ΚΑΣΤΡΟ,"


0.3 Χλμ
",4,www.kastrohotel-spetses.gr,kastrohotelspetses@gmail.com,22980-75152,22980-75319,22980-73102,Σπέτσες,,180 50,,22980-73102
ΚΑΤΕΡΙΝΑ,"


0.5 Χλμ
",3,www.hotel-katerina.com,katerinahotel@yahoo.gr,210-5226115,210-5226689,210-5228529,Αθήνα,ΚΑΡΟΛΟΥ 20,104 37,,
ΚΑΤΕΡΙΝΑ Κ.,"


17 Χλμ
",3,www.katerinahotel.gr,danae@aig.forthnet.gr,22970-32075,,22970-32444,Αγία Μαρίνα,ΑΓ.ΜΑΡΙΝΑ ΑΙΓΙΝΑΣ,180 10,2297-032075,
ΚΑΤΡΙΝΑ,"


3.9 Χλμ
",2,katrinahotel@business.site,vafiadisioannis@gmail.com,210-5570577,,210-5575753,Σκαραμαγκάς,ΣΠ.ΜΗΛΙΟΥ 32,124 62,,
ΚΕΚΡΥΦΑΛΕΙΑ,,2,www.kekrifalia-hotel.com,info@kekrifalia-hotel.com,22970-91596,,,Μεγαλοχώρι-Αγκίστρι,ΑΓΚΙΣΤΡΙ ΑΙΓΙΝΑΣ,180 10,,
ΚΕΝΤΡΙΚΟ,"


3 Χλμ
",3,www.centralhotel.gr,info@centralhotel.gr,210-3234350,210-3234358,210-3225244,Αθήνα,ΑΠΟΛΛΩΝΟΣ 21,105 57,,
ΚΕΡΑΜΕΙΟΝ,,3,,s.tsiakalos@gmail.com,2103315347,,,Αθήνα,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ 7,10554,,
ΚΕΦΑΛΑΡΙ ΣΟΥΙΤΕΣ,"


2 Χλμ
",3,www.kefalarisuites.gr,sflenga@yeshotels.gr,210-6233333,,210-6233330,Κηφισιά,ΚΟΛΟΚΟΤΡΩΝΗ & ΠΕΝΤΕΛΗΣ 1,145 62,,
ΚΙΜΩΝ,,1,www.kimonhotelathens.com,info@kimonhotelathens.com,210-3314658,,210-3214203,Αθήνα,ΑΠΟΛΛΩΝΟΣ 27,105 56,,
ΚΙΝΓΚ ΙΑΣΩΝ,"


0.2 Χλμ
",3,www.douros-hotels.com,douros@otenet.gr,210-5234721,05234906,210-5234786,Αθήνα,ΚΟΛΩΝΟΥ 26  &  ΚΕΡΑΜΕΙΚΟΥ,104 37,,
ΚΙΝΓΚ ΤΖΩΡΤΖ,"


1.5 Χλμ
",5,www.kinggeorgeathens.com,kostas.kyriakos@luxurycollection.com,210-3222210,,210-3250504,Αθήνα,ΒΑΣ.ΓΕΩΡΓΙΟΥ Α' 3,105 64,,
ΚΙΝΕΤΤΑ ΜΠΗΤΣ,"


25 Χλμ
",4,www.kinettabeach.gr,sales@kinettabeach.gr,22960-65080/5,,22960-65086,Κινέτα,57 ΧΛΜ ΛΕΩΦ.ΑΘΗΝΩΝ -ΚΟΡΙΝ,191 00,21-09244345,21-09244351
ΚΙΟΥΜΠΙΚ,,4,,tsakirisgeorgios@gmail.com,2103805612,,,Αθήνα,ΑΓΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥ  26,10437,,
ΚΛΑΡΙΤΖ,"


0.1 Χλμ
",2,,claridgehotelathens@gmail.com,210-5223013,210-5222510,210-5224038,Αθήνα,ΔΩΡΟΥ 4,104 31,,
ΚΛΕΟΠΑΤΡΑ,,2,,,22970-32038,,,Αγία Μαρίνα,ΑΓ.ΜΑΡΙΝΑ ΑΙΓΙΝΑΣ,180 10,,
ΚΛΗΜΗΣ,"


0.05 Χλμ
",1,www.klimishotel.gr,info@klimishotel.gr,2298073725,2298072334,2298073725,Σπέτσες,ΣΠΕΤΣΕΣ,18050,,
ΚΛΩΝΟΣ ΑΝΝΑ,"


1.5 Χλμ
",2,www.klonosanna.gr,info@klonosanna.gr,22970-25874,22970-28645,22970-24868,Αίγινα,ΚΟΛΩΝΑ ΑΙΓΙΝΑΣ,180 10,,
ΚΟΓΚΟ ΠΑΛΛΑΣ ΟΤΕΛ,"


2 Χλμ
",4,www.congopalace.gr,info@congopalace.gr,210-8946711/5,,210-8946719,Γλυφάδα,ΒΑΣ.ΓΕΩΡΓΙΟΥ Β' 75,166 74,,
ΚΟΚΚΙΝΗΣ,"


6 Χλμ
",3,www.cokkinishotel.com,info@cokkinishotel.com,22960-62250,,22960-62940,Κινέτα,50 ΧΛΜ ΑΘΗΝΩΝ-ΚΟΡΙΝΘΟΥ,191 00,2296-062250,2296-062940
ΚΟΚΟ-ΜΑΤ ΑΘΕΝΣ ΜΠΙ ΣΙ,,5,www.athensbc.com,gpertesis@cocomatathens.com,2107230000,,,Αθήνα,ΦΑΛΗΡΟΥ  5,11742,,
ΚΟΚΟ-ΜΑΤ ΑΘΗΝΑ,,4,www.cocomatathens.com,gpertesis@cocomatathens.com,2107230000,,,Αθήνα,ΠΑΤΡΙΑΡΧΟΥ ΙΩΑΚΕΙΜ 36,10675,,
ΚΟΚΟ-ΜΑΤ ΑΘΗΝΑ ΔΙΔΥΜΟ,,1,www.cocomatjumelle.com,info@cocomatjumelle.com,2107296407,,,Αθήνα,ΥΨΗΛΑΝΤΟΥ 2,10675,,
ΚΟΛΩΝΑ ΑΠΑΡΤΜΕΝΤΣ,,2,,,22970-23213,,,Αίγινα,ΑΓ.ΦΩΤΙΟΣ,180 10,,
ΚΟΡΑΛΙ,"


4 Χλμ
",1,www.hotel-corali.gr,mail@hotel-corali.gr,+30-22940-22477,,+30-210-6984434,Ραφήνα,ΠΛ.Ν.ΠΛΑΣΤΗΡΑ 11,190 09,,
ΚΟΡΑΛΙ,"


2 Χλμ
",4,www.coralhotel.gr,info@coralhotel.gr,210-9816441,,210-9831207,Παλαιό Φάληρο,ΠΟΣΕΙΔΩΝΟΣ 35,175 61,,
ΚΟΡΤΕΟ,"


20 Χλμ
",4,www.corteo.gr,info@corteo.gr,27360-39130,039139,27360-39140,Κύθηρα,ΧΩΡΑ ΚΥΘΗΡΩΝ,801 00,21-03606023,
ΚΟΡΥΔΑΛΟΣ,"


1 Χλμ
",1,,info@hotel-delfini.com,210-4942399,210-4940627,210-4940627,Νίκαια,ΑΝΔΡΟΥΤΣΟΥ 2,184 53,,
ΚΟΣΜΟΠΟΛΙΤ,,1,,nicospap9@gmail.com,210-5241003,210-5241110,,Αθήνα,ΜΑΡΙΚΑΣ ΚΟΤΟΠΟΥΛΗ 7,104 31,,
ΚΟΣΜΟΣ,"


1 Χλμ
",2,www.hotelcosmos.com.gr,ttagal@otenet.gr,2105239201,2105239202,2105220125,Αθήνα,ΨΑΡΡΩΝ 16 & ΒΙΚΤ.ΟΥΓΚΩ,104 38,+302105239201,
ΚΟΤΟΜΜΑΤΑΙ 1810,,4,www.cotommatae.gr,info@cotommatae.gr,22980 53873,6942485947,22980 53878,Ύδρα,ΥΔΡΑ,180 40,,
ΚΡΑΟΥΝ ΠΛΑΖΑ ΑΘΕΝΣ ΣΙΤΙ ΣΕΝΤΡ,"


0.5 Χλμ
",5,www.cpathens.com,info@cpathens.com,210-7278000,,210-7278600,Αθήνα,ΜΙΧΑΛΑΚΟΠΟΥΛΟΥ 50,115 28,,
ΚΡΕΟΛΗ,"


2 Χλμ
",3,,kreolihotel@yahoo.gr,210-8948010,,210-8948010,Γλυφάδα,ΛΕΩΦ.ΠΟΣΕΙΔΩΝΟΣ 17,166 74,,
ΚΡΥΣΤΑΛ ΣΙΤΥ,"


1 Χλμ
",3,,crystalc@otenet.gr,210-5205145,,210-5231202,Αθήνα,ΚΟΛΩΝΟΥ 68  &  ΑΧΙΛΛΕΩΣ 4,104 37,,
ΚΡΥΣΤΑΛΛΙΝΟ ΓΑΛΑΖΙΟ,"


3 Χλμ
",2,www.crystalblue.gr,glyfada@crystalblue.gr,210-8941539,210-8941552,210-8941552,Γλυφάδα,ΑΓΓΕΛΟΥ ΜΕΤΑΞΑ 45,166 74,,
ΚΥΑΝΗ ΑΚΤΗ,"


5 Χλμ
",2,www.kianiakti.com,info@kianiakti.com,22990-86400,22990-86401,22990-86050,Βραυρώνα,ΛΕΩΦ.ΑΓ. ΜΑΡΙΝΑΣ 40,190 03,,
ΚΥΒΕΛΗ,"


1 Χλμ
",3,www.thalo.gr,axiotiefstratios@gmail.com,210-8025698,210-8028030,210-8029186,Πεύκη,ΚΟΛΟΚΟΤΡΩΝΗ 7,151 21,,
ΚΥΘΕΑ ΘΕΡΕΤΡΟΝ,"


5 Χλμ
",4,www.kythea.gr,info@kythea.com,27360-39150,27360-39160,27360-39180,Αγία Πελαγία,ΑΓΙΑ ΠΕΛΑΓΙΑ ΚΥΘΗΡΩΝ,801 00,21-04003003,21-04325370
ΚΥΘΕΡΕΙΑ,"


7 Χλμ
",1,www.kythereia.gr,kythereia2001@yahoo.com,27360-33321,,27360-33825,Αγία Πελαγία,ΑΓ.ΠΕΛΑΓΙΑ ΚΥΘΗΡΩΝ,802 00,,
ΚΥΘΗΡΑ ΧΡΥΣΟ ΘΕΡΕΤΡΟ,,4,www.kythiragoldenresort.gr,info@kythiragoldenresort.gr,2736033407,,27360-33907,Διακόφτι,ΔΙΑΚΟΦΤΙ ΚΥΘΗΡΩΝ,801 00,27310-23500,27310-23500
ΚΥΚΛΑΜΙΝΑ,,2,,,000-0000000,,,Πάρνηθα,ΑΓΙΑ ΤΡΙΑΔΑ-ΠΑΡΝΗΘΑ,136 74,,
ΚΥΡΙΑΚΟΣ ΚΛΩΝΟΣ,"


0.5 Χλμ
",2,www.klonos.gr,klonos@klonos.gr,22970-22640,22970-22597,22970-28643,Αίγινα,ΝΙΚΟΛΑΟΥ ΚΑΖΑΝΤΖΑΚΗ 48,180 10,,
ΚΩΝΣΤΑΣ,,2,,,000-0000000,,,Βίλια,ΤΑΣΟΥ ΠΑΓΩΝΗ 2,190 12,,
ΛΑΚΟΜΠΑ,"


0.1 Χλμ
",2,,lacobahotel@yahoo.gr,210-9407755,210-9407758,210-9407755,Καλλιθέα,ΤΑΓΜΑΤΑΡΧΟΥ ΠΛΕΣΣΑ 23-25,176 74,,
ΛΑΝΟΣ,"


0.5 Χλμ
",3,,ioannis.galigalis@nnadvisors.gr,210-6542448,6977-771263,210-9480209,Ποταμός,,801 00,21-06542448,21-06536188
ΛΑΤΣΗ,"


0.1 Χλμ
",3,,,22980-22392,,22980-23451,Πόρος,ΠΑΠΑΔΟΠΟΥΛΟΥ 74,180 20,2298-022392,
ΛΕΓΑΚΗΣ  ΝΤΖΙ ΕΛ ΕΣ,"


0.5 Χλμ
",2,,hotelgls@gmail.com,210-9409558,210-9409559,210-9409558,Μοσχάτο,ΠΛΑΤΩΝΟΣ 1 & ΠΟΣΕΙΔΩΝΟΣ,185 35,,
