Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΚΟΝΑΚΙ,"


5 Χλμ
",3,,hotelkonaki@otenet.gr,23720-22991,23720-22991,Αρναία,ΑΡΝΑΙΑ ΧΑΛΚΙΔΙΚΗΣ,630 74,,,
ΚΟΝΤΕΣΣΑ,"


20 Χλμ
",2,,charizanos@gmail.com,23710-52325,,Ψακούδια,ΨΑΚΟΥΔΙΑ ΧΑΛΚΙΔΙΚΗΣ,630 71,23710-51296,2371-041172,
ΚΟΡΑΛ,"


6 Χλμ
",2,www.koralihotel.gr,koralli@otenet.gr,23510-61417,23510-63027,Παραλία,ΑΘΗΝΑΣ 1,601 00,6977411200,,
ΚΟΡΑΛ ΜΠΛΟΥ,"


12 Χλμ
",3,https://acrosshotels.gr/coralbluehotel/,coralblue@across.gr,2371054260,2371054222,Πολύγυρος,ΓΕΡΑΚΙΝΗ ΧΑΛΚΙΔΙΚΗΣ,631 00,2310476131,2310476131,2310476132
ΚΟΡΑΛΙ,"


35 Χλμ
",1,www.corali-hotel.gr,info@corali-hotel.gr,23750-94594,23750-94006,Σάρτη,ΣΑΡΤΗ ΧΑΛΚΙΔΙΚΗΣ,630 72,,,
ΚΟΡΑΛΙ,"


0.2 Χλμ
",1,,gmakedos@yahoo.gr,23740-61352,2310-238490,Πευκοχώρι,,630 85,6932-907437,231-0238490,231-0238490
ΚΟΡΑΛΙ 2,"


60 Χλμ
",1,,gmakedos@yahoo.gr,23740-61352,2310-238490,Πευκοχώρι,ΠΕΥΚΟΧΩΡΙ ΧΑΛΚΙΔΙΚΗΣ,630 85,6932907437,,
ΚΟΡΝΗΛΙΟΣ,"


7 Χλμ
",2,www.korniliospalace.gr,kornilioshotel@yahoo.gr,23910-23888,23910-24034,Χαλκηδώνα,1ΧΛΜ ΧΑΛΚΗΔΟΝΑΣ-ΒΕΡΟΙΑΣ,570 07,,,
ΚΟΡΝΗΛΙΟΣ ΙΣΤΡΟΝ,"


3 Χλμ
",3,www.istronhotel.gr,kornilioshotel@yahoo.gr,23820-33070,23820-33072,Νέα Πέλλα,,581 00,,,
ΚΟΡΝΗΛΙΟΣ ΠΑΛΛΑΣ,,4,www.korniliospalace.gr,info@korniliospalace.gr,2310-723700,2310-723707,Αγχίαλος,14ΧΛΜ.ΘΕΣ/ΚΗΣ-ΧΑΛΚΗΔΟΝΑΣ,570 11,,,
ΚΟΡΦΟΥ,"


5 Χλμ
",1,,papavlasop@gmail.com,23730-31015,23730-31638,Φλογητά,ΦΛΟΓΗΤΑ ΧΑΛΚΙΔΙΚΗΣ,630 00,6974409735,2310943026,
ΚΟΣΜΟΠΟΛΙΤΑΝ,"


8 Χλμ
",4,www.hotel-cosmopolitan.gr,info@hotel-cosmopolitan.gr,23510-64700,23510-64704,Καλλιθέα,ΠΑΡΑΛΙΑ ΚΑΛΛΙΘΕΑΣ Ν. ΠΙΕΡΙΑΣ,601 00,23510-64703,,
ΚΟΣΜΟΣ,"


15 Χλμ
",1,,cosmos-x@otenet.gr,23510-61763,,Παραλία,ΘΡΑΚΗΣ 8,601 00,,,
ΚΟΣΤΑΛΙΑ,"


8 Χλμ
",2,www.kostalia.gr,info@kostalia.gr,23750-42052,23750-42052,Καλαμίτσι,,630 72,,231-0451037,231-0451037
ΚΟΥΚΟΣ ΙΝΝ,"


10 Χλμ
",3,www.koukosinn.gr,info@koukosinn.gr,23510-83200,23510-83200,Κούκκος,ΚΟΥΚΟΣ ΠΙΕΡΙΑΣ,601 00,,6947-185167,
ΚΟΥΛΑ,,2,,info@petskos.gr,23530-41336,,Μακρύγιαλος,ΚΙΤΡΟΣ,600 66,,,
ΚΟΥΡΟΣ,"


6 Χλμ
",1,www.hotel-kouros.gr,hotel.kouros@yahoo.gr,23510-61008,,Παραλία,ΑΘΗΝΑΣ  & Μ. ΚΑΛΛΑΣ,601 00,,,
ΚΟΧΥΛΙ,"


2 Χλμ
",2,www.hotelkochili.gr,info@hotelkochili.gr,23510-41576,23510-41610,Κορινός,ΠΑΡΑΛΙΑ ΚΟΡΙΝΟΥ,600 62,,,
ΚΟΧΥΛΙ,"


8 Χλμ
",2,,giannisxal@gmail.com,23510-61136,23510-73333,Παραλία,ΚΥΠΡΟΥ 16,601 00,6937230260,,
ΚΟΨΑΧΕΙΛΗ,"


110 Χλμ
",1,www.kopsis.gr,info@kopsis.gr,23740-61770,23740-20370,Πευκοχώρι,ΠΕΥΚΟΧΩΡΙ ΧΑΛΚΙΔΙΚΗΣ,630 85,,2374-061468,2374-020370
ΚΡΗΣΤΩΝΙΑ,"


0.5 Χλμ
",3,www.kristonia.gr,info@kristonia.gr,23410-77290,23410-70559,Κιλκίς,ΕΛ.ΒΕΝΙΖΕΛΟΥ 69,611 00,23410-77291,,
ΚΡΙΣΤΙΑΝ,"


7 Χλμ
",2,,,23510-62777,,Παραλία,ΤΡΙΚΑΛΩΝ 5,601 00,23510-61886,2351-062777,
ΚΡΟΝΓΟΥΕΛ ΠΛΑΤΑΜΩΝ ΡΙΖΟΡΤ,"


20 Χλμ
",5,www.cronwell.gr,platamon@cronwell.com,23520-43611,23520-21729,Πλαταμώνας,ΠΛΑΤΑΜΩΝΑΣ ΠΙΕΡΙΑΣ,600 65,,,
ΚΡΟΝΟΣ,"


0.2 Χλμ
",3,www.kronos-sa.gr,kronos@kronos-sa.gr,23520-42782,23520-42781,Πλαταμώνας,Κ.ΚΑΡΑΜΑΝΛΗ 12,600 65,,,
ΚΡΟΝΟΥΕΛ ΡΙΣΟΡΤ ΣΕΡΜΙΛΙΑ,"


22 Χλμ
",5,https://sermilia.cronwell.gr,vrionisvag@yahoo.gr,23710-22108,2374022198,Ορμύλια,ΟΡΜΥΛΙΑ ΧΑΛΚΙΔΙΚΗΣ,630 71,,6970982343,2374022198
ΚΡΟΤΗΡΙ ΘΕΡΕΤΡΟ ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ,"


9 Χλμ
",5,www.krotiriresort.gr,info@krotiriresort.gr,23750-92045,23750-92545,Άγιος Νικόλαος,ΑΚΤΗ ΣΑΛΟΝΙΚΙΟΥ,630 78,6949236595,,
ΚΤΗΜΑ ΚΑΛΑΪΤΖΗ,"


7 Χλμ
",3,www.ktima-kalaitzi.gr,estatekalaitzis@gmail.com,23310-92092,23310-92092,Μετόχι Προδρόμου,ΜΕΤΟΧΙ ΠΡΟΔΡΟΜΟΥ ΒΕΡΓΙΝΑ ΗΜΑΘΙΑΣ,590 31,,,
ΚΤΗΜΑ ΜΠΑΡΤΟΛΙΝΙ,"


16 Χλμ
",2,,,23510-71753,23510-71954,Αλυκή,,600 64,6972-686374,,
ΚΤΗΜΑ ΜΠΕΛΛΟΥ,"


35 Χλμ
",4,www.ktimabellou.gr,info@ktimabellou.gr,23517-70021,,Άγιος Δημήτριος,,601 00,6976-783461,23510-27784,23510-27784
ΚΥΒΕΛΗ,"


8 Χλμ
",3,,,23520-44820,23520-21821,Νέοι Πόροι,,600 65,,,
ΚΥΚΛΙΚΟΣ ΠΥΡΓΟΣ,,3,www.chateaurond.gr,info@chateaurond.gr,23840-91646,23840-91647,Λουτράκι,ΛΟΥΤΡΑΚΙ ΑΡΙΔΑΙΑΣ,584 00,,,
ΚΥΜΑΤΑ,"


1.5 Χλμ
",2,www.hotelkymata.gr,hkymata@otenet.gr,23520-41230,23520-42597,Πλαταμώνας,ΦΟΥΡΙΟΥ 37,600 65,2352041240,,
ΚΥΜΑΤΑ,"


0.01 Χλμ
",3,www.hotel-kimata.gr,info@hotel-kimata.gr,23510-61105,23510-62284,Παραλία,ΑΓ.ΝΙΚΟΛΑΟΥ 13,601 00,23510-61805,,
ΚΥΡΙΑΚΗ,,1,,elinsarti63@yahoo.gr,23750-94309,,Σάρτη,ΣΑΡΤΗ ΧΑΛΚΙΔΙΚΗΣ,630 72,,,
ΚΩΝΣΤΑΝΤΙΝΑ,,2,,hotelkonstantina@gmail.com,6977663102,2327028110,Ροδόπολη,ΡΟΔΟΠΟΛΗ ΣΕΡΡΩΝ,620 53,,2327028110,2327028110
ΚΩΝΣΤΑΝΤΙΝΟΣ,"


7 Χλμ
",2,www.hotel-konstantin.gr,info@hotel-konstantin.gr,23510-61561,23510-61563,Παραλία,ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ 52,601 00,23510-61562,,
ΚΩΣΤΑΣ,"


7 Χλμ
",1,,hotel_kostas@yahoo.gr,23510-63609,23510-63609,Ολυμπιακή Ακτή,ΑΡΕΩΣ 12,601 00,23510-64084,6973-297532,2351-064371
ΚΩΣΤΗΣ,"


9 Χλμ
",1,,kostishotel@gmail.com,23510-61004,23510-61004,Καλλιθέα,ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ 14,601 00,,6936-383372,
ΛΑΓΑΡΙΑ,,3,www.lagaria-palace.gr,info@lagaria-palace.gr,2374091491,2374025665,Κασσάνδρεια,,63077,,,
ΛΑΓΟΜΑΝΔΡΑ,"


5 Χλμ
",4,www.lagomandra.gr,accounting@lagomandra.gr,23750-72217,23750-72009,Νικήτη,ΛΑΓΟΜΑΝΔΡΑ ΝΙΚΗΤΑ ΧΑΛΚΙΔ/ΚΗΣ,630 88,23750-72218,6948-234444,
ΛΑΔΙΑΒΙΤΗ,"


3 Χλμ
",3,,,2372-300496,,Νεοχώρι,,630 74,6945-872123,6945-872123,
ΛΑΖΑΡΤ,"


2 Χλμ
",5,www.lazarthotel.com,info@lazarthotel.com,2316015000,2310-647484,Σταυρούπολη,ΚΟΛΟΚΟΤΡΩΝΗ 16,564 30,,,
ΛΕΑΝΔΡΟΣ,"


0.5 Χλμ
",3,,hotelleandros@gmail.com,23770-31353,,Νέα Ρόδα,ΝΕΑ ΡΟΔΑ ΧΑΛΚΙΔΙΚΗΣ,630 75,6977-366467,,
ΛΕΓΚΩ,"


35 Χλμ
",2,www.hotel-lego.gr,apin56@otenet.gr,23520-41237,23520-42737,Πλαταμώνας,ΠΛΑΤΑΜΩΝΑΣ ΠΙΕΡΙΑΣ,600 65,,,
ΛΕΠΤΟΚΑΡΥΑΣ ΙΦΙΓΕΝΕΙΑ,"


0.5 Χλμ
",1,www.hotelifigenia.gr,catelatr@otenet.gr,23520-33447,23520-33447,Λεπτοκαρυά,ΛΕΠΤΟΚΑΡΥΑ ΠΙΕΡΙΑΣ,600 63,,,
ΛΕΣΣΕ,"


0.8 Χλμ
",4,www.lesse.gr,info@lesse.gr,2374062224,23740-61888,Χανιώτης,ΧΑΝΙΩΤΗ ΧΑΛΚΙΔΙΚΗΣ,630 85,2374062022,6947129902,
ΛΕΥΚΕΣ,"


5 Χλμ
",2,www.skotinalefkes.gr,paralia-skotinas@hotmail.co.uk,23520-91256,23520-91256,Παραλία Σκοτίνης,ΠΑΡ.ΣΚΟΤΙΝΗΣ ΠΙΕΡΙΑΣ,600 63,23520-91226,2352-091226,
ΛΕΥΤΕΡΙΑ,"


0.1 Χλμ
",1,,lefteriahotel@gmail.com,23510-61232,23510-61232,Παραλία,ΝΙΚΗΣ 10,601 00,,,
ΛΕΩΝ,"


7 Χλμ
",4,,hotelleonidaspap@gmail.com,2310-685525,,Μελισσοχώρι,ΜΕΛΙΣΣΟΧΩΡΙ Ν. ΘΕΣ/ΝΙΚΗΣ,545 00,,,
ΛΕΩΝΙΔΑΣ,"


5 Χλμ
",2,,hotelleonidaspap@gmail.com,2310-685525,,Λητή,ΛΗΤΗ ΘΕΣΣΑΛΟΝΙΚΗΣ,545 00,,,
ΛΕΩΝΙΔΑΣ,"


17 Χλμ
",2,,,23840-94591,,Όρμα,,584 00,,,
ΛΗΔΡΑ,"


0.5 Χλμ
",3,https://lidrahotel.gr,info@lidrahotel.gr,23840-22900,23840-22401,Αριδαία,ΚΥΠΡΟΥ 26,584 00,,,
ΛΗΔΡΑ,"


15 Χλμ
",2,www.lidra.gr,lidrahotel@gmail.com,23510-41821,23510-42444,Παραλία Κορινού,ΠΑΡΑΛ.ΚΟΡΙΝΟΥ ΠΙΕΡΙΑΣ,600 62,23510-42443,6932207300,2351-042444
ΛΗΚΥΘΟΣ,"


11 Χλμ
",3,,likithos_village@yahoo.de,2375072547,23750-72636,Νέος Μαρμαράς,ΚΑΤΣΙΒΕΛΙΑ,630 81,2375072548,,
ΛΗΤΩ,"


1 Χλμ
",2,www.hotel-lito.gr,info@hotel-lito.gr,23520-22122,23520-22123,Πλάκα,ΕΘΝ.ΟΔ.ΛΑΡΙΣΗΣ-ΚΑΤΕΡΙΝΗΣ,602 00,23520-22124,6932432342,
ΛΗΤΩ,"


7 Χλμ
",2,www.hotellito.gr,litohotel@outlook.com,23510-64420,23510-64268,Παραλία,ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ 6,601 00,,,
ΛΙ ΛΑ ΛΟ,,2,www.hotellilalo.gr,cocus@hotellilalo.gr,23510-63696,,Καλλιθέα,,601 00,,2351063696,
ΛΙΒΗΘΡΑ,"


4 Χλμ
",2,www.livithra-hotel.gr,info@livithra-hotel.gr,23520-91339,23520-91537,Σκοτίνα,ΣΚΟΤΙΝΑ ΠΙΕΡΙΑΣ,600 63,,2352-091339,
ΛΙΘΟΣ,"


10 Χλμ
",3,www.lithos-hotel.com,info@lithos-hotel.com,23810-31996,23810-31993,Άγιος Αθανάσιος,ΠΑΛΑΙΟΣ ΑΓ.ΑΘΑΝΑΣΙΟΣ ΠΕΛΛΑΣ,580 02,23810-31998,2381-028334,2381-031993
ΛΙΛΥ ΑΝΝ,"


11 Χλμ
",3,www.acrotel.gr,accounts@acrotel.gr,23750-81410,23750-81200,Νικήτη,ΣΠΑΘΙΕΣ ΝΙΚΗΤΗΣ ΧΑΛ/ΚΗΣ,630 88,2375023000,,
ΛΙΜΑΝΙ ΤΟΥ ΗΛΙΟΥ,"


7 Χλμ
",3,www.hotelportodelsol.gr,info@portodelsol.gr,23510-64460,23510-64461,Παραλία,ΟΛΥΜΠΟΥ 64,601 00,,,
ΛΙΝΤΟ,"


1 Χλμ
",2,www.hotellido.gr,info@hotellido.gr,23510-25335,23510-74300,Κατερίνη,Π. ΤΣΑΛΔΑΡΗ 16,601 00,,,
ΛΙΝΤΟ,"


0.5 Χλμ
",2,https://www.lido-hotel.gr/,reception@lido-hotel.gr,23940-22653,,Λαγκαδάς,ΑΣΤ.ΟΙΚΟΝΟΜΟΥ 14,572 00,,,
ΛΙΟΤΟΠΙ,"


0.5 Χλμ
",2,www.hotel-liotopi.gr,hotel.liotopi@gmail.com,23760-51257,23760-51257,Ολυμπιάδα,ΜΙΧΑΗΛ ΓΕΩΡΓΙΑΔΗ,570 14,23760-51361,,
ΛΙΤΟΧΩΡΟ ΡΕΣΟΡΤ,"


2 Χλμ
",4,www.litohororesort.gr,info@litohororesort.gr,23520-22200,23520-22207,Πλάκα,ΠΛΑΚΑ ΛΙΤΟΧΩΡΙΟΥ Ν. ΠΙΕΡΙΑΣ,600 63,,,
ΛΙΤΣΑ,"


10 Χλμ
",1,,kerasidis@gmail.com,23740-42991,23740-42991,Φούρκα,,630 77,,231-0207022,
ΛΟΖΙΤΣΙ,"


10 Χλμ
",3,www.lozitsi.gr,info@lozitsi.gr,23310-22327,23310-22357,Βέροια,,591 00,23310-22328,,
ΛΟΥΙΖΑ,,2,,hotellouiza@gmail.com,0000000000,,Παραλία,ΠΑΡΑΛΙΑ ΚΑΤΕΡΙΝΗΣ Ν.ΠΙΕΡΙΑΣ,601 00,,,
ΛΟΥΚΙΑ,,1,,hotelloukia@hotmail.gr,23510-61170,,Παραλία,ΑΓ.ΠΑΡΑΣΚΕΥΗΣ 11,601 00,,,
ΛΟΥΞΕΜΒΟΥΡΓΟΝ,"


2 Χλμ
",3,www.hotelluxembourg.gr,info@hotelluxembourg.gr,2310-252600,2310-252605,Θεσσαλονίκη,ΚΟΜΝΗΝΩΝ 6,546 24,,,
ΛΟΦΟΚΟΡΦΗ,"


15 Χλμ
",3,www.hilltop.gr,info@hilltop.gr,2374-052569,2374-052581,Χανιώτης,ΧΑΝΙΩΤΗ ΧΑΛΚΙΔΙΚΗΣ,630 85,,2310-417770,
ΜΑΓΔΑΛΕΝΑ,"


0.2 Χλμ
",2,www.magdalenahotel.gr,info@magdalenahotel.gr,23740-63130,2374063130,Πευκοχώρι,ΠΕΥΚΟΧΩΡΙ ΧΑΛΚΙΔΙΚΗΣ,630 85,23740-61104,2374-061104,2374-063130
ΜΑΗ ΧΟΤΕΛ,"


6 Χλμ
",1,,my6947770694@yahoo.gr,6947770694,,Παραλία,ΣΠΥΡΟΥ ΛΟΥΗ 5,601 00,23510-62282,23510-76177,
ΜΑΚΕΔΝΟΣ,"


15 Χλμ
",2,www.hotelmakednos.gr,info@hotelmakednos.gr,23750-81430,23750-81434,Νικήτη,,630 88,,,
ΜΑΚΕΔΟΝΙΑ,"


2 Χλμ
",3,www.makedoniahotel.gr,info@makedoniahotel.gr,23310-66902,23310-27900,Βέροια,ΚΟΝΤΟΓΕΩΡΓΑΚΗ 50,591 00,,,
ΜΑΚΕΔΟΝΙΑ,"


0.1 Χλμ
",2,www.hotel-makedonia.gr,info@hotel-makedonia.gr,23770-71085,23770-71395,Ουρανόπολη,ΟΥΡΑΝΟΥΠΟΛΗ ΧΑΛΚΙΔΙΚΗΣ,630 75,,2377-071085,2377-071395
ΜΑΚΕΔΟΝΙΑ,"


0.5 Χλμ
",1,,marinabarba@windowslive.com,23510-62101,23510-77481,Παραλία,ΒΑΣΙΛΕΩΣ ΚΩΝΣΤΑΝΤΙΝΟΥ 58,601 00,,,
ΜΑΚΕΔΟΝΙΑ,,2,,,23740-61600,,Αγία Παρασκευή,ΑΓ.ΠΑΡΑΣΚΕΥΗ ΧΑΛΚΙΔΙΚΗΣ,630 85,,2310-283575,
ΜΑΚΕΔΟΝΙΑ ΠΑΛΛΑΣ,"


1 Χλμ
",5,www.makedoniapalace.com,qem@makedoniapalace.gr,2310-897197,2310-897211,Θεσσαλονίκη,ΛΕΩΦ.ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ 2,546 40,,,
ΜΑΚΕΔΟΝΙΚΟ ΧΩΡΙΟ ΘΑΛΑΣΣΑ ΑΣΣΗΣ,"


10 Χλμ
",3,www.assa-maris.gr,info@assa-maris.gr,23750-92151/4,23750-92155,Άγιος Νικόλαος,ΑΓ.ΝΙΚΟΛΑΟΣ ΧΑΛΚΙΔΙΚΗΣ,630 78,23750-92155,231-0312320,231-0317881
ΜΑΚΕΔΟΝΙΚΟΣ ΗΛΙΟΣ,"


4 Χλμ
",3,www.g-hotels.gr,athens@ghotels.gr,23740-23540/1,23740-23101,Καλλιθέα,ΚΑΛΛΙΘΕΑ ΧΑΛΚ/ΚΗΣ,630 77,,2374-023540/1,2374-023101
ΜΑΚΕΔΟΝΙΚΟΣ ΟΥΡΑΝΟΣ,"


4 Χλμ
",1,www.makedonianskyhotel.com,info@grandotel.gr,23740-62401,,Χανιώτης,,630 85,,231-0533364,231-0512729
ΜΑΚΕΔΩΝ,"


20 Χλμ
",3,www.cv-hotels.com,crs@xv-hotels.com,23740-71579,23740-71579,Νέα Σκιώνη,,630 77,,231-0939334,231-0939334
ΜΑΛΛΑΣ,"


0.3 Χλμ
",3,www.hotelmallas.gr,info@hotelmallas.gr,23990-48482,23990-48485,Νέα Καλλικράτεια,ΝΕΑ ΚΑΛΛΙΚΡΑΤΕΙΑ ΧΑΛΚ/ΚΗΣ,630 80,23990-22941,2399021660,
ΜΑΝΓΚΟ,"


10 Χλμ
",2,www.mangohotel.gr,info@mangohotel.gr,23750-22311,23750-22181,Νικήτη,ΚΑΛΟΓΡΗΑ ΝΙΚΗΤΗ ΧΑΛΚ/ΚΗΣ,630 88,,,
ΜΑΝΔΡΙΝΟ,"


0.1 Χλμ
",3,www.mandrino.gr,mandrino@otenet.gr,2310526321,2310-526321,Θεσσαλονίκη,ΕΓΝΑΤΙΑΣ ΚΑΙΑΝΤΙΓΟΝΙΔΩΝ 2,546 30,2310526324,,
ΜΑΝΘΟΣ,"


1 Χλμ
",2,www.hotelmanthos.gr,hotelmanthos1@gmail.com,23330-24400,23330-24403,Αλεξάνδρεια,ΕΛΕΥΘ.ΒΕΝΙΖΕΛΟΥ 24,593 00,23330-23472,,
ΜΑΝΟΣ,"


7 Χλμ
",1,,,23510-61043,,Παραλία,ΝΙΚΗΣ 26,601 00,,2351-061043,
ΜΑΝΩΛΑΣ,"


0.5 Χλμ
",2,www.hotelmanolas.gr,info@hotelmanolas.gr,23520-41300,23520-43809,Νέοι Πόροι,ΟΛΥΜΠΟΥ 66,600 65,,,
ΜΑΝΩΛΗΣ,"


4 Χλμ
",1,,masa@otenet.gr,23740-52079,2310-534819,Καλλιθέα,,630 77,6944-301554,2310-534050,
ΜΑΡΑΜΠΟΥ,"


0.05 Χλμ
",2,www.hotel-marabou.com,info@hotel-marabou.com.gr,23740-63160,23740-63075,Πευκοχώρι,ΠΕΥΚΟΧΩΡΙ ΧΑΛΚΙΔΙΚΗΣ,630 85,,,
ΜΑΡΓΑΡΙΤΑ,,4,www.margaritahotel.gr,hotel@margaritahotel.gr,23740-22161,23740-24044,Καλλιθέα,ΚΑΛΛΙΘΕΑ ΧΑΛΚΙΔΙΚΗΣ,630 77,6908670924,6908670924,
ΜΑΡΓΑΡΙΤΑ,,1,,,23510-23374,,Ολυμπιακή Ακτή,ΑΘΗΝΑΣ 6,601 00,,,
ΜΑΡΓΚΟ ΜΠΕΪ & ΚΛΑΜΠ ΤΟΡΚΟΥΑΖ ΓΚΡΕΚΟΤΕΛ,"


50 Χλμ
",4,https://www.margobay.com,reservations.pb@grecotel.com,23740-51794,23740-52194,Χανιώτης,ΧΑΝΙΩΤΗ ΧΑΛΚΙΔΙΚΗΣ,630 85,23740-52190,2374-051794-5,2374-051649
ΜΑΡΕΛΙΑ,"


1 Χλμ
",4,www.marelia.gr,info@marelia.gr,6977992952,23710-25089,Πολύγυρος,ΠΟΛΥΓΥΡΟΣ ΧΑΛΚΙΔΙΚΗΣ,631 00,6977992952,2371025088,2371025089
ΜΑΡΙΑ,"


2 Χλμ
",1,,hotelmariapossidi@gmail.com,23740-41257,,Καλάνδρα,ΚΑΛΑΝΔΡΑ ΧΑΛΚΙΔΙΚΗΣ,630 77,23740-042237,2374-042237,
ΜΑΡΙΑ,"


10 Χλμ
",1,,htlmaria@otenet.gr,23530-41900,2310-706228,Μακρύγιαλος,,600 66,2310-738588,231-0738588,231-0706228
ΜΑΡΙΑΛΕΝΑ,"


5 Χλμ
",2,www.mavridis-hotel.gr,hotel@mavridis-hotel.gr,23730-31710,23730-31712,Φλογητά,Ν.ΦΛΟΓΗΤΑ,632 00,23730-31168,231-0344201,231-0346186
ΜΑΡΙΝΑ,"


7 Χλμ
",2,http://www.marinahotel-paralia.gr,marina-hotel@hotmail.com,23510-61741,23510-61698,Παραλία,ΟΛΥΜΠΟΥ 28,601 00,,6937-452295,
ΜΑΡΚΟΝΗΣ,,1,,steliosmetal97@hotmail.com,23510-61475,,Παραλία,ΕΡΜΟΥ 1,601 00,,,
ΜΑΡΚΟΣ,"


0.5 Χλμ
",1,,billmar2@otenet.gr,23770-22518,23770-23163,Ιερισσός,ΙΕΡΙΣΣΟΣ ΧΑΛΚΙΔΙΚΗΣ,630 75,,2377-023988,2377-023163
ΜΑΡΜΑΡΑΣ,"


20 Χλμ
",2,,tolio1@otenet.gr,23750-72184,23750-72315,Νέος Μαρμαράς,Ν.ΜΑΡΜΑΡΑΣ ΧΑΛΚΙΔΙΚΗΣ,630 81,23750-72185,2375-072415,2375-072315
ΜΑΥΡΙΔΗΣ,"


1 Χλμ
",3,www.mavridis-hotel.gr,hotel@mavridis-hotel.gr,23730-31710,23730-31712,Φλογητά,ΝΕΑ ΦΛΟΓΗΤΑ ΧΑΛΚΙΔΙΚΗΣ,632 00,23730-31711,231-0346101,231-0346101
ΜΕΓΑΛΟ ΞΕΝΟΔΟΧΕΙΟ ΧΑΝΙΩΤΗΣ,"


0.15 Χλμ
",4,www.premierotel.eu,info@grandotel.gr,23740-52612,23740-51417,Χανιώτης,ΧΑΝΙΩΤΗ ΧΑΛΚΙΔΙΚΗΣ,630 85,,231-0533364,231-0512729
ΜΕΓΑΛΟ ΠΑΛΑΤΙ,"


2.5 Χλμ
",5,www.grandhotelpalace.gr,grand@theluxuryhotels.gr,2310-549000,2310-549449,Θεσσαλονίκη,ΜΟΝΑΣΤΗΡΙΟΥ 305-307,546 28,,,
ΜΕΓΑΣ ΑΛΕΞΑΝΔΡΟΣ,,1,,mihalispelpas@gmail.com,23510-61321,,Παραλία,Μ.ΑΛΕΞΑΝΔΡΟΥ 9,601 00,,2351-091261,
ΜΕΓΑΣ ΑΛΕΞΑΝΔΡΟΣ,"


1 Χλμ
",2,,,23530-41275,,Μακρύγιαλος,ΜΑΚΡΥΓΙΑΛΟΣ ΠΙΕΡΙΑΣ,600 66,23530-41317,2353-041317,
ΜΕΓΑΣ ΑΛΕΞΑΝΔΡΟΣ,"


1 Χλμ
",3,,hotel.g.alexander@gmail.com,23520-31700,23520-31700,Λιτόχωρο,ΤΟΠΟΛΙΑΝΗ ΠΛΑΚΑΣ ΠΙΕΡΙΑΣ,600 63,23520-32090,,
ΜΕΔΟΥΣΑ,"


4 Χλμ
",1,,imedousa.hotel@gmail.com,23510-71457,,Αλυκή,ΑΛΥΚΕΣ ΚΙΤΡΟΥΣ ΠΙΕΡΙΑΣ,600 64,,2351-071457,
ΜΕΔΟΥΣΑ,,3,,vasvas7@yahoo.com,23740-52224,,Κρυοπηγή,ΚΡΥΟΠΗΓΗ,630 77,,,
ΜΕΛΒΟΥΡΝΗ,"


0.25 Χλμ
",2,www.hotel-melbourne.gr,info@hotel-melbourne.gr,23510-63577,23510-63900,Παραλία,ΚΙΟΥ 1,601 00,,,
ΜΕΛΙΕΣ,,3,www.hotelmelies.gr,info@hotelmelies.gr,23840-91436,23840-91465,Λουτράκι,,584 00,,,
ΜΕΛΙΝΑ,"


21 Χλμ
",3,www.hotelmelina.gr,info@hotelmelina.gr,23230-71212,23230-71213,Ακριτοχώριο,ΑΚΡΙΤΟΧΩΡΙ ΣΕΡΡΩΝ,620 43,,,
ΜΕΛΙΝΑ,,3,,,2371023800,,Πολύγυρος,ΠΟΛΥΤΕΧΝΕΙΟΥ 17 ΠΟΛΥΓΥΡΟΣ,63100,,,
ΜΕΛΙΝΑ Β,,3,,,6978116500,,Πολύγυρος,ΔΟΥΜΠΙΩΤΟΥ 20,63100,,,
ΜΕΛΙΣΣΑ,"


18 Χλμ
",2,www.hotelmelissa.gr,info@hotelmelissa.gr,2371051107,23710-52601,Ψακούδια,ΨΑΛΟΥΔΙΑ ΟΡΜΥΛ.ΧΑΛΚΙΔΙΚΗΣ,630 71,2371051107,6942040008,2371-052601
ΜΕΛΙΣΣΑ,"


4 Χλμ
",1,,iraklis.s.charamis@gmail.com,23740-22776,23740-22776,Καλλιθέα,ΑΡΙΣΤΟΤΕΛΗ 4 - ΤΑΧ.ΘΥΡΙΔΑ 59,630 77,,23740-22776,
ΜΕΛΙΣΣΑ ΙΙ,"


18 Χλμ
",1,www.hotelmelissa.gr,info@hotelmelissa.gr,23710-51107,23710-52601,Ψακούδια,ΨΑΚΟΥΔΙΑ ΟΡΜΥΛΙΑΣ ΧΑΛΚΙΔΙΚΗΣ,630 71,,6977-437725,2371-052601
