Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ,Τηλέφωνο 2
ΕΥΡΙΠΙΔΗΣ,"


40 Χλμ
",1,www.hotelevripides.gr,Info@hotelevripides.gr,2426031338,24260-31338,Άγιος Ιωάννης Μουρεσίου,ΑΓΙΟΣ ΙΩΑΝΝΗΣ ΠΗΛΙΟΥ,370 12,,,6972544249
ΕΥΡΥΔΙΚΗ,,3,,v.are@windowslive.com,2426022270,2426022273,Ζαγορά,,37001,,,
ΖΑΓΟΡΑ,,3,www.zagorahotel.gr,info@zagorahotel.gr,24260-22062,24260-22067,Ζαγορά,ΖΑΓΟΡΑ ΜΑΓΝΗΣΙΑΣ,370 01,,,
ΖΑΡΚΑΔΑ,,3,,,24280-94007,,Άγιος Γεώργιος Νηλείας,,370 10,,,
ΖΑΧΟΣ,"


9 Χλμ
",1,www.hotelzachos.com,hotelzachos@hotmail.com,24270-49495,24270-49495,Σκιάθος,ΤΡΟΥΛΟΣ,370 02,,,24270-49496
ΖΕΥΣ,"


12 Χλμ
",2,www.caravos.gr,info@caravos.gr,24270-49356,24270-49381,Σκιάθος,ΚΟΥΚΟΥΝΑΡΙΕΣ ΣΚΙΑΘΟΥ,370 02,6974-367374,2427-049381,24270-49545
ΖΕΦΥΡΟΣ,"


0.2 Χλμ
",2,www.zefirosk@otenet.gr,zefirosk@otenet.gr,24260-31090,24260-31091,Άγιος Ιωάννης Μουρεσίου,ΑΓΙΟΣ ΙΩΑΝΝΗΣ ΠΗΛΙΟΥ,370 12,6944250690,,27210-31335
Η ΣΥΚΙΑ,"


17 Χλμ
",2,www.camping-sikia.gr,info@camping-sikia.gr,24230-22279,24230-22720,Κάτω Γατζέα,ΚΑΤΩ ΓΑΤΖΕΑ ΒΟΛΟΥ,385 00,2423-022081,,24230-22081
ΗΛΕΚΤΡΑ,"


1 Χλμ
",3,www.hotelelectra.webnode.com,hotelelectravolos@gmail.com,24210-32671,24210-32674,Βόλος,ΤΟΠΑΛΗ 24,382 21,,,24210-32672
ΗΛΙΑΝΝΑ,"


12 Χλμ
",3,www.ilianna.gr,info@ilianna.gr,24280-99489,24280-99490,Κατωχώρι,ΚΑΤΗΧΩΡΙ ΠΟΡΤΑΡΙΑ ΒΟΛΟΥ,370 11,,,
ΗΛΙΟΔΩΡΑ,"


18 Χλμ
",4,www.pelion.org/heliodora/,heliodor@otenet.gr,24260-31325,24260-31325,Κισσός,ΕΟ ΚΙΣΣΟΥ,370 12,2426031325,,
ΗΛΙΟΠΕΤΡΑ,"


20 Χλμ
",3,www.iliopetrasuites.gr,info@iliopetrasuites.gr,24280-96406,24280-96408,Άγιος Λαυρέντιος,,37300,,,24280-96407
ΘΑΛΕΙΑ,,3,,peri.const@gmail.com,6983001770,,Προμύριο,,37006,,,2423071058
ΘΕΑ ΗΟΜΕ-ΤΗΕΑ ΗΟΜΕ,"


0.25 Χλμ
",1,www.theahomehotel.com,info@theahomehotel.com,24240-22859,24240-23556,Σκόπελος,ΣΚΟΠΕΛΟΣ,370 03,,,6945344428
ΘΕΟΔΩΡΑ,"


2 Χλμ
",3,,archontikotheodora@gmail.com,24280-99179,24280-99989,Μακρινίτσα,ΜΑΚΡΥΝΙΤΣΑ ΠΗΛΙΟΥ,370 11,,,24280-99989
ΘΕΟΦΙΛΟΣ,"


3 Χλμ
",4,,,24280-99435,,Μακρινίτσα,ΜΑΚΡΥΝΙΤΣΑ ΠΗΛΙΟΥ,370 11,,,099031
ΘΕΣΣΑΛΙΑ,"


0.2 Χλμ
",2,www.loutra-smokovou.gr,info@loutra-smokovou.gr,24430-61210,24430-61178,Λουτρά Σμοκόβου,,430 68,,,22430-61329
ΘΕΣΣΑΛΙΚΟΝ ΓΚΡΑΝΤ,,5,www.thessalikongrand.gr,info@thgrandhotel.com,24410-36200,,Μητρόπολη,3ΧΛΜ.ΚΑΡΔΙΤΣΑΣ-ΜΗΤΡΟΠΟΛΙΣ,431 00,,,
ΘΕΤΙΣ,"


2 Χλμ
",3,,,24230-86111,24210-21688,Βυζίτσα,,370 10,,,24210-21670
ΘΗΤΑ,,4,www.thetahotel.gr,info@thetahotel.gr,24260-32210,,Άγιος Δημήτριος,,370 12,,,2426032211
ΙΑΚΩΒΑΚΗΣ,"


22 Χλμ
",4,www.iakovakis-suites.gr,info@iakovakis-suites.gr,24230-22004,24230-22007,Κορόπη,ΚΟΡΩΠΗ ΜΑΓΝΗΣΙΑΣ,370 10,,,6973-309074
ΙΑΣΩΝ,"


1 Χλμ
",1,www.jason-hotel.gr,info@jason-hotel.gr,24210-26075,24210-26975,Βόλος,ΠΑΥΛΟΥ ΜΕΛΑ 1,383 33,0306987054238,,24210-26075
ΙΖΕΛΑ,"


0.5 Χλμ
",2,,anestis2@otenet.gr,24230-22379,24230-23015,Καλά Νερά,ΚΑΛΑ ΝΕΡΑ ΜΑΓΝΗΣΙΑΣ,370 10,,,6974-809387
ΙΚΙΟΝ,"


0.1 Χλμ
",3,www.ikion.com,info@ikion.com,24240-66360,24240-65736,Πατητήρι,ΠΑΤΗΤΗΡΙ ΑΛΟΝΝΗΣΟΥ,370 05,6970238882,,24240-65639
ΙΟΥΛΙΕΤΑ,,1,,kiriazis@hotmail.com,24240-65463,,Πατητήρι,ΠΑΤΗΤΗΡΙ ΑΛΟΝΝΗΣΟΥ,370 05,,,
ΙΦΙΓΕΝΕΙΑ,"


1 Χλμ
",2,www.ifigeniahotel.gr,ifigenia_hotel@hotmail.com,24270-22140,24270-23855,Σκιάθος,ΣΚΙΑΘΟΣ,370 02,2421-052791,2421-052791,
ΙΩΛΚΟΣ,"


1.5 Χλμ
",2,,,24210-24509,24210-76703,Βόλος,ΔΗΜΗΤΡΙΑΔΟΣ 37,383 33,,,24210-23416
ΙΩΝΙΑ,"


0.3 Χλμ
",2,www.ioniahotel.gr,strategi@otenet.gr,24240-22568,24240-23301,Σκόπελος,ΣΚΟΠΕΛΟΣ,370 03,2421-037607,2421-039550,
ΚΑΒΟΣ,"


0.3 Χλμ
",2,www.kavoshotel.gr,info@kavoshotel.gr,24240-65216,24240-65083,Πατητήρι,ΠΑΤΗΤΗΡΙ ΑΛΟΝΝΗΣΟΥ,370 05,6972-282175,2424-065083,24240-65083
ΚΑΒΟΥΡΗΣ,"


0.1 Χλμ
",2,,kavhotel@otenet.gr,2424022596,24240-23413,Σκόπελος,ΣΚΟΠΕΛΟΣ,370 03,2424-023238,2424-023413,2424023238
ΚΑΖΑΡΜΑ ΞΕΝΟΔΟΧΕΙΟ ΚΑΙ ΣΥΝΕΔΡΙΑΚΟ ΚΕΝΤΡΟ,"


29 Χλμ
",4,www.kazarma.gr,reservations@kazarma.gr,24410-92290,24410-92030,Καλύβια,ΚΑΛΥΒΙΑ ΦΥΛΑΧΤΗΣ,430 67,,,
ΚΑΙΚΗΣ,"


0.7 Χλμ
",3,www.hotelkaikis.gr,info@hotelkaikis.gr,24320-75280,24320-75282,Καλαμπάκα,ΤΡΙΚΑΛΩΝ 146,422 00,,,
ΚΑΛΗ ΘΕΑ,,4,,info@belvedereskiathos.com,24270-21490,,Σκιάθος,,370 02,,,24316-00715
ΚΑΛΛΙΣΤΩ,"


25 Χλμ
",2,,g.tsianavas@freemail.gr,24410-97765,,Καστανιά,,431 00,,,
ΚΑΛΛΟΝΗ,"


5 Χλμ
",3,www.hotelkalloni.gr,hotelkal@otenet.gr,24210-88240,24210-87241,Βόλος,ΚΛΕΙΟΥΣ 24,385 00,,,24210-88241
ΚΑΛΝΤΕΡΙΜΙ ΠΑΡΑΔΟΣΙΑΚΟΣ ΞΕΝΩΝΑΣ,,4,www.kalderimihotel.gr,info@kalderimihotel.gr,2426049453,2426049453,Μουρέσι,,37012,,,
ΚΑΛΟΚΑΙΡΙΝΟ ΧΩΡΙΟ,"


12 Χλμ
",4,http://www.myrtiasummervillage.gr/,info@myrtiasummervillage.gr,24270-49410,24270-49411,Σκιάθος,ΚΟΥΚΟΥΝΑΡΙΕΣ ΣΚΙΑΘΟΥ,370 02,,,
ΚΑΜΕΛΙΑ,,2,,kameliakalanera@gmail.com,24230-22608,,Καλά Νερά,,370 10,,,
ΚΑΝΑΠΙΤΣΑ ΜΑΡΕ,"


6 Χλμ
",3,www.kanapitsamare.com,reservations@kanapitsamare.com,24270-24440,24270-24439,Σκιάθος,ΣΚΙΑΘΟΣ,370 02,6994402464,,
ΚΑΠΕΤΑΝΙΟΣ,"


0.3 Χλμ
",2,,info@kapetanios-hotel.gr,24240-22110,,Σκόπελος,ΕΛΕΥΘΕΡΩΤΡΙΑ,370 03,2424-022557,,24240-22980
ΚΑΡΑΒΟΣ,"


12 Χλμ
",3,www.caravos.gr,caravos@caravos.gr,24270-49545,24270-49381,Σκιάθος,ΣΚΙΑΘΟΣ,370 02,6974-367374,2427-049381,24270-49356
ΚΑΡΑΓΙΑΝΝΗΣ,"


9 Χλμ
",1,www.hotelkaragianni.gr,info@hotelkaragianni.gr,24210-88282,24210-88859,Βόλος,Ν.ΠΑΓΑΣΕΣ ΜΑΓΝΗΣΙΑΣ,385 00,,,24210-88859
ΚΑΡΑΟΥΛΑΝΗΣ ΜΠΗΤΣ,"


0.4 Χλμ
",2,www.karaoulanisbeach.gr,kbeach@otenet.gr,24260-31421,24260-31427,Άγιος Ιωάννης Μουρεσίου,ΑΓΙΟΣ ΙΩΑΝΝΗΣ ΠΗΛΙΟΥ,370 12,2421-042736,2421-044104,2426031335
ΚΑΡΑΦΕΛΑΣ,"


0.2 Χλμ
",1,,karafelatr@gmail.com,24270-21235,,Σκιάθος,ΠΑΠΑΔΙΑΜΑΝΤΗ 59,370 02,2427-021235,,24270-22191
ΚΑΣΣΑΝΔΡΑ,"


18 Χλμ
",2,www.hotel-kassandra.gr,info@hotel-kassandra.gr,24230-22764,24230-22764,Καλά Νερά,ΚΑΛΑ ΝΕΡΑ ΜΑΓΝΗΣΙΑΣ,370 10,,,
ΚΑΣΣΑΝΔΡΑ ΜΠΕΥ ΡΗΖΟΡΤ,"


3 Χλμ
",5,www.kassandrabay.com,manager@kassandrabay.com,2427024201,,Σκιάθος,ΒΑΣΙΛΙΑΣ ΣΚΙΑΘΟΥ,370 02,2427024201,2427021992,2427024202
ΚΑΣΤΡΑΚΙ 2,"


1 Χλμ
",3,www.hotelkastraki.gr,info@hotelkastraki.gr,24320-75336,24320-75335,Καστράκι,ΚΑΣΤΡΑΚΙ ΚΑΛΑΜΠΑΚΑΣ,422 00,,,
ΚΑΣΤΡΙ,"


7 Χλμ
",2,,,24230-71201,,Καστρί,,370 06,,,
ΚΑΣΤΡΙ,"


2 Χλμ
",1,www.kastrihotel.gr,info@kastrihotel.gr,2495-097163,24950-97162,Αιγάνη,,400 07,241-0287467,241-0555037,6943103529
ΚΑΣΤΡΟ,"


0.6 Χλμ
",1,www.skiathosrooms.org,info@skiathosrooms.org,24270-22623,24270-23298,Σκιάθος,ΣΚΙΑΘΟΣ,370 02,2427-023298,,6977084755
ΚΑΤΑΦΥΓΙΟ,"


0.3 Χλμ
",1,www.hotelkatafigio.com,katafigioelati@gmail.com,24340-71886,,Ελάτη,,420 32,,,
ΚΑΤΕΡΙΝΑ,"


8 Χλμ
",2,,,24260-22772,,Χορευτό,ΧΟΡΕΥΤΟ ΒΟΛΟΥ,370 01,2426-022772,,24260-22463
ΚΑΤΙΑ,"


22 Χλμ
",2,www.hotel-katia.com,info@hotel-katia.com,2423033423,24230-33023,Άφυσσος,ΑΦΗΣΣΟΣ ΒΟΛΟΥ,370 10,,,24230-33110
ΚΕΛΛΥ,"


8 Χλμ
",2,www.hotelkelly.gr,info@hotelkelly.gr,24260-31231,,Άγιος Ιωάννης Μουρεσίου,ΑΓΙΟΣ ΙΩΑΝΝΗΣ ΠΗΛΙΟΥ,370 12,2421-028745,,
ΚΕΝΤΑ ΜΠΙΤΣ,"


20 Χλμ
",3,www.kentabeach.gr,info@kentabeach.gr,24260-31230,24260-31021,Άγιος Ιωάννης Μουρεσίου,,370 12,,,
ΚΕΝΤΑΥΡΟΣ,"


22 Χλμ
",2,www.hoteldryades.gr,info@hoteldryades.gr,24280-96224,24280-96100,Άγιος Λαυρέντιος,ΑΓ.ΛΑΥΡΕΝΤΙΟΣ ΜΑΓΝΗΣΙΑΣ,385 00,,,24280-96246
ΚΕΝΤΡΙΚΟΝ,"


20 Χλμ
",3,www.bungalows-kentrikon.gr,info@bungalows-kentrikon.gr,24260-32200,24210-35030,Άγιος Ιωάννης Μουρεσίου,ΑΓ.ΙΩΑΝΝΗΣ ΠΗΛΙΟΥ,370 12,24210-32174,24210-35030,24210-32171
ΚΕΡΑΜΑΡΙΟ,,3,,info@keramario.gr,2445061470,,Δρακότρυπα,,43000,,,
ΚΕΦΟΣ,,2,,npapachristos69@gmail.com,24320-22044,,Καλαμπάκα,ΚΟΥΠΗ 1,422 00,,,
ΚΙΒΩΤΟΣ,"


4 Χλμ
",4,www.kivohotel.gr,info@kivohotel.com,24270-22407,24270-21206,Σκιάθος,ΒΑΣΙΛΙΑΣ-ΚΑΤΣΑΡΟΥ,370 02,241-0623254,,021842
ΚΙΕΡΙΟΝ,"


2 Χλμ
",3,www.hotelkierion.gr,kierion1@otenet.gr,24410-71923,24410-22986,Καρδίτσα,ΜΠΛΑΤΣΟΥΚΑ & ΤΖΕΛΛΑ,431 00,,,24410-71926
ΚΛΕΙΝΟΣ,"


25 Χλμ
",2,,,24320-96440,,Κλεινό,,422 00,,,
ΚΛΕΟΠΑΤΡΑ,"


8 Χλμ
",2,www.hotelcleopatra.gr,cleopatrahorefto@gmail.com,2426022606,24260-22606,Χορευτό,ΧΟΡΕΥΤΟ ΠΗΛΙΟΥ,37001,,,6944941386
ΚΟΖΙΑΚΑΣ,"


35 Χλμ
",1,,info@koziakashotel.gr,24340-71270,24340-71106,Ελάτη,,420 32,6942-015708,,24340-71100
ΚΟΚΚΙΝΟ ΝΕΡΟ,"


60 Χλμ
",2,,m170168@otenet.gr,2495090021,,Κόκκινο Νερό,,400 07,2495090021,,2495090021
ΚΟΚΚΙΝΟΣ ΒΡΑΧΟΣ,"


14 Χλμ
",3,www.kokkinosvrachos.gr,kokkinosvrachos@gmail.com,24340-71185,24340-71191,Ελάτη,ΕΛΑΤΗ ΤΡΙΚΑΛΩΝ,420 32,,,
ΚΟΛΠΟΣ ΜΗΛΙΑ,"


2.5 Χλμ
",3,www.milia-bay.gr,lizamenayalon@gmail.com,2108950794,2108953591,Χρυσή Μηλιά,,370 05,21-08950794,21-08953591,2108956911
ΚΟΡΑΛΛΙ,"


10 Χλμ
",2,www.skiathoskorali.gr,info@skiathoskorali.gr,6979798463,24270-49551,Τρούλλος,,370 02,6979798463,2427-049551,24270-49450
ΚΟΥΚΟΥΝΑΡΙΕΣ,"


0.5 Χλμ
",2,,info@skiathos-palace.gr,24270-49700,24270-49666,Σκιάθος,ΚΟΥΚΟΥΝΑΡΙΕΣ,370 02,21-03242152,21-03233667,210-3242152
ΚΟΥΡΙΑ,,3,www.hotelkouria.gr,hotelkouria@otenet.gr,24950-93333,,Αμπελάκια,,400 04,,,
ΚΟΥΤΣΙΚΟΥΡΗ,"


15 Χλμ
",2,www.hotelkoutsikouris.gr,info@hotelkoutsikouris.gr,24450-42549,24450-42549,Οξυά,,430 60,,,
ΚΟΧΥΛΙ,"


8 Χλμ
",1,,info@kochilihotel.gr,24260-31229,,Άγιος Ιωάννης Μουρεσίου,,370 12,,,
ΚΡΙΤΣΑ ΓΑΣΤΡΟΝΟΜΥ,"


0.01 Χλμ
",3,www.hotel-kritsa.gr,info@hotel-kritsa.gr,24280-90006,24280-90008,Πορταριά,ΠΟΡΤΑΡΙΑ ΒΟΛΟΥ,370 11,,,24280-99121
ΚΡΟΥΠΗ,"


0.15 Χλμ
",2,www.kroupi.gr,hotel@kroupi.gr,2434071312,2434071774,Ελάτη,ΕΛΑΤΗ ΤΡΙΚΑΛΩΝ,420 32,,,
ΚΥΜΑ,"


20 Χλμ
",1,,pyrofani@gmail.com,24230-71269,24230-71269,Πλατανιάς,,370 06,6946-104319,,
ΚΥΡ ΣΩΤΟΣ,"


0.1 Χλμ
",4,www.skopelos.net/sotos,sotossko@otenet.gr,24240-22549,24240-23668,Σκόπελος,ΣΚΟΠΕΛΟΣ ΜΑΓΝΗΣΙΑΣ,370 03,2424-022808,,
ΚΥΨΕΛΗ,"


0.5 Χλμ
",3,www.hotelkipseli.gr,info@hotelkipseli.gr,24210-24420,24210-26020,Βόλος,ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ 1,382 24,,,24210-26888
ΚΩΣΤΑ ΦΑΜΙΣΗ,"


0.5 Χλμ
",4,www.hotelkostafamissi.com,hotelkostafamissi@yahoo.gr,24320-79192,24320-79196,Καλαμπάκα,ΤΡΙΚΑΛΩΝ 144,422 00,,,6932-745814
ΚΩΣΤΑΣ & ΜΑΙΡΗ,"


0.8 Χλμ
",2,,hotelcostasmary@gmail.com,24270-21264,24270-24344,Σκιάθος,ΑΜΜΟΥΔΙΑ,370 02,2427-022641,2427-024344,
ΚΩΣΤΗΣ,"


0.5 Χλμ
",1,www.hotelkostis.gr,hotelkostis@yahoo.gr,24270-22909,24270-23982,Σκιάθος,ΣΚΙΑΘΟΣ,370 02,6937-118064,2427-023982,
ΛΑ ΠΙΣΙΝ,,5,www.lapiscinepalace.gr,sales.skiathos@philianhotels.com,24270-24270,24270-24270,Σκιάθος,ΕΥΑΓΓΕΛΙΣΤΡΙΑΣ,370 02,,,24270029231
ΛΑΓΟΥ ΡΑΧΗ ΞΕΝΟΔΟΧΕΙΟ ΕΞΟΧΗΣ,"


9.5 Χλμ
",3,www.lagouraxi.com,mail@lagouraxi.com,24230-65144,24230-65144,Λαύκος,ΛΑΥΚΟΣ ΜΑΓΝΗΣΙΑΣ,370 06,,,
ΛΑΟΔΑΜΕΙΑ,"


18 Χλμ
",4,www.laodamia.com,info@laodamia.com,24280-78800,24280-78839,Νέα Αγχίαλος,ΔΙΑΜΑΝΤΟΠΟΥΛΟΥ 2Α,374 00,,,
ΛΑΡΙΣΑ ΙΜΠΕΡΙΑΛ,"


3 Χλμ
",5,www.larissaimperial.com,reservations.li@grecotel.com,2410-687600,2410-687687,Λάρισα,ΦΑΡΣΑΛΩΝ 182,413 35,,,
ΛΕΒΑΝΤΕΣ,"


0.8 Χλμ
",2,www.hotel-levantes-alonissos.com,hotellevantes@hotmail.com,24240-65016,24240-65685,Πατητήρι,,370 05,6938301009,,
ΛΕΙΡΙΟΝ,,2,www.leirion.gr,,24230-23929,,Παλαιοχώρι,,422 00,,,
ΛΗΔΑ,"


6 Χλμ
",2,www.ledahotel.gr,info@ledahotel.gr,24210-27931,24210-38008,Χόρτο,ΧΟΡΤΟ ΑΡΓΑΛΑΣΤΗΣ ΜΑΓΝΗΣ.,370 06,2421-027931,2421-038008,24210-38008
ΛΗΘΑΙΟΝ,"


1 Χλμ
",3,www.litheonhotel.gr,litheonhotel@gmail.com,2431020690,2431037390,Τρίκαλα,ΟΘΩΝΟΣ 16,421 00,,,2431020691
ΛΙΑΔΡΟΜΙΑ,"


0.2 Χλμ
",1,www.liadromia.gr,liadromia@alonissos.com,2424065521,2424065096,Πατητήρι,ΑΛΟΝΝΗΣΟΣ,370 05,6978217946,,
ΛΙΓΚΕΡΙ,,2,www.ligerihotel.gr,info@ligerihotel.gr,24340-71454,24340-71380,Ελάτη,ΕΛΑΤΗ ΤΡΙΚΑΛΩΝ,420 32,,,
ΛΙΚΝΟΝ,"


1.5 Χλμ
",4,www.liknon.gr,info@liknon.gr,24320-75910,24320-22716,Καλαμπάκα,ΤΕΡΜΑ ΟΔ.ΚΑΛΑΜΠ.-ΤΡΙΚΑΛΩΝ,422 00,,,
ΛΙΜΝΗ,"


11 Χλμ
",2,,info@aggelidis-oe.gr,24270-49362,2102715245,Σκιάθος,,370 02,,,6978-771653
ΛΟΥΣΚΑ,,2,,,24320-61090,,Αμάραντο,,420 36,,,
ΛΩΤΟΣ,,4,www.thelotustree.gr,reservations@thelotustree.gr,2428099922,24280-99921,Πορταριά,ΚΑΝΑΛΑΚΙ ΠΟΡΤΑΡΙΑΣ ΒΟΛΟΥ,370 11,6940622967,,2428099922
ΜΑΓΓΑΝΙ,"


0.3 Χλμ
",1,www.magani.gr,panoskarousos@yahoo.gr,24230-22080,24230-22080,Καλά Νερά,ΚΑΛΑ ΝΕΡΑ ΜΑΓΝΗΣΙΑΣ,370 10,2423-022080,2423-022080,
ΜΑΓΕΜΑ,"


3 Χλμ
",3,,zkitrou@gmail.com,24320-41626,,Χρυσομηλιά,,422 00,,,6945-996206
ΜΑΓΚΙΩΣΗ,"


60 Χλμ
",3,www.magiossi.gr,magiossi@yahoo.com,24340-91150,24340-91283,Νεραϊδοχώρι,ΝΕΡΑΙΔΟΧΩΡΙ ΤΡΙΚΑΛΩΝ,420 32,,,
ΜΑΪΣΤΡΑ,,3,www.hotelmaistra.com,info@hotelmaistra.com,2426049382,,Τσαγκαράδα,ΤΣΑΓΚΑΡΑΔΑ ΜΑΓΝΗΣΙΑΣ,370 12,,,
ΜΑΙΣΤΡΑΛΙ,"


23 Χλμ
",3,www.maistralihotel.com,info@maistralihotel.com,24230-33472,24230-33149,Άφυσσος,ΑΦΗΣΣΟΣ ΠΗΛΙΟΥ,370 10,2421-024683,,
ΜΑΚΕΔΟΝΙΑ,"


0.3 Χλμ
",1,,tzianasgiorgos@gmail.com,2410-535189,,Λάρισα,ΠΟΛΥΚΑΡΠΟΥ 5,412 21,,,
ΜΑΝΑΚΟΣ,"


32 Χλμ
",2,,,24320-61070,,Καστανιά,ΚΑΣΤΑΝΙΑ ΚΑΛΑΜΠΑΚΑΣ,420 36,,,24320-61071
ΜΑΝΔΡΑΚΙ ΒΙΛΛΑΤΖ,"


12 Χλμ
",4,www.mandraki-skiathos.gr,info@mandraki-skiathos.gr,24270-49301,24270-49302,Σκιάθος,ΚΟΥΚΟΥΝΑΡΙΕΣ ΣΚΙΑΘΟΥ,370 02,6936-622900,2427-049302,24270-49303
ΜΑΝΘΟΣ,"


11 Χλμ
",3,www.manthoshotels.com,info@manthoshotels.com,24280-96402,24280-96405,Χάνια,ΧΑΝΙΑ ΠΗΛΙΟΥ,370 11,,,24280-96403
ΜΑΝΘΟΣ ΜΠΗΤΣ,"


8 Χλμ
",3,www.manthoshotels.com,rebekkakefala@yahoo.com,6957203215,,Άγιος Ιωάννης Μουρεσίου,ΑΓ.ΙΩΑΝΝΗΣ ΠΗΛΙΟΥ,370 12,2426031137,,24260-31137
ΜΑΝΤΑΝΙΑ,"


48 Χλμ
",3,www.mantania.gr,info@mantania.gr,24320-87351,24320-87743,Καλλιρρόη,,422 00,,,24320-26650
ΜΑΡΑΜΠΟΥ,"


6 Χλμ
",2,www.marabouhotel.gr,marabou3@otenet.gr,24260-23710,24260-22807,Χορευτό,ΧΟΡΕΥΤΟ ΖΑΓΟΡΑΣ ΠΗΛΙΟΥ,370 01,2426-022808,2426-022807,24260-23720
ΜΑΡΙΑΝΘΗ,"


0.3 Χλμ
",1,,info@pelion-pagasitikos.com,24230-22545,24230-22356,Καλά Νερά,ΚΑΛΑ ΝΕΡΑ ΒΟΛΟΥ,370 10,,,24230-22206
ΜΑΡΙΝΑ,"


8 Χλμ
",1,www.eleana-marina.gr,info@eleana-marina.gr,24260-31239,24260-31097,Άγιος Ιωάννης Μουρεσίου,ΑΓΙΟΣ ΙΩΑΝΝΗΣ ΠΗΛΙΟΥ,370 12,2421-060704,,
ΜΑΡΙΝΑ ΚΟΛΙΟΣ,"


6 Χλμ
",2,,aggeliki.k@hotmail.com,24270-49348,,Σκιάθος,,370 02,2427-022553,,
ΜΑΡΙΤΣΑΣ ΟΤΕΛ ΣΟΥΙΤΕΣ,"


10 Χλμ
",5,www.maritsas.gr,maritsassuite@yahoo.gr,24280-99500,24280-99564,Πορταριά,ΠΟΡΤΑΡΙΑ ΠΗΛΙΟΥ,370 11,,,
ΜΑΡΛΤΟΝ,"


0.3 Χλμ
",2,http://www.hotelmarlton.com/,aibaliotisd@msn.com,24270-22552,24270-22552,Σκιάθος,ΣΚΙΑΘΟΣ,370 02,2427-022878,2427-022878,
ΜΑΡΠΟΥΝΤΑ,"


2 Χλμ
",4,www.santikoshotels.com,accounting@santikoscollection.com,24240-65212,24240-65582,Πατητήρι,ΜΑΡΠΟΥΝΤΑ,370 05,21-06196980,21-06197764,
ΜΑΡΩ,"


8 Χλμ
",3,www.pelion-hotelmaro.gr,marohotel@gmail.com,24260-31282,24260-31136,Άγιος Ιωάννης Μουρεσίου,ΑΓ.ΙΩΑΝΝΗΣ ΠΗΛΙΟΥ,370 12,2421-031221,2421-031224,24260-31475
ΜΑΤΖΙΚ,"


6 Χλμ
",4,www.magic-hotel.com,magic-gr@otenet.gr,24270-49453,24270-49454,Σκιάθος,ΑΓ.ΠΑΡΑΣΚΕΥΗ ΣΚΙΑΘΟΥ,370 02,2427-029190,,
ΜΑΤΩ,,2,http://matoskiathos.gr,,24270-22186,2427023105,Σκιάθος,25ΗΣ ΜΑΡΤΙΟΥ,370 02,,,24270-22187
ΜΕΓΑΣ ΑΛΕΞΑΝΔΡΟΣ,"


0.5 Χλμ
",2,www.hotel-megasalexandros.gr,asoulis1978@yahoo.gr,24280-76752,24280-77440,Νέα Αγχίαλος,ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΥ 2,374 00,,,
ΜΕΓΔΟΒΑΣ,"


0.5 Χλμ
",2,www.megdovas.gr,info@megdovas.gr,24410-92377,24410-92342,Καλύβια,ΚΑΛΥΒΙΑ ΠΕΖΟΥΛΑΣ ΚΑΡΔΙΤΣΑ,430 67,6978-323311,,24410-92387
ΜΕΛΑΘΡΟ ΜΑΓΝΑΥΡΑΣ,"


0.3 Χλμ
",2,www.hotel-alexiou.gr,info@hotel-alexiou.gr,24950-91210,24950-91210,Στόμιο,ΣΤΟΜΙΟ ΛΑΡΙΣΗΣ,400 07,2495-091210,2495-091210,24950-91341
ΜΕΛΑΝΘΗ,,4,www.melanthi.gr,info@melanthi.gr,24280-99977,,Μακρινίτσα,ΜΑΚΡΙΝΙΤΣΑ,370 11,6948062297,,
ΜΕΛΙΒΟΙΑ ΜΠΗΤΣ,"


0.5 Χλμ
",2,,m18v26g69@yahoo.gr,2410-256710,2410-256710,Βελίκα,ΜΕΛΙΒΟΙΑΣ,400 03,2410-256710,,6979050804
ΜΕΛΤΕΜΙ,"


0.5 Χλμ
",3,www.meltemiskiathos.gr,res@meltemiskiathos.gr,24270-22493,,Σκιάθος,ΣΚΙΑΘΟΣ,370 02,2427-022493,2427-021293,2428096402
ΜΕΣΟΓΕΙΑΚΟ,"


6 Χλμ
",3,,,24240-65765/7,,Πατητήρι,ΑΛΟΝΝΗΣΟΣ (ΒΥΘΙΣΜΑ),370 05,2424-065070,,065113
ΜΕΤΕΩΡΑ,"


0.5 Χλμ
",1,www.hotel-meteora.blogspot.com,dimgekas@gmail.com,24320-22367,24320-75550,Καλαμπάκα,ΠΛΟΥΤΑΡΧΟΥ 14,422 00,,,
ΜΕΤΕΩΡΑ,"


0.1 Χλμ
",2,www.loutra-smokovou.gr,info@loutra-smokovou.gr,24430-61281,24430-61178,Λουτρά Σμοκόβου,,430 63,2443-061210,2443-061178,
ΜΕΤΕΩΡΑ ΙΙ,,4,www.meteorahotels.com,info@meteorahotels.com,24320-78180,24320-78182,Καστράκι,ΚΑΣΤΡΑΚΙ ΚΑΛΑΜΠΑΚΑΣ,422 00,,,
