Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Τηλέφωνο 2,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Αριθμός Φαξ,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΣΜΑΡΤ,"


4 Χλμ
",3,www.airotel.gr,info@airotel.gr,26110-100900,2106400720,Πάτρα,ΑΚΤΗ ΔΥΜΑΙΩΝ 9ΚΑΙ ΕΥΜΗΛΟΥ,262 22,2611-100900,,
ΣΟΡΟΚΟΣ,"


0.1 Χλμ
",1,,,26810-88213,,Μενίδι,,300 16,,,
ΣΟΥΛΗΣ,"


10 Χλμ
",2,www.soulisgroup.com,info@soulisgroup.com,26230-96000,2623035888,Αρκούδι,ΑΡΚΟΥΔΙ ΛΥΓΙΑΣ ΗΛΕΙΑΣ,270 50,26230-96379,2623096000,
ΣΠΕΡΧΟΣ,"


10 Χλμ
",2,,sperhos@outlook.com,6934061168,26920 83348,Άνω Λουσοί,,250 01,26920-23411,6944542413,
ΣΤΗΣ ΕΛΕΝΑΣ,"


35 Χλμ
",2,margarokarafotia@yahoo.gr,margarokarafotia@yahoo.gr,26960-35083,,Ζαρούχλα,,250 06,26960-28140,,
ΣΤΟ ΧΕΙΛΟΣ ΤΟΥ ΚΟΛΠΟΥ,"


0.2 Χλμ
",3,www.cliffbay.net,reception@cliffbay.net,2643029111,2643042188,Πάλαιρος,ΠΑΛΑΙΡΟΣ ΑΙΤ/ΝΙΑΣ,300 12,26430-42114,6944-510253,2643-042114
ΣΤΡΑΤΟΣ,"


1 Χλμ
",3,www.hotelstratos.gr,info@gss.gr,26460-41911,26460-41912,Αστακός,ΑΣΤΑΚΟΣ ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,300 06,26460-41227,,
ΣΤΥΓΑ ΘΕΡΕΤΡΟ ΒΟΥΝΟΥ,"


38 Χλμ
",3,www.stygaresort.gr,stygaresort@yahoo.gr,26960-31431,6974588866,Ζαρούχλα,ΖΑΡΟΥΧΛΑ ΑΚΡΑΤΑΣ,250 06,2610-435990,,
ΣΩΖΟΣ ΙΝ,,3,www.sozosinnhotel.gr,info@sozosinnhotel.gr,26430-29009,,Βόνιτσα,2ΧΛΜ ΒΟΝΙΤΣΑΣ-ΛΕΥΚΑΔΑΣ,300 02,,,
ΤΑ ΠΕΤΡΙΝΑ ΤΗΣ ΑΝΩ ΧΩΡΑΣ,,3,www.petrina.gr,dimpapadim@hotmail.com,26340-41101,,Άνω Χώρα,,300 23,,,
ΤΑ ΣΠΙΤΑΚΙΑ ΤΗΣ ΙΦΙΓΕΝΕΙΑΣ,,3,www.ifigeneia.com,info@ifigeneia.com,26340-61500,,Πλάτανος,,300 22,,,
ΤΑ ΨΗΛΑ ΒΟΥΝΑ,,3,,,6947129785,,Λαμπίρι,,30008,,,
ΤΑΞΙΑΡΧΗΣ,"


2 Χλμ
",3,www.taxiarhis-hotel.gr,info@taxiarhis-hotel.gr,26230-41440,26230-42660,Βρανάς,,270 50,26230-41564,,
ΤΑΡΑΝΤΕΛΛΑ,"


3 Χλμ
",2,,aggelostara@gmail.com,26930-71205,26930-71760,Κάτω Αλισσός,,250 02,26930-71769,6979219898,
ΤΕΛΗΣ,"


1.5 Χλμ
",2,,ho-telis@otenet.gr,26910-28200,26910-23140,Αίγιο,ΚΟΡΙΝΘΟΥ 98,251 00,26910-61690,,
ΤΕΡΨΙΘΕΑ,,1,,terpsitheahotel@gmail.com,26343-60518,26340-53234,Τερψιθέα,ΤΕΡΨΙΘΕΑ ΝΑΥΠΑΚΤΙΑΣ,300 24,,26343-60518,
ΤΕΣΣΕΡΕΙΣ ΕΠΟΧΕΣ,"


5 Χλμ
",2,,,26220-27311,,Κουρούτα,ΚΟΥΡΟΥΤΑ ΑΜΑΛΙΑΔΟΣ,272 00,,21-09623565,
ΤΖΑΚΙ,"


1 Χλμ
",3,www.hoteltzaki.gr,htzaki@otenet.gr,2610-453960,,Πάτρα,ΠΑΡΑΛΙΑ ΠΡΟΑΣΤΕΙΟΥ,265 00,2610-453961,,
ΤΖΕΝΗ,"


7 Χλμ
",2,www.kaiafashotels.com,info@kaiafas.com,26250-32234,,Ξηροχώρι,ΞΗΡΟΧΩΡΙ,270 54,26250-32252,,
ΤΟ ΑΡΧΟΝΤΙΚΟ ΤΟΥ ΓΕΡΟ-ΦΩΤΗ,"


9 Χλμ
",4,www.gerofotis.com,dhmosp@yahoo.gr,26910-25126,6977-295847,Λάκκα,ΔΗΜΟΤΙΚΟ ΔΙΑΜΕΡΙΣΜΑ ΛΑΚΚΑ,251 00,26910-68458,2691-029905,2691-068458
ΤΟ ΞΥΛΙΝΟ ΣΑΛΕ,"


0.5 Χλμ
",2,,shalet@otenet.gr,26920-23900,6974397365,Καλάβρυτα,,250 01,,,
ΤΟΥΡΙΣΤ,"


1 Χλμ
",2,,touristagrinio@gmail.com,26410-26665,26410-33335,Αγρίνιο,ΠΑΠΑΣΤΡΑΤΟΥ 51,301 00,26410-26667,,
ΦΑΝΑΡΑΣ,"


0.6 Χλμ
",2,www.xenonas-fanaras.gr,info@xenonas-fanaras.gr,26920-23665,,Καλάβρυτα,,250 01,26920-23667,,
ΦΕΓΓΑΡΟΓΝΕΥΜΑΤΑ,"


1 Χλμ
",2,,hotelfeggarognemata@hotmail.gr,26230-41222,26230-42505,Βαρθολομιό,ΒΑΡΘΟΛΟΜΙΟ ΗΛΕΙΑΣ,270 50,26230-41443,,
ΦΙΛΟΞΕΝΙΑ,"


0.2 Χλμ
",3,www.hotelfiloxenia.gr,filoxenia@otenet.gr,26920-22422,26920-22290,Καλάβρυτα,ΚΑΛΑΒΡΥΤΑ ΑΧΑΙΑΣ,250 01,26920-23009,,
ΦΙΛΟΞΕΝΙΑ,"


0.1 Χλμ
",3,,hotelfiloxenia@hotmail.com,26430-42177,,Πάλαιρος,ΠΑΛΑΙΡΟΣ,300 12,26430-42177,6977581991,26430-42177
ΦΙΝΤΑΥ,"


0.7 Χλμ
",3,www.findayhotel.gr,info@findayhotel.gr,26920-24552,2109311453,Καλάβρυτα,ΚΑΛΑΒΡΥΤΑ ΑΧΑΪΑΣ,250 01,26920-23270,21-09311453,21-09332997
ΦΛΟΙΣΒΟΣ,"


2 Χλμ
",3,www.flisvoshotel-nafpaktos.com,flisvoshotelnafpaktos@gmail.com,26340-24811,26340-21795,Ναύπακτος,ΕΘΝ.ΑΝΤΙΣΤΑΣΕΩΣ - ΨΑΝΗ,303 00,26340-21796,,
ΦΛΩΡΙΝΤΑ,"


7 Χλμ
",4,www.floridabluebay.gr,info@floridabluebay.gr,2610-931279,,Ψαθόπυργος,ΨΑΘΟΠΥΡΓΟΣ ΠΑΤΡΩΝ,265 00,2610-931977,21-08943449,261-0931977
ΦΟΥΡΝΙΑ ΧΩΡΙΟ,,3,www.fourniavillage.gr,fournia@otenet.gr,2623095095,2623095097,Κάστρο,,270 68,26230-95096,,
ΦΤΕΡΕΣ,"


22 Χλμ
",2,,,26910-98223,,Πτέρη,,251 00,,,
ΧΕΛΙΔΟΝΙΑ,"


10 Χλμ
",3,www.helidonia.gr,helidonia@helidonia.gr,26230-96393,26230-96069,Λυγιά,ΒΑΡΘΟΛΟΜΙΟ,270 50,26230-96069,2623-096393,2623-096069
ΧΕΛΜΟΣ,"


0.3 Χλμ
",4,www.hotelhelmos.gr,info@hotelhelmos.gr,26920-29222/4,,Καλάβρυτα,ΠΛΑΤ.ΕΛΕΥΘΕΡΙΑΣ 1,250 01,26920-29225,,
ΧΡΗΣΤΟΣ-ΠΑΥΛΟΣ,"


15 Χλμ
",2,www.chrispaul-hotel.gr,info@chrispaul-hotel.gr,26910-41715,26910-41855,Διακοπτό,ΔΙΑΚΟΠΤΟ ΑΧΑΪΑΣ,250 03,26910-42128,,
ΧΡΥΣΑΜΠΕΛΑ,,2,,,26960-39000,,Αμπελόκηποι,,250 10,,,
ΧΡΥΣΕΛΕΝ,"


1 Χλμ
",2,,chrysa_dim@live.com,26910-42135,,Ελαιώνας,,271 00,,2691-041526,
